method,method_code_off,offset,read_call,block,target_or_field,note,raw_instruction
Lo/a;->a6(ILjava/lang/String;)V,0x23ffb4,0x0000,readLong(Ljava/lang/String;)J,a6.single_update,host/object_id,"读取对象 long id；用 Lo/a.c3(type,id) 在 co[type] 中定位 index。","v3, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->f6(ILjava/lang/String;)V,0x240b38,0x07d8,readByte(Ljava/lang/String;)B,f6.bulk_header,object_count,本次重建的对象数量；数组容量固定 30，协议应保证 count<=30。,"v11, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->f6(ILjava/lang/String;)V,0x240b38,0x07fa,readLong(Ljava/lang/String;)J,f6.bulk_item[],Lo/a.co[type][i],"对象 long id；随后立即调用 Lo/a.b6(type,stream,i) 读取完整字段。","v11, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0010,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6.common,Lo/a.do[type][idx],对象显示名/名称字符串候选；将领列表 UI 的核心字段。,"v7, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0024,readShort(Ljava/lang/String;)S,b6.common,Lo/a.eo[type][idx],对象 short 参数 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0038,readByte(Ljava/lang/String;)B,b6.common,Lo/a.fo[type][idx],对象 byte 参数 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x004c,readByte(Ljava/lang/String;)B,b6.common,Lo/a.go[type][idx],对象 byte 参数 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0060,readShort(Ljava/lang/String;)S,b6.common,Lo/a.ho[type][idx],对象 short 参数 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0074,readShort(Ljava/lang/String;)S,b6.common,Lo/a.io[type][idx],对象 short 参数 #3。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0088,readByte(Ljava/lang/String;)B,b6.common,Lo/a.jo[type][idx],对象 byte 参数 #3。,"v7, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x009c,readInt(Ljava/lang/String;)I,b6.common,Lo/a.ko[type][idx],对象 int 参数 #1。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x00b0,readInt(Ljava/lang/String;)I,b6.common,Lo/a.lo[type][idx],对象 int 参数 #2。,"v7, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x00c4,readShort(Ljava/lang/String;)S,b6.common,Lo/a.mo[type][idx],对象 short 参数 #4。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x00d8,readShort(Ljava/lang/String;)S,b6.common,Lo/a.no[type][idx],对象 short 参数 #5。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x00ec,readShort(Ljava/lang/String;)S,b6.common,Lo/a.oo[type][idx],对象 short 参数 #6。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0100,readShort(Ljava/lang/String;)S,b6.common,Lo/a.po[type][idx],对象 short 参数 #7。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0114,readShort(Ljava/lang/String;)S,b6.common,Lo/a.qo[type][idx],对象 short 参数 #8。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0128,readShort(Ljava/lang/String;)S,b6.common,Lo/a.ro[type][idx],对象 short 参数 #9；a8 会本地随时间递增并受 so 上限限制。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x013c,readShort(Ljava/lang/String;)S,b6.common,Lo/a.so[type][idx],对象 short 参数 #10；a8 中作为 ro 的上限。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0150,readShort(Ljava/lang/String;)S,b6.common,Lo/a.to[type][idx],对象 short 参数 #11。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
Lo/a;->b6(ILjava/lang/String;I)V,0x23ffe0,0x0164,readShort(Ljava/lang/String;)S,b6.common,Lo/a.uo[type][idx],对象 short 参数 #12。,"v7, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
