method,code_off,kind,role,confidence,external_call_count,external_call_examples,data_d_fields_touched,notable_invokes
LscriptPages/data/d;->g()I,0x262004,capacity accessor,返回 bank0 数组长度。,high,6,LscriptPages/game/k0;->L()V@0x01b8 || LscriptPages/game/k0;->o()V@0x1082 || LscriptPages/game/k0;->o()V@0x10f6 || LscriptPages/game/k0;->q()V@0x0156 || LscriptPages/game/k0;->q()V@0x0180 || LscriptPages/gameHD/c;->k()V@0x016e,d:[[J,
LscriptPages/data/d;->x(J)I,0x262290,effect accessor,按 e 在 Un[] 中查找并返回 Vn[]；装备页拼接 equipEffectN 资源名。,medium,4,LscriptPages/data/g;->I()V@0x00a2 || LscriptPages/game/z;->j()V@0x0922 || LscriptPages/gameHD/c;->c()V@0x0534 || LscriptPages/gameHD/g;->o()V@0x0f18,e:[[S || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->B(J)[S,0x262a88,extra material/effect accessor,"返回 bo[S4(e)][quality] 的 [id,value]；被炼魂/装备效果相关入口调用，语义待复核。",medium,3,LscriptPages/data/g;->A2()V@0x001c || LscriptPages/data/g;->N4()I@0x0370 || LscriptPages/data/g;->N4()I@0x06d6,e:[[S || f:[[[B || n:I || o:I,Lo/a;->S4(I)I || Lo/a;->l3(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->f(II)[J,0x2627a4,filter accessor,按装备属性/部位候选 S4(e)==arg0 过滤，并用 mask bit0/bit1 合并 bank0/bank1。,high,12,LscriptPages/game/k0;->t()V@0x0058 || LscriptPages/game/k0;->t()V@0x0068 || LscriptPages/game/k0;->t()V@0x00a8 || LscriptPages/game/k0;->t()V@0x00b6 || LscriptPages/game/k0;->t()V@0x00d0 || LscriptPages/game/k0;->t()V@0x00de,d:[[J || e:[[S,Lo/a;->S4(I)I
LscriptPages/data/d;->r(J)J,0x262740,host accessor,若装备在 bank1，返回 k[slot] host_id；否则返回 -1。,high,22,LscriptPages/game/k0;->a()V@0x0212 || LscriptPages/game/k0;->f0()I@0x01e0 || LscriptPages/game/k0;->f0()I@0x05cc || LscriptPages/game/k0;->f0()I@0x095a || LscriptPages/game/k0;->f0()I@0x09a0 || LscriptPages/game/k0;->f0()I@0x09ba,k:[J || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;-><clinit>()V,0x262b3c,initializer,"初始化属性名表 a=[攻击,生命,防御,统兵]、品质名表 b=[普通,良好,优秀,卓越]、空字符串 c。",high,0,,a:[Ljava/lang/String; || b:[Ljava/lang/String; || c:Ljava/lang/String;,LscriptPages/data/g;->I1(ILjava/lang/String;[[Ljava/lang/String;)Ljava/lang/String;
LscriptPages/data/d;->G()V,0x262df4,initializer,初始化装备容器并行数组 d/e/f/g/h/i/j/l/m，第一维固定 2 个 bank。,high,2,Lo/a;->V5(Ljava/lang/String;)V@0x007e || Lo/a;->c6(Ljava/lang/String;)V@0x0088,d:[[J || e:[[S || f:[[[B || g:[[S || h:[[[B || i:[[[I || j:[[S || l:[[Ljava/lang/String; || m:[[I,
LscriptPages/data/d;->C()[J,0x26292c,list accessor,返回 bank1 中非负装备 id 列表；c6 维护 bank1。,high,17,LscriptPages/game/k0;->L()V@0x01ae || LscriptPages/game/k0;->a()V@0x00b2 || LscriptPages/game/k0;->a()V@0x0378 || LscriptPages/game/k0;->f0()I@0x0940 || LscriptPages/game/k0;->f0()I@0x094e || LscriptPages/game/k0;->f0()I@0x0a2c,d:[[J,
LscriptPages/data/d;->e()[J,0x262774,list accessor,返回 bank0 装备 id 数组；V5 全量重建 bank0。,high,37,Lo/a;->S0()V@0x047e || Lo/a;->X5(JLjava/lang/String;)V@0x0380 || Lo/a;->w8(I)I@0x038e || LscriptPages/game/k0;->F(Ljava/lang/String;)V@0x00d6 || LscriptPages/game/k0;->a()V@0x0072 || LscriptPages/game/k0;->a()V@0x008c,d:[[J,
LscriptPages/data/d;->y(J)V,0x262d7c,locator,按装备实例 id 在 bank0/bank1 中查找，命中后设置静态 n=bank、o=slot。,high,7,LscriptPages/data/g;->r4(Ljava/lang/String;)V@0x002e || LscriptPages/game/z;->j()V@0x0138 || LscriptPages/game/z;->j()V@0x0c84 || LscriptPages/game/z;->j()V@0x0d18 || LscriptPages/game/z;->j()V@0x0db8 || LscriptPages/game/z;->j()V@0x0e8c,d:[[J || n:I || o:I,
LscriptPages/data/d;->a(J)V,0x262c14,mutator,按 bank1 host backlink k==host_id 删除 bank1 装备记录。,high,4,Lo/a;->a8()V@0x013c || Lo/a;->c6(Ljava/lang/String;)V@0x0046 || LscriptPages/game/z;->M(Ljava/lang/String;)V@0x002c || LscriptPages/game/z;->Q(Ljava/lang/String;)V@0x002c,d:[[J || e:[[S || f:[[[B || g:[[S || h:[[[B || i:[[[I || j:[[S || k:[J || l:[[Ljava/lang/String;,
LscriptPages/data/d;->b(J)V,0x262cc8,mutator,按 equipment_id 删除 bank1 装备记录。,high,2,Lo/a;->V5(Ljava/lang/String;)V@0x0252 || Lo/a;->c6(Ljava/lang/String;)V@0x003a,d:[[J || e:[[S || f:[[[B || g:[[S || h:[[[B || i:[[[I || j:[[S || k:[J || l:[[Ljava/lang/String;,
LscriptPages/data/d;->H(Ljava/lang/String;)V,0x262e58,parser,读取 Lo/a.Tn/Un/Vn 三组 short 表；x(J) 用 Un->Vn 映射装备特效资源/效果 id。,medium,1,LscriptPages/data/g;->c3()V@0x0eaa,,LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S
LscriptPages/data/d;->t(J)I,0x262204,quality accessor,返回 f[bank][slot][0]，品质 index；u(J) 用它映射普通/良好/优秀/卓越。,high,30,Lo/a;->S0()V@0x04e4 || Lo/a;->X5(JLjava/lang/String;)V@0x03de || Lo/a;->Z0()V@0x02d8 || Lo/a;->w8(I)I@0x03d8 || LscriptPages/data/g;->T0(J)Ljava/lang/String;@0x0000 || LscriptPages/game/k0;->a()V@0x00c6,f:[[[B || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->u(J)Ljava/lang/String;,0x262654,quality accessor,返回品质名称 b[t(id)]。,high,23,Lo/a;->E8()I@0x036a || LscriptPages/data/g;->T0(J)Ljava/lang/String;@0x00c6 || LscriptPages/game/k0;->a()V@0x01f6 || LscriptPages/game/k0;->f0()I@0x02a6 || LscriptPages/game/k0;->f0()I@0x02d0 || LscriptPages/game/k0;->f0()I@0x02f8,b:[Ljava/lang/String;,LscriptPages/data/d;->t(J)I
LscriptPages/data/d;->v(I)Ljava/lang/String;,0x262688,quality helper,按品质 index 返回 b[] 名称。,high,6,La0/a;->r0()V@0x00c8 || Lo/a;->S0()V@0x01f4 || Lo/a;->w8(I)I@0x036a || LscriptPages/data/g;->P()V@0x00a6 || LscriptPages/game/q0;->E()V@0x103c || LscriptPages/game/q0;->G0(I)V@0x00a4,b:[Ljava/lang/String;,
LscriptPages/data/d;->m(J)I,0x26211c,raw accessor,返回装备模板/静态配置 id：e[bank][slot]。,high,2,Lo/a;->w8(I)I@0x03c8 || LscriptPages/game/q0;->G0(I)V@0x0108,e:[[S || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->p(JZ)I,0x262184,risk accessor,返回 h[bank][slot][index]；当前 UI 只用 index=false/0 显示失败掉级率/失败损毁率百分比。,high,2,LscriptPages/game/z;->j()V@0x0f48 || LscriptPages/game/z;->j()V@0x0fb6,h:[[[B || n:I || o:I,LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->E(J)I,0x26233c,stat accessor,返回强化贡献：f[1] * y2(S4(e))[quality_index]。,high,3,LscriptPages/game/k0;->a()V@0x01b2 || LscriptPages/game/z;->j()V@0x03ee || LscriptPages/gameHD/h;->p(J)Ljava/lang/String;@0x01d4,e:[[S || f:[[[B || n:I || o:I,Lo/a;->S4(I)I || Lo/a;->y2(I)[S || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->d(J)I,0x261fc0,stat accessor,返回 Lo/a.z1(e)，即装备基础属性值。,high,3,LscriptPages/game/k0;->a()V@0x0178 || LscriptPages/game/z;->j()V@0x03c8 || LscriptPages/gameHD/h;->p(J)Ljava/lang/String;@0x0198,e:[[S || n:I || o:I,Lo/a;->z1(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->i(J)Ljava/lang/String;,0x262500,stat accessor,"返回格式化属性文案：w2(S4(e), 基础值+强化贡献)。",high,10,Lo/a;->Z0()V@0x03a6 || LscriptPages/data/g;->T0(J)Ljava/lang/String;@0x00f6 || LscriptPages/game/k0;->a()V@0x013e || LscriptPages/game/k0;->f0()I@0x03cc || LscriptPages/game/k0;->f0()I@0x055c || LscriptPages/game/q0;->B()V@0x03ae,e:[[S || f:[[[B || n:I || o:I,Lo/a;->S4(I)I || Lo/a;->w2(II)Ljava/lang/String; || Lo/a;->y2(I)[S || Lo/a;->z1(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->j(J)I,0x262034,stat accessor,返回总属性值：基础值 z1(e) + 强化贡献。,high,3,LscriptPages/game/z;->j()V@0x0196 || LscriptPages/game/z;->j()V@0x019e || LscriptPages/game/z;->j()V@0x0200,e:[[S || f:[[[B || n:I || o:I,Lo/a;->S4(I)I || Lo/a;->y2(I)[S || Lo/a;->z1(I)I || LscriptPages/data/d;->y(J)V
LscriptPages/data/d;->c(SII)Ljava/lang/String;,0x262418,stat helper,按模板 id、quality_index、强化值生成 “(基础值+强化值)” 说明。,high,8,La0/a;->a0()V@0x02fc || La0/a;->g0()V@0x036e || La0/a;->g0()V@0x051a || La0/a;->m0()V@0x034e || Lo/a;->F0()V@0x056c || Lo/a;->F0()V@0x0756,,Lo/a;->S4(I)I || Lo/a;->y2(I)[S || Lo/a;->z1(I)I
