flow_idx,payload_sha256,group_index,group_label_candidate,subgroup,subgroup_flag_p0,index_in_group,index_in_subgroup,task_id_dec,task_id_hex,task_name,boolean_flag_o0
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,0,0,10004,0x2714,种植技术,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,1,1,10006,0x2716,建造弓兵营,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,2,2,10019,0x2723,五谷丰登,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,3,3,10046,0x273e,威震四方6,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,4,4,10054,0x2746,挑战山贼8,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,5,5,10071,0x2757,使用鲁公手册,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,6,6,10084,0x2764,剿匪英雄2,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,7,7,10100,0x2774,开拓封地2,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,8,8,10118,0x2786,招募将领12,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,9,9,10153,0x27a9,升级将领4,True
35,520339677cb7c4beabb6b29ccc37218a4835386fcca22608d6e75f70f2c9b417,0,普通/成长任务候选,secondary/p0=0,0,10,10,10200,0x27d8,修筑道路,True
