flow_idx,payload_sha256,section,index,task_text,progress_text,reward_text
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,0,成功占领1个宝藏,0/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,1,攻打1次流寇,0/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,2,炼魂1次装备,0/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,3,参与1次押镖系统,0/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,4,世界频道发言1次,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,5,获得一座城池,0/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,6,参加5轮无损闯关,3/5,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,7,剿灭山贼10次胜利,6/10,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,8,参加1次抢城夺宝,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,9,购买1件道具,0/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,10,获得1点战功,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,11,将领培养1次,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,12,占领1个资源点,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,13,获得1次夺取胜利,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,14,军团频道发言1次,0/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,special_active_task_H_candidate,0,参加1次竞技场,1/1,+5
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,special_active_task_H_candidate,1,成功强化1次装备,1/1,+10
33,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,special_active_task_H_candidate,2,登入游戏,1/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,0,成功占领1个宝藏,0/1,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,1,攻打1次流寇,0/1,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,2,炼魂1次装备,0/1,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,3,参与1次押镖系统,0/1,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,4,世界频道发言1次,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,5,获得一座城池,0/1,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,6,参加5轮无损闯关,3/5,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,7,剿灭山贼10次胜利,6/10,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,8,参加1次抢城夺宝,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,9,购买1件道具,0/1,+10
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,10,获得1点战功,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,11,将领培养1次,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,12,占领1个资源点,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,13,获得1次夺取胜利,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,daily_active_task_I_candidate,14,军团频道发言1次,0/1,+5
35,b547aa43652839e7c929c132e045dd0ef4e10df69d04368d6ede989f64308e5f,special_active_task_H_candidate,0,参加1次竞技场,1/1,+5
