ordinal,effect_group_Qn,items_json
0,0,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#点攻击力""}]"
1,1,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#点统帅""}]"
2,2,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#点统帅""}]"
3,3,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#点统帅""}]"
4,4,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#%统帅""}]"
5,5,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#%统帅""}]"
6,6,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#%统帅""}]"
7,7,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#点突围能力""}]"
8,8,"[{""flag_Sn"": 1, ""text_Rn"": ""增加统帅部队#点生命值""}]"
9,9,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#点防御力""}]"
10,10,"[{""flag_Sn"": 1, ""text_Rn"": ""增加将领#个统兵数.""}]"
