field,descriptor,writer,writer_code_off,write_offset,instruction,nearby_instructions
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0a4e,"v3, LscriptPages/game/z;->C3 B","0x0a38:invoke-static v5, v6, LscriptPages/data/d;->r(J)J || 0x0a3e:move-result-wide v4 || 0x0a40:invoke-static v3, v4, v5, Lo/a;->c3(I J)I || 0x0a46:move-result v3 || 0x0a48:sput v3, LscriptPages/game/k0;->D2 I || 0x0a4c:const/4 v3, 1 || 0x0a4e:sput-byte v3, LscriptPages/game/z;->C3 B || 0x0a52:invoke-static LscriptPages/data/d;->C()[J || 0x0a58:move-result-object v4 || 0x0a5a:aget-wide v5, v4, v0 || 0x0a5e:invoke-static v5, v6, LscriptPages/data/d;->r(J)J"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0ab0,"v0, LscriptPages/game/z;->C3 B","0x0a9c:sput-byte v10, LscriptPages/game/k0;->k2 B || 0x0aa0:const/4 v1, 0 || 0x0aa2:invoke-static v0, v1, LscriptPages/game/q;->C0(I I)V || 0x0aa8:goto/16 +079h || 0x0aac:array-length v4, v4 || 0x0aae:sub-int/2addr v3, v4 || 0x0ab0:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0ab4:sget-object v4, LscriptPages/game/k0;->u2 [J || 0x0ab8:aget-wide v5, v4, v3 || 0x0abc:invoke-static v5, v6, LscriptPages/data/d;->r(J)J || 0x0ac2:move-result-wide v4"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0bd8,"v1, LscriptPages/game/z;->C3 B","0x0bc0:invoke-static v0, v4, v5, Lo/a;->c3(I J)I || 0x0bc6:move-result v2 || 0x0bc8:sput v2, LscriptPages/game/k0;->l2 I || 0x0bcc:invoke-static v0, v2, Lo/a;->v4(I I)I || 0x0bd2:move-result v2 || 0x0bd4:if-nez v2, +0b5h || 0x0bd8:sput-byte v1, LscriptPages/game/z;->C3 B || 0x0bdc:sget-boolean v0, LscriptPages/game/k0;->a Z || 0x0be0:const-string v1, ""di_提示装备中"" || 0x0be4:const/16 v2, 1836 || 0x0be8:if-eqz v0, +029h"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0c18,"v0, LscriptPages/game/z;->C3 B","0x0c04:sget v6, LscriptPages/gameHD/c;->G I || 0x0c08:mul-int v3, v3, v6 || 0x0c0c:add-int/2addr v3, v0 || 0x0c0e:sget-object v0, LscriptPages/gameHD/c;->a0 [J || 0x0c12:aget-wide v6, v0, v3 || 0x0c16:const/4 v0, 1 || 0x0c18:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0c1c:const/4 v0, 0 || 0x0c1e:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0c24:move-result-object v0 || 0x0c26:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0c5e,"v0, LscriptPages/game/z;->C3 B","0x0c4c:move-result v0 || 0x0c4e:invoke-static LscriptPages/data/d;->e()[J || 0x0c54:move-result-object v3 || 0x0c56:array-length v3, v3 || 0x0c58:if-ge v0, v3, +01eh || 0x0c5c:const/4 v0, 1 || 0x0c5e:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0c62:const/4 v0, 0 || 0x0c64:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0c6a:move-result-object v0 || 0x0c6c:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0cae,"v3, LscriptPages/game/z;->C3 B","0x0c9e:move-result v0 || 0x0ca0:invoke-static LscriptPages/data/d;->e()[J || 0x0ca6:move-result-object v3 || 0x0ca8:array-length v3, v3 || 0x0caa:sub-int/2addr v0, v3 || 0x0cac:const/4 v3, 1 || 0x0cae:sput-byte v3, LscriptPages/game/z;->C3 B || 0x0cb2:const/4 v3, 0 || 0x0cb4:invoke-static v2, v1, v3, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0cba:move-result-object v1 || 0x0cbc:invoke-static v1, LscriptPages/game/r0;->c0(Ljava/lang/String;)V"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0ce8,"v0, LscriptPages/game/z;->C3 B","0x0cd6:goto -51h || 0x0cd8:sget v0, LscriptPages/game/k0;->v2 I || 0x0cdc:sget-object v3, LscriptPages/game/k0;->s2 [J || 0x0ce0:array-length v6, v3 || 0x0ce2:if-ge v0, v6, +018h || 0x0ce6:const/4 v0, 1 || 0x0ce8:sput-byte v0, LscriptPages/game/z;->C3 B || 0x0cec:const/4 v0, 0 || 0x0cee:invoke-static v2, v1, v0, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0cf4:move-result-object v0 || 0x0cf6:invoke-static v0, LscriptPages/game/r0;->c0(Ljava/lang/String;)V"
z.C3,B,LscriptPages/game/k0;->f0()I,0x3bf6cc,0x0d1c,"v7, LscriptPages/game/z;->C3 B","0x0d10:goto +16h || 0x0d12:const/4 v6, 0 || 0x0d14:const/4 v7, 1 || 0x0d16:const/4 v8, 0 || 0x0d18:array-length v3, v3 || 0x0d1a:sub-int/2addr v0, v3 || 0x0d1c:sput-byte v7, LscriptPages/game/z;->C3 B || 0x0d20:invoke-static v2, v1, v8, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0d26:move-result-object v1 || 0x0d28:invoke-static v1, LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0x0d2e:sget-object v1, LscriptPages/game/k0;->u2 [J"
z.C3,B,LscriptPages/game/z;->M(Ljava/lang/String;)V,0x365c3c,0x0074,"v5, LscriptPages/game/z;->C3 B","0x005c:move-result-object v6 || 0x005e:invoke-static v6, LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0x0064:sget-byte v6, LscriptPages/game/z;->B3 B || 0x0068:if-ne v6, v5, +008h || 0x006c:sget-byte v2, LscriptPages/game/z;->C3 B || 0x0070:if-nez v2, +004h || 0x0074:sput-byte v5, LscriptPages/game/z;->C3 B || 0x0078:sget-byte v2, LscriptPages/game/z;->C3 B || 0x007c:if-ne v2, v5, +018h || 0x0080:if-ne v6, v5, +00eh || 0x0084:const/16 v6, 12"
z.C3,B,LscriptPages/game/z;->Q(Ljava/lang/String;)V,0x365f0c,0x0134,"v5, LscriptPages/game/z;->C3 B","0x011c:move-result-object v14 || 0x011e:invoke-static v14, LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0x0124:sget-byte v14, LscriptPages/game/z;->B3 B || 0x0128:if-ne v14, v5, +008h || 0x012c:sget-byte v2, LscriptPages/game/z;->C3 B || 0x0130:if-nez v2, +004h || 0x0134:sput-byte v5, LscriptPages/game/z;->C3 B || 0x0138:sget-byte v2, LscriptPages/game/z;->C3 B || 0x013c:if-ne v2, v5, +018h || 0x0140:if-ne v14, v5, +00eh || 0x0144:const/16 v14, 12"
