ordinal,template_id_In,name_Mn,stat_type_Nn,famous_flag_Jn,description_On,level_Kn,base_stat_Ln,icon_id_Pn,reserved_tail_byte
0,0,短剑,0,0,,1,10,797,0
1,1,板斧,0,0,,3,13,791,0
2,2,铜锤,0,0,,6,16,784,0
3,3,斩马刀,0,0,,9,19,787,0
4,4,铁胎弓,0,0,,12,22,813,0
5,5,亮银枪,0,0,,15,25,804,0
6,6,精钢剑,0,0,,20,30,802,0
7,7,赤金斧,0,0,,25,35,795,0
8,8,混元锤,0,0,,30,40,801,0
9,9,碧玉刀,0,0,,35,45,793,0
10,10,流云弓,0,0,,40,50,805,0
11,11,泼风枪,0,0,,45,55,807,0
12,12,避水剑,0,0,,50,60,794,0
13,13,开山斧,0,0,,55,65,803,0
14,14,破天锤,0,0,,60,70,808,0
15,15,鬼头刀,0,0,,65,75,800,0
16,16,宝雕弓,0,0,,70,80,792,0
17,17,霸王枪,0,0,,75,85,790,0
18,18,倚天剑,0,1,曹操宝剑之一，锋锐无比。,85,110,786,0
19,19,青釭剑,0,1,曹操的宝剑之一，靶上有金嵌“青釭”二字。,80,100,810,0
20,20,青龙偃月刀,0,1,青龙偃月刀为关羽所使用的兵器，重八十二斤，又名冷艳锯。,95,130,811,0
21,21,丈八蛇矛,0,1,,95,130,788,0
22,22,雌雄双剑,0,1,,80,100,796,0
23,23,诸葛扇,0,1,,90,120,789,0
24,24,古锭刀,0,1,,80,100,799,0
25,25,方天画戟,0,1,一代猛将吕布的武器，威力无比。,95,130,798,0
26,26,七星刀,0,1,,85,110,809,0
27,27,玄铁双戟,0,1,,90,120,785,0
28,28,龙胆枪,0,1,,90,120,806,0
29,29,三尖刀,0,1,,85,110,812,0
30,30,皮盔,1,0,,10,18,766,0
31,31,青铜盔,1,0,,22,30,772,0
32,32,精铁盔,1,0,,34,42,771,0
33,33,白银盔,1,0,,46,54,768,0
34,34,黄金盔,1,0,,58,66,769,0
35,35,紫金盔,1,0,,70,78,775,0
