file,direction,opcode_hex,payload_len,payload_hex,dm,gm,client_time,outer_index,inner_index,server_time,unique,obfuscated,flag,payload_prefix_hex
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_req.bin,request,0x1016,8,00000000000002fc,6264113312098633540,0,1783188979013,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/001_2026-07-05_021620_628_req.bin,request,0x1104,1,00,6264113312098633540,0,1783188980234,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/001_2026-07-05_021620_628_req.bin,request,0x1113,1,00,6264113312098633540,0,1783188980234,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/002_2026-07-05_021621_161_req.bin,request,0x1008,7,0b16c006800a0a,6264113312098633540,0,1783188980914,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_req.bin,request,0x1800,1,00,6264113312098633540,0,1783188981654,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_req.bin,request,0x1800,1,00,6264113312098633540,0,1783188981654,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783188981654,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/003_2026-07-05_021621_840_req.bin,request,0x6200,0,,6264113312098633540,0,1783188981654,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/004_2026-07-05_021622_488_req.bin,request,0x1130,1,00,6264113312098633540,0,1783188982061,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/004_2026-07-05_021622_488_req.bin,request,0x6200,0,,6264113312098633540,0,1783188982061,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/005_2026-07-05_021635_268_req.bin,request,0x1104,1,00,6264113312098633540,0,1783188995178,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/006_2026-07-05_021637_822_req.bin,request,0x3160,5,010001000c,6264113312098633540,0,1783188997565,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/007_2026-07-05_021642_491_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189002129,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/008_2026-07-05_021652_613_req.bin,request,0x3160,5,070001000c,6264113312098633540,0,1783189012536,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/009_2026-07-05_021701_942_req.bin,request,0x3160,5,050001000c,6264113312098633540,0,1783189021577,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/010_2026-07-05_021702_716_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189022558,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/011_2026-07-05_021706_156_req.bin,request,0x3160,5,070001000c,6264113312098633540,0,1783189025777,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/012_2026-07-05_021715_819_req.bin,request,0x1102,11,000000000000002b000000,6264113312098633540,0,1783189035422,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/013_2026-07-05_021719_090_req.bin,request,0x1104,1,00,6264113312098633540,0,1783189038709,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/014_2026-07-05_021720_252_req.bin,request,0x1130,1,00,6264113312098633540,0,1783189039992,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/015_2026-07-05_021721_145_req.bin,request,0x3160,5,010001000c,6264113312098633540,0,1783189040849,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/016_2026-07-05_021723_438_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189043170,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/016_2026-07-05_021723_438_req.bin,request,0x6200,0,,6264113312098633540,0,1783189043170,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/017_2026-07-05_021743_415_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189063434,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/018_2026-07-05_021803_735_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189083636,,,,,,,
