handler,code_off,direct_read_count,direct_read_sequence,direct_parser_calls
Lo/a;->V8(J)V,0x24bcac,0,,
Lo/a;->U(Ljava/lang/String;)V,0x22f22c,3,0000:readLong(Ljava/lang/String;)J || 0008:readBoolean(Ljava/lang/String;)Z || 0014:readByte(Ljava/lang/String;)B,
LscriptPages/game/a0;->J([B)V,0x390cb0,1,000a:readByte(Ljava/lang/String;)B,0018:LscriptPages/game/a0;->N(I)V || 001e:LscriptPages/game/a0;->M(Ljava/lang/String;)V || 004c:LscriptPages/data/g;->q5(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Z)V || 0060:LscriptPages/game/a0;->N(I)V || 0072:LscriptPages/game/a0;->N(I)V || 0080:LscriptPages/game/a0;->N(I)V || 0092:LscriptPages/game/a0;->N(I)V
LscriptPages/game/b0;->i1(Ljava/lang/String;)V,0x387ff4,17,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0016:readLong(Ljava/lang/String;)J || 0038:readLong(Ljava/lang/String;)J || 0056:readByte(Ljava/lang/String;)B || 0064:readInt(Ljava/lang/String;)I || 0070:readInt(Ljava/lang/String;)I || 00b2:readLong(Ljava/lang/String;)J || 00c2:readShort(Ljava/lang/String;)S || 00d2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00e2:readByte(Ljava/lang/String;)B || 00f2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0102:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0134:readLong(Ljava/lang/String;)J || 013c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 014e:readByte(Ljava/lang/String;)B || 015c:readBoolean(Ljava/lang/String;)Z,0044:Lo/a;->U4()I || 0148:Lo/a;->U(Ljava/lang/String;)V || 0156:LscriptPages/PageMain;->pingshenSet(I)V || 0238:LscriptPages/game/b0;->I1(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; I I I I I Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; I Ljava/lang/String;)V || 0256:LscriptPages/game/b0;->J1(Ljava/lang/String; I I I)V || 0312:LscriptPages/game/b0;->I1(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; I I I I I Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; I Ljava/lang/String;)V || 0330:LscriptPages/game/b0;->J1(Ljava/lang/String; I I I)V || 0384:LscriptPages/game/b0;->w0(J J I Ljava/lang/String; Ljava/lang/String; B Ljava/lang/String; Ljava/lang/String;)V || 038a:LscriptPages/data/g;->E2(I)I || 039a:LscriptPages/game/b0;->o0()V || 03ec:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 03f4:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0420:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0428:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0454:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 045c:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0462:LscriptPages/game/b0;->z0()V || 047c:LscriptPages/data/g;->E2(I)I || 0488:LscriptPages/game/b0;->a()V || 04a8:LscriptPages/game/b0;->W()V || 04b6:LscriptPages/game/b0;->z0()V || 04d2:LscriptPages/game/b0;->a0()V || 04dc:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 04f0:LscriptPages/game/b0;->a0()V || 04fa:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 050e:LscriptPages/data/g;->E2(I)I || 051e:LscriptPages/game/b0;->o0()V || 0538:LscriptPages/game/b0;->a0()V || 0542:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 054a:LscriptPages/game/b0;->z0()V || 056a:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0572:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/a0;->S([B)V,0x3919a8,61,000a:readByte(Ljava/lang/String;)B || 0016:readByte(Ljava/lang/String;)B || 0062:readLong(Ljava/lang/String;)J || 00aa:readInt(Ljava/lang/String;)I || 00cc:readLong(Ljava/lang/String;)J || 00dc:readInt(Ljava/lang/String;)I || 0100:readInt(Ljava/lang/String;)I || 012e:readShort(Ljava/lang/String;)S || 0136:readShort(Ljava/lang/String;)S || 013e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0146:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0174:readInt(Ljava/lang/String;)I || 019a:readShort(Ljava/lang/String;)S || 01a2:readInt(Ljava/lang/String;)I || 01aa:readInt(Ljava/lang/String;)I || 01d4:readLong(Ljava/lang/String;)J || 01da:readLong(Ljava/lang/String;)J || 01e6:readLong(Ljava/lang/String;)J || 01f2:readLong(Ljava/lang/String;)J || 01fc:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0212:readByte(Ljava/lang/String;)B || 021a:readBoolean(Ljava/lang/String;)Z || 0240:readByte(Ljava/lang/String;)B || 0256:readShort(Ljava/lang/String;)S || 025e:readByte(Ljava/lang/String;)B || 027e:readInt(Ljava/lang/String;)I || 0290:readInt(Ljava/lang/String;)I || 0296:readInt(Ljava/lang/String;)I || 02a2:readInt(Ljava/lang/String;)I || 02ae:readInt(Ljava/lang/String;)I || 02ba:readInt(Ljava/lang/String;)I || 02c6:readShort(Ljava/lang/String;)S || 02cc:readInt(Ljava/lang/String;)I || 02d8:readShort(Ljava/lang/String;)S || 02e4:readShort(Ljava/lang/String;)S || 02f0:readShort(Ljava/lang/String;)S || 02fc:readInt(Ljava/lang/String;)I || 0302:readByte(Ljava/lang/String;)B || 031c:readInt(Ljava/lang/String;)I || 032e:readByte(Ljava/lang/String;)B || 033c:readShort(Ljava/lang/String;)S || 0348:readByte(Ljava/lang/String;)B || 036e:readByte(Ljava/lang/String;)B || 0376:readByte(Ljava/lang/String;)B || 037e:readShort(Ljava/lang/String;)S || 03a8:readInt(Ljava/lang/String;)I || 03b0:readShort(Ljava/lang/String;)S || 03b6:readShort(Ljava/lang/String;)S || 03bc:readShort(Ljava/lang/String;)S || 03c2:readShort(Ljava/lang/String;)S || 03d4:readByte(Ljava/lang/String;)B || 03ea:readBoolean(Ljava/lang/String;)Z || 0402:readBoolean(Ljava/lang/String;)Z || 040e:readBoolean(Ljava/lang/String;)Z || 0418:readByte(Ljava/lang/String;)B || 0426:readBoolean(Ljava/lang/String;)Z || 0432:readInt(Ljava/lang/String;)I || 044a:readShort(Ljava/lang/String;)S || 0452:readUTF(Ljava/lang/String;)Ljava/lang/String; || 045a:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0474:readBoolean(Ljava/lang/String;)Z,004e:LscriptPages/data/g;->q5(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Z)V || 005c:LscriptPages/data/g;->c3()V || 006a:LscriptPages/PageMain;->setCurTime(J)V || 00fa:LscriptPages/data/i;->y(Ljava/lang/String;)V || 03ce:Lo/a;->W(Ljava/lang/String;)V || 0420:LscriptPages/PageMain;->pingshenSet(I)V || 0480:Lo/a;->M6()V
LscriptPages/game/a0;->B0(Ljava/lang/String;)V,0x393eb0,1,0000:readByte(Ljava/lang/String;)B,0028:LscriptPages/data/g;->C0()Ljava/lang/String; || 0030:LscriptPages/game/b0;->P0(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)V || 003e:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0046:LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 004e:LscriptPages/game/b0;->W()V || 0054:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 005c:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0070:LscriptPages/game/a0;->w()V || 0076:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 007e:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/data/g;->G0()B,0x2648b4,0,,
LscriptPages/game/b0;->E0([B)V,0x38355c,2,000a:readByte(Ljava/lang/String;)B || 0012:readUTF(Ljava/lang/String;)Ljava/lang/String;,0028:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0030:LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 005e:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0066:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 007c:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0084:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 0096:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 00ac:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 00b4:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 00bc:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/a0;->R([B)V,0x391918,2,000a:readByte(Ljava/lang/String;)B || 0012:readUTF(Ljava/lang/String;)Ljava/lang/String;,0020:LscriptPages/game/a0;->N(I)V || 0032:LscriptPages/game/a0;->N(I)V || 0044:LscriptPages/game/a0;->N(I)V || 0056:LscriptPages/game/a0;->N(I)V || 0068:LscriptPages/game/a0;->N(I)V || 0070:LscriptPages/game/a0;->N(I)V
LscriptPages/game/b0;->N0(Ljava/lang/String;)V,0x383dcc,2,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String;,0054:LscriptPages/game/b0;->L()[B || 005c:Lo/a;->d0(S [B)Z || 006c:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0074:LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 008a:LscriptPages/game/a0;->o0(Ljava/lang/String;)V || 00a4:Lo/a;->q()Ljava/lang/String; || 00aa:LscriptPages/data/g;->C0()Ljava/lang/String; || 00b0:Lo/a;->e2()Ljava/lang/String; || 00b6:Lo/a;->U4()I || 00c2:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 00ce:LscriptPages/game/r0;->d0(Ljava/lang/String;)V || 00e6:LscriptPages/game/a0;->o0(Ljava/lang/String;)V
