flow_seq,flow_idx,ts,request_len,response_len,status,header,client_time_hex,command_count,request_opcodes,request_payload_lengths,response_outer_count,response_packet_count,response_opcodes,response_payload_lengths,obfuscation_flags,fragment_or_cache_flags,request_consumed,response_consumed,parse_error
0,29,2026-07-05 02:16:19.964,64,12375,200,1660606`7054`0000480502,0x0000019f2e587d45,1,0x1016,8,1,6,0x8001 0x800a 0x8146 0x8004 0xa129 0x8280,19 278 249 11397 4 282,0 0 0 0 0 0,0 0 0 0 0 0,True,True,
1,30,2026-07-05 02:16:20.628,80,669,200,1660606`7054`0000480502,0x0000019f2e58820a,2,0x1104 0x1113,1 1,2,2,0x8104 0x8113,618 0,0 0,0 0,True,True,
2,31,2026-07-05 02:16:21.161,63,49870,200,1660606`7054`0000480502,0x0000019f2e5884b2,1,0x1008,7,1,2,0x8008 0x800d,25344 24476,0 0,0 0,True,True,
3,33,2026-07-05 02:16:21.840,126,7163,200,1660606`7054`0000480502,0x0000019f2e588796,4,0x1800 0x1800 0x3110 0x6200,1 1 2 0,4,4,0x8800 0x8800 0xa110 0xe200,3 3 5662 1394,0 0 0 0,0 0 0 0,True,True,
4,35,2026-07-05 02:16:22.488,79,2379,200,1660606`7054`0000480502,0x0000019f2e58892d,2,0x1130 0x6200,1 0,2,2,0x8130 0xe200,934 1394,0 0,0 0,True,True,
5,39,2026-07-05 02:16:35.268,57,644,200,1660606`7054`0000480502,0x0000019f2e58bc6a,1,0x1104,1,1,1,0x8104,618,0,0,True,True,
6,40,2026-07-05 02:16:37.822,61,248,200,1660606`7054`0000480502,0x0000019f2e58c5bd,1,0x3160,5,1,1,0xa160,222,0,0,True,True,
7,41,2026-07-05 02:16:42.491,58,209,200,1660606`7054`0000480502,0x0000019f2e58d791,1,0x3110,2,1,1,0xa110,183,0,0,True,True,
8,43,2026-07-05 02:16:52.613,61,158,200,1660606`7054`0000480502,0x0000019f2e590038,1,0x3160,5,1,1,0xa160,132,0,0,True,True,
9,44,2026-07-05 02:17:01.942,61,248,200,1660606`7054`0000480502,0x0000019f2e592389,1,0x3160,5,1,1,0xa160,222,0,0,True,True,
10,45,2026-07-05 02:17:02.716,58,209,200,1660606`7054`0000480502,0x0000019f2e59275e,1,0x3110,2,1,1,0xa110,183,0,0,True,True,
11,46,2026-07-05 02:17:06.156,61,158,200,1660606`7054`0000480502,0x0000019f2e5933f1,1,0x3160,5,1,1,0xa160,132,0,0,True,True,
12,47,2026-07-05 02:17:15.819,67,699,200,1660606`7054`0000480502,0x0000019f2e59599e,1,0x1102,11,1,1,0x8102,673,0,0,True,True,
13,49,2026-07-05 02:17:19.090,57,644,200,1660606`7054`0000480502,0x0000019f2e596675,1,0x1104,1,1,1,0x8104,618,0,0,True,True,
14,50,2026-07-05 02:17:20.252,57,960,200,1660606`7054`0000480502,0x0000019f2e596b78,1,0x1130,1,1,1,0x8130,934,0,0,True,True,
15,51,2026-07-05 02:17:21.145,61,248,200,1660606`7054`0000480502,0x0000019f2e596ed1,1,0x3160,5,1,1,0xa160,222,0,0,True,True,
16,52,2026-07-05 02:17:23.438,80,1628,200,1660606`7054`0000480502,0x0000019f2e5977e2,2,0x3110 0x6200,2 0,2,2,0xa110 0xe200,183 1394,0 0,0 0,True,True,
17,53,2026-07-05 02:17:43.415,58,209,200,1660606`7054`0000480502,0x0000019f2e59c70a,1,0x3110,2,1,1,0xa110,183,0,0,True,True,
18,56,2026-07-05 02:18:03.735,58,209,200,1660606`7054`0000480502,0x0000019f2e5a15f4,1,0x3110,2,1,1,0xa110,183,0,0,True,True,
19,58,2026-07-05 02:18:24.155,80,1628,200,1660606`7054`0000480502,0x0000019f2e5a654f,2,0x3110 0x6200,2 0,2,2,0xa110 0xe200,183 1394,0 0,0 0,True,True,
