flow_seq,flow_idx,ts,command_index,header,client_time_dec,client_time_hex,dm_dec,dm_hex,gm_dec,gm_hex,payload_length,opcode_dec,opcode_hex,opcode_signed,request_name,signature_len,signature,signature_hex,payload_hex,payload_ascii_preview
0,29,2026-07-05 02:16:19.964,0,1660606`7054`0000480502,1783188979013,0x0000019f2e587d45,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,8,4118,0x1016,4118,,0,,,00000000000002fc,........
1,30,2026-07-05 02:16:20.628,0,1660606`7054`0000480502,1783188980234,0x0000019f2e58820a,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,1,4356,0x1104,4356,Lo/a;->M6,0,,,00,.
1,30,2026-07-05 02:16:20.628,1,1660606`7054`0000480502,1783188980234,0x0000019f2e58820a,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,1,4371,0x1113,4371,,0,,,00,.
2,31,2026-07-05 02:16:21.161,0,1660606`7054`0000480502,1783188980914,0x0000019f2e5884b2,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,7,4104,0x1008,4104,cacheData@game/s0->d0,0,,,0b16c006800a0a,.......
3,33,2026-07-05 02:16:21.840,0,1660606`7054`0000480502,1783188981654,0x0000019f2e588796,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,1,6144,0x1800,6144,,0,,,00,.
3,33,2026-07-05 02:16:21.840,1,1660606`7054`0000480502,1783188981654,0x0000019f2e588796,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,1,6144,0x1800,6144,,0,,,00,.
3,33,2026-07-05 02:16:21.840,2,1660606`7054`0000480502,1783188981654,0x0000019f2e588796,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,2,12560,0x3110,12560,REQ_HD_LIVEPACKET@PageMain->runLivePacket,0,,,0100,..
3,33,2026-07-05 02:16:21.840,3,1660606`7054`0000480502,1783188981654,0x0000019f2e588796,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,0,25088,0x6200,25088,houyedu@gameHD/a->f,0,,,,
4,35,2026-07-05 02:16:22.488,0,1660606`7054`0000480502,1783188982061,0x0000019f2e58892d,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,1,4400,0x1130,4400,LscriptPages/game/m0;->r,0,,,00,.
4,35,2026-07-05 02:16:22.488,1,1660606`7054`0000480502,1783188982061,0x0000019f2e58892d,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,0,25088,0x6200,25088,houyedu@gameHD/a->f,0,,,,
5,39,2026-07-05 02:16:35.268,0,1660606`7054`0000480502,1783188995178,0x0000019f2e58bc6a,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,1,4356,0x1104,4356,Lo/a;->M6,0,,,00,.
6,40,2026-07-05 02:16:37.822,0,1660606`7054`0000480502,1783188997565,0x0000019f2e58c5bd,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,5,12640,0x3160,12640,,0,,,010001000c,.....
7,41,2026-07-05 02:16:42.491,0,1660606`7054`0000480502,1783189002129,0x0000019f2e58d791,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,2,12560,0x3110,12560,REQ_HD_LIVEPACKET@PageMain->runLivePacket,0,,,0100,..
8,43,2026-07-05 02:16:52.613,0,1660606`7054`0000480502,1783189012536,0x0000019f2e590038,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,5,12640,0x3160,12640,,0,,,070001000c,.....
9,44,2026-07-05 02:17:01.942,0,1660606`7054`0000480502,1783189021577,0x0000019f2e592389,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,5,12640,0x3160,12640,,0,,,050001000c,.....
10,45,2026-07-05 02:17:02.716,0,1660606`7054`0000480502,1783189022558,0x0000019f2e59275e,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,2,12560,0x3110,12560,REQ_HD_LIVEPACKET@PageMain->runLivePacket,0,,,0100,..
11,46,2026-07-05 02:17:06.156,0,1660606`7054`0000480502,1783189025777,0x0000019f2e5933f1,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,5,12640,0x3160,12640,,0,,,070001000c,.....
12,47,2026-07-05 02:17:15.819,0,1660606`7054`0000480502,1783189035422,0x0000019f2e59599e,6264113312098633540,0x56ee99de606f4744,0,0x0000000000000000,11,4354,0x1102,4354,buyMallGood@game/q->B1,0,,,000000000000002b000000,.......+...
