flow_seq,flow_idx,ts,outer_index,inner_index,response_long0_dec,response_long0_hex,response_long1_dec,response_long1_hex,obfuscation_flag,payload_length,response_opcode_dec,response_opcode_hex,response_opcode_signed,fragment_or_cache_flag,dispatch_handler,dispatch_request_minus_7000,dispatch_request_minus_8000,payload_hex_prefix,payload_ascii_preview
0,29,2026-07-05 02:16:19.964,0,0,6264113312098633540,0x56ee99de606f4744,1869809168105386018,0x19f2e5881eb0b022,0,19,32769,0x8001,-32767,0,029c:Lo/a;->V8(J)V,"0x1001 v1, """"@scriptPages/game/a0->U",0x0001,0056ee99de606f47440000019f2e5881eb011b,.V...`oGD.....X....
0,29,2026-07-05 02:16:19.964,0,1,6264113312098633540,0x56ee99de606f4744,1869809168105386019,0x19f2e5881eb0b023,0,278,32778,0x800a,-32758,0,032a:LscriptPages/data/c;->j(Ljava/lang/String;)V,0x100a,0x000a,000000000000000000010006e5a4a7e6b189000000780003e6b1890000001900000000001549f6000000000017db080000000300000000056be737000000000a,.....................x...............I..........…
0,29,2026-07-05 02:16:19.964,0,2,6264113312098633540,0x56ee99de606f4744,1869809168105386020,0x19f2e5881eb0b024,0,249,33094,0x8146,-32442,0,0694:LscriptPages/data/g;->a3(Ljava/lang/String;)V,0x1146 (unnamed)@scriptPages/game/q->S0; (unnamed)@scriptPages/game/z->U0,0x0146,2600060016001700180019001a01640101001e020100140301001304060010001100120167016801690504000c000d000e000f0604001b001c001d0165070500,&.............d.....................g.h.i.......…
0,29,2026-07-05 02:16:19.964,0,3,6264113312098633540,0x56ee99de606f4744,1869809168105386021,0x19f2e5881eb0b025,0,11397,32772,0x8004,-32764,0,02c6:LscriptPages/game/a0;->S([B)V,0x1004 gameLogin@scriptPages/game/a0->Q; accountLogin@scriptPages/game/b0->C0; (unnamed)@scriptPages/game/b0->D0,0x0004,00000000019f2e5881eb00000000000002fc0009e4b89ce696b9e7be8e0034000000000008a39500000000000f49b40000000000000001000084040000000000,.......X......................4..............I..…
0,29,2026-07-05 02:16:19.964,0,4,6264113312098633540,0x56ee99de606f4744,1869809168105386022,0x19f2e5881eb0b026,0,4,41257,0xa129,-24279,0,24be:La0/a;->I1(Ljava/lang/String;)V,0x3129 reqSetNewhandGuideInfo@scriptPages/gameHD/j->A; reqSetNewhandGuideInfo@scriptPages/gameHD/j->a,0x2129,00000063,...c
0,29,2026-07-05 02:16:19.964,0,5,6264113312098633540,0x56ee99de606f4744,1869809168105386023,0x19f2e5881eb0b027,0,282,33408,0x8280,-32128,0,0c3e:Lo/a;->e6(Ljava/lang/String;)V,0x1280 ChangeTeamNEW@scriptPages/gameHD/g->q,0x0280,0105000007e7bc96e7bb843105000000000000686b9901ffffffffffffffff02ffffffffffffffff03ffffffffffffffff04ffffffffffffffff010007e7bc96,...........1.......hk...........................…
1,30,2026-07-05 02:16:20.628,0,0,6264113312098633540,0x56ee99de606f4744,1869809168800591934,0x19f2e5884820b03e,0,618,33028,0x8104,-32508,0,0434:Lo/a;->q7(Ljava/lang/String;)V,0x1104 (unnamed)@o/a->M6,0x0104,00000000000000000000000000000424002b000800010000000000000000006e0001000000000000000000400003000000000000000000420003000000000000,...............$.+.............n...........@....…
1,30,2026-07-05 02:16:20.628,1,0,6264113312098633540,0x56ee99de606f4744,1869809168800591936,0x19f2e5884820b040,0,0,33043,0x8113,-32493,0,,0x1113,0x0113,,
2,31,2026-07-05 02:16:21.161,0,0,6264113312098633540,0x56ee99de606f4744,1869809169353191504,0x19f2e5886910b050,0,25344,32776,0x8008,-32760,0,0300:LscriptPages/game/s0;->y([B)V,0x1008 cacheData@scriptPages/game/s0->d0,0x0008,2ee00e100140014002020800c800c8090f100e890e910e940e950ef80efa0efd0eff640000000d0000000e0000000f0000001000000011000000120000001300,.....@.@..........................d.............…
2,31,2026-07-05 02:16:21.161,0,1,6264113312098633540,0x56ee99de606f4744,1869809169353191505,0x19f2e5886910b051,0,24476,32781,0x800d,-32755,0,03c8:LscriptPages/game/s0;->b([B)V,0x100d,0x000d,010200000000000003a000420004830c0006e6b0b8e5ae8904023d05000000000000000000000000001effffffff001e03e8000186a0000186a000061a800006,...........B..............=.....................…
3,33,2026-07-05 02:16:21.840,0,0,6264113312098633540,0x56ee99de606f4744,1869809170030571616,0x19f2e5889170b060,0,3,34816,0x8800,-30720,0,1714:LscriptPages/game/w;->g0(Ljava/lang/String;)V,0x1800,0x0800,000000,...
3,33,2026-07-05 02:16:21.840,1,0,6264113312098633540,0x56ee99de606f4744,1869809170030571618,0x19f2e5889170b062,0,3,34816,0x8800,-30720,0,1714:LscriptPages/game/w;->g0(Ljava/lang/String;)V,0x1800,0x0800,000000,...
3,33,2026-07-05 02:16:21.840,2,0,6264113312098633540,0x56ee99de606f4744,1869809170031620196,0x19f2e5889180b064,0,5662,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a39500000000000f49b50000034b000002f20000000000000424000000000000000004030c000000000002b3000b0100120000000000000001,...............I....K...........$...............…
3,33,2026-07-05 02:16:21.840,3,0,6264113312098633540,0x56ee99de606f4744,1869809170034765926,0x19f2e58891b0b066,0,1394,57856,0xe200,-7680,0,1c34:LscriptPages/gameHD/a;->h(Ljava/lang/String;)V,0x7200,0x6200 houyedu@scriptPages/gameHD/a->f,0000000000000e772107ea0705031f02040500040300253530303030e9939ce992b1efbc8c313530303030e7b2aee9a39fefbc8c3230e78e89e79fb30007003f,.......w!.............%50000.........150000.....…
4,35,2026-07-05 02:16:22.488,0,0,6264113312098633540,0x56ee99de606f4744,1869809170732068981,0x19f2e588bb40b075,0,934,33072,0x8130,-32464,0,1232:LscriptPages/game/m0;->s(Ljava/lang/String;)V,0x1130 (unnamed)@scriptPages/game/m0->r,0x0130,000b0000000000002714000ce7a78de6a48de68a80e69caf010000000000002716000fe5bbbae980a0e5bc93e585b5e890a5010000000000002723000ce4ba94,........'......................'................…
4,35,2026-07-05 02:16:22.488,1,0,6264113312098633540,0x56ee99de606f4744,1869809170732068983,0x19f2e588bb40b077,0,1394,57856,0xe200,-7680,0,1c34:LscriptPages/gameHD/a;->h(Ljava/lang/String;)V,0x7200,0x6200 houyedu@scriptPages/gameHD/a->f,0000000000000e772107ea0705031f02040500040300253530303030e9939ce992b1efbc8c313530303030e7b2aee9a39fefbc8c3230e78e89e79fb30007003f,.......w!.............%50000.........150000.....…
5,39,2026-07-05 02:16:35.268,0,0,6264113312098633540,0x56ee99de606f4744,1869809184144404934,0x19f2e58bdab0b1c6,0,618,33028,0x8104,-32508,0,0434:Lo/a;->q7(Ljava/lang/String;)V,0x1104 (unnamed)@o/a->M6,0x0104,00000000000000000000000000000424002b000800010000000000000000006e0001000000000000000000400003000000000000000000420003000000000000,...............$.+.............n...........@....…
