opcode_hex,signed_opcode,if_off,likely_handler,calls
0x0000,0,0x0a78,"000a7c:invoke-static v9, v11, Lo/a;->f6(I Ljava/lang/String;)V","000a7c:invoke-static v9, v11, Lo/a;->f6(I Ljava/lang/String;)V"
0x0000,0,0x0d78,"000d7c:invoke-static v11, LscriptPages/game/p;->P0(Ljava/lang/String;)V","000d7c:invoke-static v11, LscriptPages/game/p;->P0(Ljava/lang/String;)V"
0x0000,0,0x0dfe,"000e02:invoke-static v11, LscriptPages/game/p;->X0(Ljava/lang/String;)V","000e02:invoke-static v11, LscriptPages/game/p;->X0(Ljava/lang/String;)V"
0x0000,0,0x13e6,"0013ea:invoke-static v11, LscriptPages/game/n;->o2(Ljava/lang/String;)V","0013ea:invoke-static v11, LscriptPages/game/n;->o2(Ljava/lang/String;)V"
0x0000,0,0x1514,"001524:invoke-static v11, LscriptPages/game/b0;->S0(Ljava/lang/String;)V","001518:invoke-static LscriptPages/PageMain;->getStatus()I || 001524:invoke-static v11, LscriptPages/game/b0;->S0(Ljava/lang/String;)V"
0x0000,0,0x1a6c,"001a7c:invoke-static v11, LscriptPages/game/q0;->F1(Ljava/lang/String;)V","001a7c:invoke-static v11, LscriptPages/game/q0;->F1(Ljava/lang/String;)V"
0x0001,1,0x0022,"000036:invoke-static v3, LscriptPages/game/b0;->K1(B)V","000026:invoke-static LscriptPages/PageMain;->getStatus()I || 000036:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 00003c:invoke-static LscriptPages/game/b0;->z0()V || 000042:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 00004a:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0001,1,0x005a,000064:invoke-static LscriptPages/game/b0;->U()V,"00005e:invoke-static v7, LscriptPages/PageMain;->setStatus(I)V || 000064:invoke-static LscriptPages/game/b0;->U()V || 00006a:invoke-static LscriptPages/PageMain;->exitGame()V || 000070:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 000078:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0001,1,0x0096,"0000aa:invoke-static v3, LscriptPages/game/b0;->K1(B)V","00009a:invoke-static LscriptPages/PageMain;->getStatus()I || 0000aa:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 0000b0:invoke-static LscriptPages/game/b0;->z0()V || 0000b6:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0000be:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0001,1,0x00ce,0000d8:invoke-static LscriptPages/game/b0;->U()V,"0000d2:invoke-static v7, LscriptPages/PageMain;->setStatus(I)V || 0000d8:invoke-static LscriptPages/game/b0;->U()V || 0000de:invoke-static LscriptPages/PageMain;->exitGame()V || 0000e4:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0000ec:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0001,1,0x010e,,000112:invoke-static LscriptPages/PageMain;->getStatus()I
0x0001,1,0x0122,"00012c:invoke-static v3, LscriptPages/game/b0;->K1(B)V","00012c:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 000132:invoke-static LscriptPages/game/b0;->z0()V || 000138:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 000140:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0001,1,0x0150,000154:invoke-static LscriptAPI/baseAPI/BaseExt;->getCurPatForm()I,"000154:invoke-static LscriptAPI/baseAPI/BaseExt;->getCurPatForm()I || 000160:invoke-static LscriptPages/data/g;->B0()Ljava/lang/String; || 000168:invoke-virtual v9, v8, Ljava/lang/String;->equals(Ljava/lang/Object;)Z"
0x0001,1,0x024a,"00024e:invoke-static v10, LscriptPages/game/b0;->C0([B)V","00024e:invoke-static v10, LscriptPages/game/b0;->C0([B)V"
0x0001,1,0x02e0,"0002e4:invoke-static v10, LscriptPages/game/b0;->E0([B)V","0002e4:invoke-static v10, LscriptPages/game/b0;->E0([B)V"
0x0001,1,0x033c,"00034c:invoke-static v11, v10, LscriptPages/game/b0;->L0(Ljava/lang/String; I)V","000340:invoke-static LscriptPages/PageMain;->getStatus()I || 00034c:invoke-static v11, v10, LscriptPages/game/b0;->L0(Ljava/lang/String; I)V"
0x0001,1,0x0396,"00039a:invoke-static v11, LscriptPages/game/b0;->D0(Ljava/lang/String;)V","00039a:invoke-static v11, LscriptPages/game/b0;->D0(Ljava/lang/String;)V"
0x0001,1,0x04ae,"0004b2:invoke-static v11, LscriptPages/data/i;->b(Ljava/lang/String;)V","0004b2:invoke-static v11, LscriptPages/data/i;->b(Ljava/lang/String;)V || 0004b8:invoke-static v11, LscriptPages/data/c;->c(Ljava/lang/String;)V || 0004be:invoke-static v11, LscriptPages/game/i;->v(Ljava/lang/String;)V || 0004c4:invoke-static v11, v4, v4, LscriptPages/game/h0;->V(Ljava/lang/String; I Z)V || 0004ca:invoke-static v11, LscriptPages/game/m0;->o(Ljava/lang/String;)V || 0004d0:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0004dc:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0004e2:invoke-static LscriptAPI/baseAPI/BaseUtil;->getCurTime()J"
0x0001,1,0x05fc,"000608:invoke-static v11, LscriptPages/data/g;->e(Ljava/lang/String;)V","000608:invoke-static v11, LscriptPages/data/g;->e(Ljava/lang/String;)V || 00060e:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I"
0x0002,2,0x13f6,"0013fa:invoke-static v11, LscriptPages/game/o;->i(Ljava/lang/String;)V","0013fa:invoke-static v11, LscriptPages/game/o;->i(Ljava/lang/String;)V"
0x0003,3,0x015c,000160:invoke-static LscriptPages/data/g;->B0()Ljava/lang/String;,"000160:invoke-static LscriptPages/data/g;->B0()Ljava/lang/String; || 000168:invoke-virtual v9, v8, Ljava/lang/String;->equals(Ljava/lang/Object;)Z"
0x0047,71,0x002e,"000036:invoke-static v3, LscriptPages/game/b0;->K1(B)V","000036:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 00003c:invoke-static LscriptPages/game/b0;->z0()V || 000042:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 00004a:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
