opcode_hex,signed_opcode,if_off,body_end_off,first_handler,meaningful_calls,branch_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000,all_calls
0x8001,-32767,0x028a,0x02ac,029c:Lo/a;->V8(J)V,029c:Lo/a;->V8(J)V || 02a2:Lo/a;->U(Ljava/lang/String;)V,028e:readByte(Ljava/lang/String;)B || 0294:readLong(Ljava/lang/String;)J,"0x1001 v1, """"@scriptPages/game/a0->U",0x0001,028e:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0294:LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J || 029c:Lo/a;->V8(J)V || 02a2:Lo/a;->U(Ljava/lang/String;)V
0x8002,-32766,0x02b0,0x02be,02b4:LscriptPages/game/a0;->J([B)V,02b4:LscriptPages/game/a0;->J([B)V,,0x1002,0x0002,02b4:LscriptPages/game/a0;->J([B)V
0x8003,-32765,0x0278,0x0286,027c:LscriptPages/game/b0;->i1(Ljava/lang/String;)V,027c:LscriptPages/game/b0;->i1(Ljava/lang/String;)V,,0x1003 loginBaseinfo@scriptPages/game/b0->P0,0x0003,027c:LscriptPages/game/b0;->i1(Ljava/lang/String;)V
0x8004,-32764,0x02c2,0x02d0,02c6:LscriptPages/game/a0;->S([B)V,02c6:LscriptPages/game/a0;->S([B)V,,0x1004 gameLogin@scriptPages/game/a0->Q; accountLogin@scriptPages/game/b0->C0; (unnamed)@scriptPages/game/b0->D0,0x0004,02c6:LscriptPages/game/a0;->S([B)V
0x8005,-32763,0x0266,0x0274,026a:LscriptPages/game/a0;->B0(Ljava/lang/String;)V,026a:LscriptPages/game/a0;->B0(Ljava/lang/String;)V,,0x1005 data@scriptPages/game/a0->d0,0x0005,026a:LscriptPages/game/a0;->B0(Ljava/lang/String;)V
0x8006,-32762,0x02d4,0x02f8,02d8:LscriptPages/data/g;->G0()B,02d8:LscriptPages/data/g;->G0()B || 02e4:LscriptPages/game/b0;->E0([B)V || 02ee:LscriptPages/game/a0;->R([B)V,,0x1006 data@scriptPages/game/a0->Q0,0x0006,02d8:LscriptPages/data/g;->G0()B || 02e4:LscriptPages/game/b0;->E0([B)V || 02ee:LscriptPages/game/a0;->R([B)V
0x8007,-32761,0x1a5e,0x1a6c,1a62:LscriptPages/game/b0;->N0(Ljava/lang/String;)V,1a62:LscriptPages/game/b0;->N0(Ljava/lang/String;)V,,0x1007 data@scriptPages/game/b0->M0,0x0007,1a62:LscriptPages/game/b0;->N0(Ljava/lang/String;)V
0x8008,-32760,0x02fc,0x030a,0300:LscriptPages/game/s0;->y([B)V,0300:LscriptPages/game/s0;->y([B)V,,0x1008 cacheData@scriptPages/game/s0->d0,0x0008,0300:LscriptPages/game/s0;->y([B)V
0x800a,-32758,0x030e,0x0360,032a:LscriptPages/data/c;->j(Ljava/lang/String;)V,032a:LscriptPages/data/c;->j(Ljava/lang/String;)V || 0334:LscriptPages/data/g;->G0()B || 034c:LscriptPages/game/b0;->L0(Ljava/lang/String; I)V || 0356:LscriptPages/game/n;->H1(Ljava/lang/String; I)V,0312:readByte(Ljava/lang/String;)B || 031a:readByte(Ljava/lang/String;)B,0x100a,0x000a,0312:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 031a:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 032a:LscriptPages/data/c;->j(Ljava/lang/String;)V || 0334:LscriptPages/data/g;->G0()B || 0340:LscriptPages/PageMain;->getStatus()I || 034c:LscriptPages/game/b0;->L0(Ljava/lang/String; I)V || 0356:LscriptPages/game/n;->H1(Ljava/lang/String; I)V
0x800b,-32757,0x0366,0x03ae,0384:LscriptPages/game/n;->M0(Ljava/lang/String;)V,0384:LscriptPages/game/n;->M0(Ljava/lang/String;)V || 038e:LscriptPages/data/g;->G0()B || 039a:LscriptPages/game/b0;->D0(Ljava/lang/String;)V || 03a4:LscriptPages/game/a0;->Q(Ljava/lang/String;)V,,0x100b data@scriptPages/game/a0->G0; di_提示没有黄金@scriptPages/game/n->C2; reqChooseCountry@scriptPages/game/n->L2,0x000b,036a:LscriptPages/PageMain;->getStatus()I || 0376:LscriptPages/PageMain;->getStatus()I || 0384:LscriptPages/game/n;->M0(Ljava/lang/String;)V || 038e:LscriptPages/data/g;->G0()B || 039a:LscriptPages/game/b0;->D0(Ljava/lang/String;)V || 03a4:LscriptPages/game/a0;->Q(Ljava/lang/String;)V
