opcode_hex,signed_opcode,handler,handler_code_off,branch_read_sequence,handler_direct_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000
0x8001,-32767,Lo/a;->V8(J)V,0x24bcac,028e:readByte(Ljava/lang/String;)B || 0294:readLong(Ljava/lang/String;)J,,"0x1001 v1, """"@scriptPages/game/a0->U",0x0001
0x8002,-32766,LscriptPages/game/a0;->J([B)V,0x390cb0,,000a:readByte(Ljava/lang/String;)B,0x1002,0x0002
0x8003,-32765,LscriptPages/game/b0;->i1(Ljava/lang/String;)V,0x387ff4,,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0016:readLong(Ljava/lang/String;)J || 0038:readLong(Ljava/lang/String;)J || 0056:readByte(Ljava/lang/String;)B || 0064:readInt(Ljava/lang/String;)I || 0070:readInt(Ljava/lang/String;)I || 00b2:readLong(Ljava/lang/String;)J || 00c2:readShort(Ljava/lang/String;)S || 00d2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00e2:readByte(Ljava/lang/String;)B || 00f2:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0102:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0134:readLong(Ljava/lang/String;)J || 013c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 014e:readByte(Ljava/lang/String;)B || 015c:readBoolean(Ljava/lang/String;)Z,0x1003 loginBaseinfo@scriptPages/game/b0->P0,0x0003
0x8004,-32764,LscriptPages/game/a0;->S([B)V,0x3919a8,,000a:readByte(Ljava/lang/String;)B || 0016:readByte(Ljava/lang/String;)B || 0062:readLong(Ljava/lang/String;)J || 00aa:readInt(Ljava/lang/String;)I || 00cc:readLong(Ljava/lang/String;)J || 00dc:readInt(Ljava/lang/String;)I || 0100:readInt(Ljava/lang/String;)I || 012e:readShort(Ljava/lang/String;)S || 0136:readShort(Ljava/lang/String;)S || 013e:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0146:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0174:readInt(Ljava/lang/String;)I || 019a:readShort(Ljava/lang/String;)S || 01a2:readInt(Ljava/lang/String;)I || 01aa:readInt(Ljava/lang/String;)I || 01d4:readLong(Ljava/lang/String;)J || 01da:readLong(Ljava/lang/String;)J || 01e6:readLong(Ljava/lang/String;)J || 01f2:readLong(Ljava/lang/String;)J || 01fc:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0212:readByte(Ljava/lang/String;)B || 021a:readBoolean(Ljava/lang/String;)Z || 0240:readByte(Ljava/lang/String;)B || 0256:readShort(Ljava/lang/String;)S || 025e:readByte(Ljava/lang/String;)B || 027e:readInt(Ljava/lang/String;)I || 0290:readInt(Ljava/lang/String;)I || 0296:readInt(Ljava/lang/String;)I || 02a2:readInt(Ljava/lang/String;)I || 02ae:readInt(Ljava/lang/String;)I || 02ba:readInt(Ljava/lang/String;)I || 02c6:readShort(Ljava/lang/String;)S || 02cc:readInt(Ljava/lang/String;)I || 02d8:readShort(Ljava/lang/String;)S || 02e4:readShort(Ljava/lang/String;)S || 02f0:readShort(Ljava/lang/String;)S || 02fc:readInt(Ljava/lang/String;)I || 0302:readByte(Ljava/lang/String;)B || 031c:readInt(Ljava/lang/String;)I || 032e:readByte(Ljava/lang/String;)B || 033c:readShort(Ljava/lang/String;)S || 0348:readByte(Ljava/lang/String;)B || 036e:readByte(Ljava/lang/String;)B || 0376:readByte(Ljava/lang/String;)B || 037e:readShort(Ljava/lang/String;)S || 03a8:readInt(Ljava/lang/String;)I || 03b0:readShort(Ljava/lang/String;)S || 03b6:readShort(Ljava/lang/String;)S || 03bc:readShort(Ljava/lang/String;)S || 03c2:readShort(Ljava/lang/String;)S || 03d4:readByte(Ljava/lang/String;)B || 03ea:readBoolean(Ljava/lang/String;)Z || 0402:readBoolean(Ljava/lang/String;)Z || 040e:readBoolean(Ljava/lang/String;)Z || 0418:readByte(Ljava/lang/String;)B || 0426:readBoolean(Ljava/lang/String;)Z || 0432:readInt(Ljava/lang/String;)I || 044a:readShort(Ljava/lang/String;)S || 0452:readUTF(Ljava/lang/String;)Ljava/lang/String; || 045a:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0474:readBoolean(Ljava/lang/String;)Z,0x1004 gameLogin@scriptPages/game/a0->Q; accountLogin@scriptPages/game/b0->C0; (unnamed)@scriptPages/game/b0->D0,0x0004
0x8005,-32763,LscriptPages/game/a0;->B0(Ljava/lang/String;)V,0x393eb0,,0000:readByte(Ljava/lang/String;)B,0x1005 data@scriptPages/game/a0->d0,0x0005
0x8006,-32762,LscriptPages/data/g;->G0()B,0x2648b4,,,0x1006 data@scriptPages/game/a0->Q0,0x0006
0x8007,-32761,LscriptPages/game/b0;->N0(Ljava/lang/String;)V,0x383dcc,,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String;,0x1007 data@scriptPages/game/b0->M0,0x0007
0x8008,-32760,LscriptPages/game/s0;->y([B)V,0x40ec54,,,0x1008 cacheData@scriptPages/game/s0->d0,0x0008
0x800a,-32758,LscriptPages/data/c;->j(Ljava/lang/String;)V,0x261e5c,0312:readByte(Ljava/lang/String;)B || 031a:readByte(Ljava/lang/String;)B,0000:readLong(Ljava/lang/String;)J || 000c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0018:readInt(Ljava/lang/String;)I || 0024:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0030:readInt(Ljava/lang/String;)I || 003c:readLong(Ljava/lang/String;)J || 0048:readLong(Ljava/lang/String;)J || 0054:readInt(Ljava/lang/String;)I || 0060:readLong(Ljava/lang/String;)J || 006c:readLong(Ljava/lang/String;)J || 0078:readShort(Ljava/lang/String;)S || 0084:readShort(Ljava/lang/String;)S || 0090:readShort(Ljava/lang/String;)S || 009c:readShort(Ljava/lang/String;)S || 00a8:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00b4:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00c0:readLong(Ljava/lang/String;)J || 00cc:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00d8:readLong(Ljava/lang/String;)J || 00e4:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00f0:readLong(Ljava/lang/String;)J,0x100a,0x000a
0x800b,-32757,LscriptPages/game/n;->M0(Ljava/lang/String;)V,0x2e999c,,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readLong(Ljava/lang/String;)J,0x100b data@scriptPages/game/a0->G0; di_提示没有黄金@scriptPages/game/n->C2; reqChooseCountry@scriptPages/game/n->L2,0x000b
