offset,read_call,block,target_or_field,note,raw_instruction
0x0000,readLong(Ljava/lang/String;)J,header,LscriptPages/data/g;->F J,全局资源/资产 long #1；已有调用点显示被多个资源相关函数读取。,"v20, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x000c,readLong(Ljava/lang/String;)J,header,LscriptPages/data/g;->G J,全局资源/资产 long #2；与 F 一起在 V5 开头同步。,"v20, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x0018,readShort(Ljava/lang/String;)S,stack_table,stack_count,Lo/a.bv/cv/dv 三组数组长度。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0044,readShort(Ljava/lang/String;)S,stack_table.item[],Lo/a;->bv[i] [S,物品/资源条目 id 候选；后续 Lo/a.g4/h4/p1 按该 id 查询。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0054,readShort(Ljava/lang/String;)S,stack_table.item[],Lo/a;->cv[i] [S,物品/资源条目数量/值候选；Lo/a.p1 对同 id 累加此字段。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0064,readLong(Ljava/lang/String;)J,stack_table.item[],Lo/a;->dv[i] [J,物品/资源条目 long 参数候选；引用很少，可能是时效/唯一 id。,"v20, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x0084,readShort(Ljava/lang/String;)S,equipment_bank0,equipment_count,装备/宝物 bank0 数量；随后重建 scriptPages/data/d 的第 0 组数组。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x012a,readLong(Ljava/lang/String;)J,equipment_bank0.item[],LscriptPages/data/d;->d[0][i] [[J,装备实例 long id。data.d.y(J) 按此 id 定位。,"v20, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J"
0x0146,readShort(Ljava/lang/String;)S,equipment_bank0.item[],LscriptPages/data/d;->e[0][i] [[S,装备模板/类型 short；data.d.D/w/z/d 等用它映射名称、部位、品类。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0152,readByte(Ljava/lang/String;)B,equipment_bank0.item[],attr_vector_len,装备属性 byte 向量长度，随后读取 f[0][i][j]。,"v20, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x017c,readByte(Ljava/lang/String;)B,equipment_bank0.item[].attr[],LscriptPages/data/d;->f[0][i][j] [[[B,装备属性/品质/成长 byte 向量；前两个 byte 被大量 accessor 用作属性索引与倍率。,"v20, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x0196,readShort(Ljava/lang/String;)S,equipment_bank0.item[],LscriptPages/data/d;->g[0][i] [[S,装备 short 参数；UI 与排序函数读取，语义待定。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x01ae,readByte(Ljava/lang/String;)B,equipment_bank0.item[],LscriptPages/data/d;->h[0][i][0] [[[B,装备二元 byte 参数 #0。,"v20, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x01c6,readByte(Ljava/lang/String;)B,equipment_bank0.item[],LscriptPages/data/d;->h[0][i][1] [[[B,装备二元 byte 参数 #1。,"v20, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
0x01da,readShort(Ljava/lang/String;)S,equipment_bank0.item[],LscriptPages/data/d;->j[0][i] [[S,装备 short 参数；可能与强化/镶嵌/绑定状态有关，待定。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x01f2,readShort(Ljava/lang/String;)S,equipment_bank0.item[],LscriptPages/data/d;->i[0][i][0] [[[I,装备二元 int/short 参数 #0，以 int 数组保存。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x020a,readShort(Ljava/lang/String;)S,equipment_bank0.item[],LscriptPages/data/d;->i[0][i][1] [[[I,装备二元 int/short 参数 #1，以 int 数组保存。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x021e,readUTF(Ljava/lang/String;)Ljava/lang/String;,equipment_bank0.item[],LscriptPages/data/d;->l[0][i] [[String,装备自定义字符串/描述/绑定名候选；data.d.A(J) 直接返回。,"v20, LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String;"
0x0418,readShort(Ljava/lang/String;)S,footer,Lo/a;->ev S,装备/背包容量或页签计数候选；game/k0 与 gameHD/c UI 读取。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0424,readShort(Ljava/lang/String;)S,footer,Lo/a;->fv S,装备/背包容量或页签计数候选；与 ev 配对出现。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0430,readShort(Ljava/lang/String;)S,footer,reserved_short,读取后未保存；保留/兼容字段。,"v20, LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S"
0x0436,readByte(Ljava/lang/String;)B,footer,reserved_byte,读取后未保存；随后 Lo/a.gv 置 true。,"v20, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B"
