target_id,name,level,x,y,desc,resource1,resource2,loot_ids,unit_count,unit_categories,units,query_x,query_y
2464117,9级山贼,9,0,1,"大批资源,一些宝物,",1656,4106,,4,战车;骑兵,谭枫:轻骑兵x1487 | 公西淑玮:投石车x1234 | 翁薇:骁骑兵x1068 | 纪恒益:重弩车x508,0,0
2469509,9级山贼,9,0,2,"大批资源,有宝箱,有装备,一些宝物,",1490,4080,,4,骑兵,晁悌骄:骁骑兵x952 | 成枫骥:轻骑兵x1482 | 仰夏明:轻骑兵x1599 | 全禹:骁骑兵x1081,0,0
2465371,9级山贼,9,0,4,"大批资源,有宝箱,有装备,",1523,4217,24321,4,战车;骑兵,国采:骁骑兵x1027 | 酆鸥:重弩车x525 | 晁邪颜:重弩车x523 | 漆雕堂:投石车x1276,0,0
2467645,8级山贼,8,0,5,"大批资源,有宝箱,",1066,2743,1065,4,骑兵,弘化路:轻骑兵x1155 | 宗正真邈:轻骑兵x1132 | 訾悦:骁骑兵x792 | 荣桂妙:骁骑兵x704,0,0
2466566,6级山贼,6,0,6,"大量资源,有宝箱,",319,868,,3,弓弩;步兵,何凡:轻步兵x918 | 羿娥叡:强弩兵x1146 | 米巧:轻步兵x893,0,6
2465628,5级山贼,5,0,7,"很多资源,一些宝物,",281,769,,2,弓弩;步兵,荣燕:轻步兵x525 | 莫开郎:强弩兵x793,0,6
2465321,10级山贼,10,0,8,"大批资源,有宝箱,",2080,5089,,5,弓弩;战车;骑兵,屠洲:弩骑兵x1822 | 吴苑纳:重弩车x693 | 南门馨:骁骑兵x1706 | 乜智:弩骑兵x2145 | 艾可:骁骑兵x1622,0,6
2467133,5级山贼,5,0,9,"很多资源,有宝箱,有装备,",254,661,13569,2,弓弩;步兵,苏香山:轻步兵x459 | 范立:强弩兵x841,0,6
2468219,6级山贼,6,0,10,"大量资源,",382,818,,3,弓弩;骑兵,微生昶玮:铁骑兵x586 | 米吉鹏:弓兵x366 | 解芬绿:铁骑兵x573,0,6
2468451,2级山贼,2,0,11,"许多资源,",96,270,1039,1,步兵,公良焱季:民兵x280,0,6
2463377,1级山贼,1,0,12,"一些资源,有装备,",59,137,1031,1,步兵,充葱:民兵x164,0,12
2463373,6级山贼,6,0,13,"大量资源,一些宝物,",338,832,4097,3,弓弩;步兵,巢勋:强弩兵x1077 | 阚铃双:强弩兵x1159 | 仰韶:轻步兵x791,0,12
2468609,10级山贼,10,0,14,"大批资源,有宝箱,",1815,5238,1793;1793;1080,5,战车;骑兵,吕青:重弩车x682 | 钟淼:骁骑兵x1708 | 常友:投石车x2144 | 壤驷月代:骁骑兵x1667 | 司寇蓝:重弩车x689,0,12
2467004,6级山贼,6,0,15,"大量资源,",318,864,,3,步兵;骑兵,翟彩:铁骑兵x624 | 漆雕怡:轻步兵x865 | 钟离莲:铁骑兵x613,0,12
2463726,5级山贼,5,0,16,"很多资源,有装备,",252,730,1054,2,弓弩,闻桢祈:强弩兵x761 | 蒙灵:强弩兵x764,0,12
2468608,1级山贼,1,0,17,"一些资源,",52,148,,1,步兵,唐晋:民兵x150,0,12
2465014,8级山贼,8,0,18,"大批资源,",968,2383,1069,4,战车;骑兵,封时:轻骑兵x1113 | 艾冬:投石车x1074 | 滕含珍:投石车x1090 | 暨彤薇:骁骑兵x759,0,18
2465665,9级山贼,9,0,19,"大批资源,",1799,4142,1074,4,战车;骑兵,昝拔:投石车x1318 | 钭曦今:重弩车x477 | 花吉:骁骑兵x1009 | 相彤皓:轻骑兵x1507,0,18
2463423,7级山贼,7,0,20,"大批资源,有装备,",502,1492,1055,3,弓弩,黄丰:弓兵x541 | 卞慧:强弩兵x1792 | 霍识兴:弓兵x556,0,18
2468135,4级山贼,4,0,21,"很多资源,有装备,",178,495,,2,步兵,公羊嗣:近卫兵x354 | 隗存化:近卫兵x360,0,18
2465503,1级山贼,1,0,22,"一些资源,",58,123,,1,步兵,余澜旎:民兵x146,0,18
2464843,2级山贼,2,0,23,"许多资源,",84,257,,1,步兵,黎鹂籁:民兵x275,0,18
2463647,7级山贼,7,0,24,"大批资源,",627,1518,,3,步兵;骑兵,仲珺霖:铁骑兵x780 | 仲长溪:轻步兵x1130 | 郜丝:铁骑兵x858,0,24
2463615,4级山贼,4,0,25,"很多资源,",177,418,,2,步兵,司寇鸾:重步兵x476 | 莘醒:重步兵x550,0,24
2468172,8级山贼,8,0,26,"大批资源,有宝箱,一些宝物,",920,2458,1069,4,战车;骑兵,祁烁北:骁骑兵x802 | 相土金:轻骑兵x1194 | 嵇岚:骁骑兵x736 | 邢边瑞:重弩车x358,0,24
2469046,6级山贼,6,0,28,"大量资源,",375,880,1059,3,弓弩;骑兵,长孙平:强弩兵x1035 | 凌旎龙:铁骑兵x648 | 古峯范:强弩兵x1235,0,24
2466273,8级山贼,8,0,30,"大批资源,有宝箱,",918,2510,,4,战车;骑兵,乐绍岚:重弩车x327 | 夔苑夜:骁骑兵x822 | 敖略玥:重弩车x349 | 纪涉颖:重弩车x366,0,30
2468488,7级山贼,7,0,31,"大批资源,",620,1665,1063,3,弓弩;步兵,解圣:轻步兵x1300 | 韶吉:弓兵x511 | 李瑶:轻步兵x1268,0,30
2465605,10级山贼,10,0,32,"大批资源,有宝箱,一些宝物,",2171,4773,1793,5,弓弩;战车,翁溪:弩骑兵x2037 | 皮丹:弩车x232 | 计怡颖:弩骑兵x1826 | 安时:弩车x246 | 索孟邪:投石车x1976,0,30
2466285,5级山贼,5,0,33,"很多资源,",266,623,,2,弓弩;步兵,酆葱妙:轻步兵x526 | 浦杉:强弩兵x784,0,30
2468380,6级山贼,6,0,34,"大量资源,有宝箱,",382,919,14849,3,弓弩;步兵,微生谷:强弩兵x1125 | 尤旷咏:弓兵x362 | 查琛翰:轻步兵x858,0,30
2465604,9级山贼,9,0,36,"大批资源,有宝箱,",1628,3757,1793;1074,4,战车;骑兵,韩轩格:投石车x1209 | 沈彤:骁骑兵x1017 | 嵇穹:骁骑兵x1020 | 史初:重弩车x517,0,36
2468933,9级山贼,9,0,37,"大批资源,",1456,3603,1074,4,战车;骑兵,梁丘旋:重弩车x442 | 訾豪:重弩车x529 | 霍明:轻骑兵x1743 | 司马初曦:轻骑兵x1743,0,36
2463538,10级山贼,10,0,39,"大批资源,有宝箱,一些宝物,",2080,4717,1084;1084;1082,5,弓弩;战车;骑兵,宦泽薇:骁骑兵x1805 | 邬才翰:弩骑兵x2141 | 冀龙:骁骑兵x1623 | 井鲲简:弩骑兵x2001 | 萧书兆:弩车x217,0,36
2463507,6级山贼,6,0,40,"大量资源,",321,895,1059;1059,3,弓弩;骑兵,单荫龙:铁骑兵x560 | 危宜铄:强弩兵x1184 | 卞彦:强弩兵x1294,0,36
2469553,5级山贼,5,0,41,"很多资源,一些宝物,",287,704,,2,弓弩;步兵,仇姮香:轻步兵x503 | 祁斯:弓兵x228,0,36
2466922,2级山贼,2,0,43,"许多资源,",98,279,,1,步兵,葛静:民兵x330,0,42
2465054,7级山贼,7,0,44,"大批资源,一些宝物,",518,1638,,3,弓弩;步兵,桑悟年:轻步兵x1178 | 张菱:轻步兵x1150 | 翟访游:弓兵x524,0,42
2465842,8级山贼,8,0,46,"大批资源,有装备,",1019,2482,,4,战车;骑兵,皮薇:轻骑兵x1158 | 闻人启:重弩车x372 | 湛晗拓:轻骑兵x1263 | 凌豆以:投石车x1069,0,42
2465399,3级山贼,3,0,47,"很多资源,",154,371,,1,步兵,相里妙豇:民兵x874,0,42
2464339,3级山贼,3,0,48,"许多资源,",151,313,,1,步兵,葛容燕:民兵x782,0,48
