flow_idx,ts,target_id,name,level,x,y,desc,resource1,resource2,loot_ids,unit_count,units
1103,2026-07-05 04:13:27.878,2454500,9级山贼,9,91,27,"大批资源,有宝箱,",1660,3765,1065;1074,4,"尹洁:骁骑兵(991)[a=28,b=4,code=11,uid=733] | 梅晓昶:投石车(1216)[a=28,b=1,code=14,uid=728] | 闵杉晔:骁骑兵(1002)[a=26,b=2,code=11,uid=734] | 匡潇:骁骑兵(916)[a=26,b=2,code=11,uid=731]"
1103,2026-07-05 04:13:27.878,2456225,9级山贼,9,91,28,"大批资源,",1795,3961,,4,"慕容沁:重弩车(528)[a=30,b=4,code=13,uid=727] | 景大虞:骁骑兵(929)[a=30,b=2,code=11,uid=727] | 郜木简:重弩车(497)[a=29,b=4,code=13,uid=725] | 居慕:投石车(1209)[a=25,b=1,code=14,uid=735]"
1103,2026-07-05 04:13:27.878,2459100,8级山贼,8,91,29,"大批资源,",973,2383,1069,4,"广裕:骁骑兵(698)[a=21,b=2,code=11,uid=723] | 柳薇颜:骁骑兵(722)[a=20,b=2,code=11,uid=731] | 梁邢:骁骑兵(690)[a=24,b=2,code=11,uid=724] | 长孙雯好:骁骑兵(778)[a=21,b=2,code=11,uid=724]"
1103,2026-07-05 04:13:27.878,2455610,2级山贼,2,91,30,"许多资源,",86,278,,1,"宿卿义:民兵(292)[a=4,b=4,code=0,uid=723]"
1103,2026-07-05 04:13:27.878,2454812,4级山贼,4,92,26,"很多资源,",162,480,1049,2,"慕玉澜:重步兵(481)[a=10,b=1,code=2,uid=726] | 李蔼:重步兵(518)[a=10,b=1,code=2,uid=720]"
1103,2026-07-05 04:13:27.878,2456874,2级山贼,2,92,27,"许多资源,",83,232,,1,"鲍彦:民兵(311)[a=3,b=4,code=0,uid=725]"
1103,2026-07-05 04:13:27.878,2458340,7级山贼,7,92,28,"大批资源,有宝箱,",512,1630,14849,3,"谈冰斯:轻步兵(1117)[a=19,b=4,code=1,uid=723] | 席艺:轻步兵(1108)[a=18,b=1,code=1,uid=727] | 文利:强弩兵(1434)[a=16,b=4,code=6,uid=727]"
1103,2026-07-05 04:13:27.878,2454390,6级山贼,6,92,30,"大量资源,有宝箱,",338,954,1059,3,"殴珺璧:铁骑兵(545)[a=15,b=4,code=10,uid=728] | 融义兆:弓兵(399)[a=13,b=4,code=4,uid=721] | 明弼:强弩兵(1284)[a=13,b=0,code=6,uid=720]"
1103,2026-07-05 04:13:27.878,2455196,1级山贼,1,92,31,"一些资源,",58,119,,1,"乜怡潍:民兵(149)[a=3,b=0,code=0,uid=734]"
1103,2026-07-05 04:13:27.878,2455811,8级山贼,8,93,26,"大批资源,一些宝物,",957,2549,3073,4,"相里雯念:轻骑兵(1188)[a=23,b=4,code=8,uid=733] | 韩松:重弩车(371)[a=20,b=4,code=13,uid=728] | 朱豇:轻骑兵(1211)[a=22,b=0,code=8,uid=731] | 隗邪:骁骑兵(773)[a=22,b=2,code=11,uid=728]"
1103,2026-07-05 04:13:27.878,2457013,6级山贼,6,93,27,"大量资源,",379,942,1059,3,"印鸾定:铁骑兵(644)[a=14,b=4,code=10,uid=726] | 巩穹罡:轻步兵(871)[a=13,b=1,code=1,uid=721] | 巢拯谙:强弩兵(1045)[a=16,b=0,code=6,uid=724]"
