loot_id,seen_count,levels_seen,level_counts,item_name,item_type_label,item_desc
1793,300,8;9;10,8:50;9:84;10:166,,,
1064,254,7;8;9,7:240;8:7;9:7,,,
1069,242,8;9,8:237;9:5,,,
1084,239,10,10:239,,,
1059,222,6;7;8,6:209;7:4;8:9,,,
1074,217,9;10,9:200;10:17,,,
13569,105,4;5;6;7,4:22;5:26;6:26;7:31,,,
1039,104,2;3;4,2:100;3:3;4:1,,,
14849,92,6;7,6:31;7:61,,,
1054,86,5;6;7,5:83;6:1;7:2,,,
1044,84,3;4;5,3:80;4:3;5:1,,,
4097,73,4;5;6,4:10;5:19;6:44,,,
29441,73,9;10,9:21;10:52,,,
1049,66,4;5;6,4:63;5:2;6:1,,,
1034,61,1;2;3,1:58;2:2;3:1,,,
3073,58,6;7;8;9;10,6:6;7:12;8:8;9:13;10:19,,,
13570,32,6;7,6:10;7:22,,,
3074,24,10,10:24,,,
1083,19,10,10:19,,,
1078,18,10,10:18,,,
1081,18,10,10:18,,,
16777217,17,1;2,1:7;2:10,,,
1080,16,10,10:16,,,
1068,15,8;9,8:10;9:5,,,
1031,13,1;2,1:12;2:1,,,
1065,12,8;9,8:7;9:5,,,
1030,12,1;2,1:9;2:3,,,
16779777,12,8;9;10,8:3;9:2;10:7,,,
1077,12,10,10:12,,,
1067,12,8;9,8:7;9:5,,,
1060,12,7;8,7:5;8:7,,,
1063,11,7;8,7:6;8:5,,,
1075,11,10,10:11,,,
16790017,11,3;4;5;6,3:1;4:6;5:1;6:3,,,
15105,11,8;9,8:3;9:8,,,
1079,11,10,10:11,,,
24321,10,8;9;10,8:3;9:2;10:5,,,
1076,10,10,10:10,,,
1056,10,6;7,6:4;7:6,,,
16787713,10,5;6,5:5;6:5,,,
16778753,9,4;5;6,4:1;5:5;6:3,,,
16787969,9,7;8;9,7:1;8:4;9:4,,,
16779521,9,7;8;9,7:3;8:3;9:3,,,
1062,9,7;8,7:4;8:5,,,
16790273,8,7;8;9,7:2;8:2;9:4,,,
16779265,8,6;7;8,6:3;7:4;8:1,,,
1072,8,9,9:8,,,
16777729,8,1;2;3,1:1;2:2;3:5,,,
16778497,8,3;4;5,3:2;4:3;5:3,,,
1082,7,10,10:7,,,
1037,7,2;3,2:3;3:4,,,
16787457,7,1;2;3;4,1:1;2:1;3:2;4:3,,,
16785153,7,4;5;6,4:1;5:5;6:1,,,
1033,7,1,1:7,,,
16780033,7,9;10,9:3;10:4,,,
16785409,7,7;8,7:4;8:3,,,
1032,6,1,1:6,,,
1043,6,3;4,3:5;4:1,,,
1029,6,1,1:6,,,
16779009,6,5;6;7,5:1;6:2;7:3,,,
1053,6,5;6,5:3;6:3,,,
17409,6,10,10:6,,,
1035,6,2;3,2:1;3:5,,,
16777985,6,1;2;3,1:2;2:2;3:2,,,
1055,5,6;7,6:1;7:4,,,
1070,5,9,9:5,,,
1051,5,5;6,5:1;6:4,,,
1036,5,2;3,2:2;3:3,,,
1041,5,3;4,3:2;4:3,,,
1050,5,5;6,5:1;6:4,,,
1042,4,3;4,3:2;4:2,,,
1061,4,7;8,7:1;8:3,,,
1057,4,6;7,6:1;7:3,,,
1071,4,9,9:4,,,
16790529,4,10,10:4,,,
16785665,4,10,10:4,,,
1046,4,4;5,4:3;5:1,,,
1047,4,4;5,4:3;5:1,,,
16780289,3,10,10:3,,,
1073,3,9,9:3,,,
1058,3,6;7,6:1;7:2,,,
16778241,3,3;4,3:1;4:2,,,
1066,3,8;9,8:2;9:1,,,
16788225,2,10,10:2,,,
16784897,2,2,2:2,,,
16777473,2,1,1:2,,,
1040,2,3,3:2,,,
1052,2,6,6:2,,,
1045,1,4,4:1,,,
1038,1,2,2:1,,,
1048,1,5,5:1,,,
