loot_id,seen_count,levels_seen,level_counts,item_name,item_type_label,item_desc,decode_candidates
1793,300,8;9;10,8:50;9:84;10:166,,,,
1064,254,7;8;9,7:240;8:7;9:7,,,,low10:40:新手礼包4[礼包/宝箱/资源包] | minus1024:40:新手礼包4[礼包/宝箱/资源包]
1069,242,8;9,8:237;9:5,,,,low10:45:新手礼包9[礼包/宝箱/资源包] | minus1024:45:新手礼包9[礼包/宝箱/资源包]
1084,239,10,10:239,,,,low10:60:白银宝箱[礼包/宝箱/资源包] | minus1024:60:白银宝箱[礼包/宝箱/资源包]
1059,222,6;7;8,6:209;7:4;8:9,,,,low10:35:玄铁[装备强化材料] | minus1024:35:玄铁[装备强化材料]
1074,217,9;10,9:200;10:17,,,,low10:50:70级兵盔箱[礼包/宝箱/资源包] | minus1024:50:70级兵盔箱[礼包/宝箱/资源包]
13569,105,4;5;6;7,4:22;5:26;6:26;7:31,,,,low10:257:活血丹包[礼包/宝箱/资源包]
1039,104,2;3;4,2:100;3:3;4:1,,,,low10:15:九转金丹[普通/功能道具] | minus1024:15:九转金丹[普通/功能道具]
14849,92,6;7,6:31;7:61,,,,low10:513:袁术碎片[任务物品]
1054,86,5;6;7,5:83;6:1;7:2,,,,low10:30:火药桶[普通/功能道具] | minus1024:30:火药桶[普通/功能道具]
1044,84,3;4;5,3:80;4:3;5:1,,,,low10:20:招贤令[普通/功能道具] | minus1024:20:招贤令[普通/功能道具]
4097,73,4;5;6,4:10;5:19;6:44,,,,low10:1:屯田令[生产/内政增益] | low12:1:屯田令[生产/内政增益] | minus4096:1:屯田令[生产/内政增益]
29441,73,9;10,9:21;10:52,,,,
1049,66,4;5;6,4:63;5:2;6:1,,,,low10:25:鲁公宝典[增益/加速道具] | minus1024:25:鲁公宝典[增益/加速道具]
1034,61,1;2;3,1:58;2:2;3:1,,,,low10:10:传音符小礼包[礼包/宝箱/资源包] | minus1024:10:传音符小礼包[礼包/宝箱/资源包]
3073,58,6;7;8;9;10,6:6;7:12;8:8;9:13;10:19,,,,low10:1:屯田令[生产/内政增益] | minus3072:1:屯田令[生产/内政增益]
13570,32,6;7,6:10;7:22,,,,low10:258:兵书包[礼包/宝箱/资源包]
3074,24,10,10:24,,,,low10:2:高级屯田令[生产/内政增益] | minus3072:2:高级屯田令[生产/内政增益]
1083,19,10,10:19,,,,low10:59:青铜钥匙[礼包/宝箱/资源包] | minus1024:59:青铜钥匙[礼包/宝箱/资源包]
1078,18,10,10:18,,,,low10:54:高级粮食辎重[礼包/宝箱/资源包] | minus1024:54:高级粮食辎重[礼包/宝箱/资源包]
1081,18,10,10:18,,,,low10:57:中级资源辎重[礼包/宝箱/资源包] | minus1024:57:中级资源辎重[礼包/宝箱/资源包]
16777217,17,1;2,1:7;2:10,,,,low10:1:屯田令[生产/内政增益] | low12:1:屯田令[生产/内政增益]
