target_id,x,y,desc,resource1,resource2,loot_ids,major_codes,majors,units,query_x,query_y
2472193,0,22,"大批资源,有宝箱,",698,1454,13569;1060,1;4;0,弓弩;战车;步兵,"靳天:弓弩(raw=1,sub=1)x1289 | 司马新:战车(raw=4,sub=1)x1269 | 堵意:步兵(raw=0,sub=6)x1645",0,18
2470340,0,24,"大批资源,有宝箱,",684,1432,1064,1;4;4,弓弩;战车;战车,"范元:弓弩(raw=1,sub=1)x1105 | 安云无:战车(raw=4,sub=4)x515 | 邬颂:战车(raw=4,sub=4)x512",0,24
2468488,0,31,"大批资源,",620,1665,1063,4;4;1,战车;战车;弓弩,"解圣:战车(raw=4,sub=1)x1300 | 韶吉:战车(raw=4,sub=4)x511 | 李瑶:弓弩(raw=1,sub=1)x1268",0,30
2472438,0,49,"大批资源,有宝箱,",592,1613,1064,0;4;0,步兵;战车;步兵,"孔通悦:步兵(raw=0,sub=6)x1483 | 祝若:战车(raw=4,sub=6)x1662 | 慕今:步兵(raw=0,sub=6)x1773",0,48
2469125,1,2,"大批资源,",562,1536,,0;4;2,步兵;战车;骑兵,"陆举友:步兵(raw=0,sub=6)x1603 | 宦阵:战车(raw=4,sub=6)x1405 | 巢强魄:骑兵(raw=2,sub=10)x924",0,0
2469172,1,22,"大批资源,有宝箱,",686,1685,1064;1064,4;0;4,战车;步兵;战车,"季业:战车(raw=4,sub=10)x813 | 邴柏:步兵(raw=0,sub=6)x1722 | 沙通石:战车(raw=4,sub=4)x586",0,18
2468713,3,37,"大批资源,",609,1596,,2;4;4,骑兵;战车;战车,"阙吉凡:骑兵(raw=2,sub=10)x936 | 高辑闰:战车(raw=4,sub=4)x576 | 邱从:战车(raw=4,sub=4)x582",3,36
2471730,3,42,"大批资源,",530,1652,1060;1064,4;1;0,战车;弓弩;步兵,"山穹风:战车(raw=4,sub=4)x548 | 凤旺:弓弩(raw=1,sub=1)x1262 | 容勃之:步兵(raw=0,sub=6)x1786",3,42
2467767,3,43,"大批资源,有宝箱,",699,1525,,2;4;4,骑兵;战车;战车,"乐淑敏:骑兵(raw=2,sub=10)x873 | 祖嫒音:战车(raw=4,sub=4)x559 | 邱柳:战车(raw=4,sub=1)x1100",3,42
2471864,3,52,"大批资源,有装备,",515,1673,,4;4;2,战车;战车;骑兵,"孙晗籁:战车(raw=4,sub=4)x520 | 齐晴幻:战车(raw=4,sub=4)x537 | 宣冰:骑兵(raw=2,sub=10)x849",3,48
2470610,3,54,"大批资源,",568,1507,1062,0;1;2,步兵;弓弩;骑兵,"酆朗:步兵(raw=0,sub=6)x1746 | 厍秉华:弓弩(raw=1,sub=1)x1256 | 勾芹路:骑兵(raw=2,sub=10)x810",3,54
2468556,4,7,"大批资源,有宝箱,",501,1439,1064,1;2;1,弓弩;骑兵;弓弩,"饶奇:弓弩(raw=1,sub=1)x1220 | 嵇筠:骑兵(raw=2,sub=10)x769 | 殷晤荫:弓弩(raw=1,sub=1)x1258",3,6
2471613,4,9,"大批资源,",633,1533,,1;4;1,弓弩;战车;弓弩,"邱溪:弓弩(raw=1,sub=1)x1166 | 慎珺:战车(raw=4,sub=10)x878 | 穆绍:弓弩(raw=1,sub=1)x1198",3,6
2471839,4,22,"大批资源,有装备,",688,1652,1064,2;0;1,骑兵;步兵;弓弩,"瞿识醉:骑兵(raw=2,sub=10)x926 | 范元联:步兵(raw=0,sub=6)x1577 | 费邢:弓弩(raw=1,sub=1)x1265",3,18
2466947,4,38,"大批资源,有宝箱,有装备,",589,1578,1064;1064,1;4;0,弓弩;战车;步兵,"司徒松拓:弓弩(raw=1,sub=1)x1147 | 翟自慈:战车(raw=4,sub=4)x518 | 杜卿:步兵(raw=0,sub=6)x1736",3,36
2472095,4,50,"大批资源,",547,1413,,1;4;4,弓弩;战车;战车,"唐冰叡:弓弩(raw=1,sub=1)x1137 | 党晗:战车(raw=4,sub=6)x1719 | 林芮:战车(raw=4,sub=4)x568",3,48
2473056,5,39,"大批资源,有装备,一些宝物,",650,1660,1064;1060,1;4;2,弓弩;战车;骑兵,"鄂醒:弓弩(raw=1,sub=1)x1225 | 蒋晋:战车(raw=4,sub=4)x515 | 钮杉炫:骑兵(raw=2,sub=10)x924",3,36
2467020,6,3,"大批资源,有宝箱,",661,1464,,4;0;0,战车;步兵;步兵,"干晓:战车(raw=4,sub=10)x822 | 谈炫:步兵(raw=0,sub=6)x1571 | 刘容:步兵(raw=0,sub=6)x1519",6,0
