id,名称,字段A,字段B,字段C,raw_tail,offset
0,震慑,4,100,12791,04006431f7,0x2
1,暗渡陈仓,5,100,12807,0500643207,0x11
2,乘胜追击,5,100,12871,0500643247,0x26
3,固若金汤,5,100,12790,05006431f6,0x3b
4,孤注一掷,5,100,12796,05006431fc,0x50
5,明枪暗箭,5,100,12868,0500643244,0x65
6,势如破竹,5,100,12865,0500643241,0x7a
7,天罗地网,5,100,12863,050064323f,0x8f
8,无心恋战,5,100,12864,0500643240,0xa4
9,千里单骑,5,100,12808,0500643208,0xb9
10,以牙还牙,5,100,12805,0500643205,0xce
24,怒火,3,10,12788,03000a31f4,0xe3
25,麻痹,3,10,12722,03000a31b2,0xf2
26,粉碎,3,30,12797,03001e31fd,0x101
27,怒气,3,30,12799,03001e31ff,0x110
28,激励,3,100,12795,03006431fb,0x11f
29,标记,3,100,12792,03006431f8,0x12e
30,精准,3,100,12803,0300643203,0x13d
31,奔袭,3,100,12862,030064323e,0x14c
32,鼓舞,3,100,12867,0300643243,0x15b
33,冲锋,3,100,12798,03006431fe,0x16a
34,守护,3,100,12866,0300643242,0x179
35,铁壁,3,100,12794,03006431fa,0x188
36,振奋,3,100,12869,0300643245,0x197
37,讨伐,4,100,12806,0400643206,0x1a6
38,坚定,4,100,12800,0400643200,0x1b5
39,截击,4,100,12789,04006431f5,0x1c4
40,蓄势,3,100,12811,030064320b,0x1d3
41,突袭,3,100,12793,03006431f9,0x1e2
42,战歌,4,100,12804,0400643204,0x1f1
43,怒吼,4,100,12809,0400643209,0x200
44,流言,4,100,12802,0400643202,0x20f
45,威压,4,100,12870,0400643246,0x21e
46,狂热,4,100,12810,040064320a,0x22d
47,破甲,4,100,12801,0400643201,0x23c
