id,名称/短名,效果描述,raw_tail,offset
0,强盛,强盛状态，下#次被攻击时，生命值提升#%%,010006e5bcbae79b9b3252,0x2
1,,附加自身损失部队#%%数量能造成的伤害,000000ffff,0x48
7,,对身上带有#（ID）状态的目标，额外增加#%%的伤害,000000ffff,0x84
9,消沉,消沉状态，下#次攻击完成之前，攻速降低#%%,020006e6b688e6b2893257,0xcf
11,坚固,坚固状态，下#次被攻击时，防御力提升#%%,010006e59d9ae59bba324f,0x118
12,,附加#%%伤害,000000ffff,0x15e
13,顶盾,顶盾状态，被城池炮塔攻击时，减少#%%的伤害，持续#秒,010006e9a1b6e79bbe324b,0x176
14,激昂,激昂状态，下#次攻击完成之前，攻速提升#%%,010006e6bf80e698823250,0x1ce
15,奋起,奋起状态，下#次攻击时，攻击提升#%%,010006e5a58be8b5b7324c,0x217
16,松懈,松懈状态，下#次被攻击时，防御力降低#%%,020006e69dbee687883254,0x257
17,兴奋,兴奋状态，下#次攻击完成之前，攻击提升#%%，攻速提升#%%,010006e585b4e5a58b3258,0x29d
18,混乱,混乱状态，防御力下降#%%，蓄力暂停，持续#秒,020006e6b7b7e4b9b1324e,0x2f8
19,标记,标记状态，下#次受到伤害时，受到的伤害提升#%%,020006e6a087e8aeb03249,0x344
20,固守,固守状态，受到的伤害减少#%%，蓄力暂停，持续#秒,010006e59bbae5ae88324d,0x393
21,,当前蓄力值减少#%%,000000ffff,0x3e5
22,,当前蓄力值增加原始蓄力值的#%%,000000ffff,0x406
23,胆怯,胆怯状态，下#次攻击时，攻击降低#%%,020006e88386e680af324a,0x439
24,抗体,进入抗体状态，免疫负面BUFF，持续#秒,010006e68a97e4bd933251,0x479
25,,清除正面BUFF,000000ffff,0x4ba
26,,清除负面BUFF,000000ffff,0x4d3
27,攻防一体,下#次受到攻击时，将自身#%%攻击力数值增加到自己的防御力上,01000ce694bbe998b2e4b880e4bd933256,0x4ec
28,吸能,下#次攻击完成之前，将对方#%%攻击力数值叠加到自己的攻击力上,010006e590b8e883bd3255,0x553
29,定身,定身状态，X秒内无法逃离战场,020006e5ae9ae8baab3248,0x5b7
30,衰弱,衰弱状态，下#次攻击完成之前，攻防血速都降低#%%,020006e8a1b0e5bcb13253,0x5ee
31,,对身上有负面状态的目标，额外增加#%%伤害,000000ffff,0x640
