scene_file,version,declared_len,file_size,declared_count,physical_command_records,opcode_counts_json
1-1-1.sc,1,1324,1332,43,48,"{""0x01"": 7, ""0x06"": 7, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 2, ""0x0c"": 22, ""0x0d"": 5}"
1-1-2.sc,1,230,238,10,10,"{""0x01"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 3, ""0x0a"": 4}"
1-1-3.sc,1,338,346,14,14,"{""0x01"": 1, ""0x06"": 3, ""0x08"": 1, ""0x09"": 4, ""0x0a"": 5}"
1-10-1.sc,1,540,548,20,21,"{""0x01"": 2, ""0x05"": 1, ""0x06"": 4, ""0x08"": 1, ""0x09"": 9, ""0x0a"": 3, ""0x0d"": 1}"
1-10-2.sc,1,401,409,18,18,"{""0x01"": 1, ""0x06"": 2, ""0x08"": 1, ""0x09"": 8, ""0x0a"": 6}"
1-10-3.sc,1,1206,1214,49,49,"{""0x01"": 1, ""0x06"": 6, ""0x08"": 1, ""0x09"": 11, ""0x0a"": 30}"
1-11-1.sc,1,1034,1042,46,48,"{""0x01"": 3, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 19, ""0x0a"": 17, ""0x0d"": 2}"
1-11-2.sc,1,586,594,30,30,"{""0x01"": 1, ""0x06"": 1, ""0x08"": 1, ""0x09"": 19, ""0x0a"": 8}"
1-11-3.sc,1,761,769,28,28,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 14}"
1-12-1.sc,1,708,716,23,23,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 4, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 9}"
1-12-3.sc,1,710,718,22,22,"{""0x01"": 1, ""0x06"": 5, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 8, ""0x0d"": 1}"
1-2-1.sc,1,516,524,18,18,"{""0x01"": 1, ""0x05"": 3, ""0x06"": 3, ""0x08"": 1, ""0x09"": 5, ""0x0a"": 5}"
1-2-3.sc,1,414,422,17,17,"{""0x01"": 1, ""0x05"": 2, ""0x06"": 3, ""0x08"": 1, ""0x09"": 6, ""0x0a"": 4}"
1-3-1.sc,1,470,478,20,20,"{""0x01"": 1, ""0x05"": 4, ""0x06"": 2, ""0x08"": 1, ""0x09"": 7, ""0x0a"": 5}"
