seq,campaign,stage,title,enemy_summary,enemy_total,scene_files,scene_exists_count,scene_missing_count,missing_scene_files,total_command_count,total_string_count,actor_candidates,dialogue_preview
1,1,1,奉诏讨贼,民兵*300/民兵*300,600,1-1-1.sc/1-1-2.sc/1-1-3.sc,3,0,,67,14,斥候 / 山贼贼寇,东汉末年，山贼祸乱于世，战火四起，震惊朝野 | 一日，朝中遣使来访—— | 御  使：圣旨到—— | 奉天承运 皇帝诏曰<br/>近日山贼党四处作乱 此社稷之大害<br/>朕命卿克日出兵平乱 钦此 | 皇上命我起兵，现万事俱备，唯兵粮迟迟未到…… || 大胆贼寇！胆敢打劫军粮！ || 快说！你们把粮草劫到哪去了！ | 给我追！
2,1,2,追击贼匪,民兵*320/民兵*500/民兵*320,1140,1-2-1.sc/1-2-3.sc,2,0,,35,6,,斥  候：山贼将粮草运入山寨了，我得速速禀报将军。 | 斥  候：报告将军，前面发现贼寇山寨，我军粮草已被贼党送入寨中！ | 正好将其一网打尽！立刻进攻！ || 哼！不堪一击！ | 山贼：不好！有人闯寨！快去报告孙仲大人！ | 随我灭进去！消灭山贼！
3,1,3,山贼营寨,轻骑*500/轻步*400/轻步*400/民兵*350/民兵*350,2000,1-3-1.sc/1-3-2.sc/1-3-3.sc,3,0,,60,18,孙仲 / 曹操 / 夏侯渊 / 斥候,山  贼：报！有一批官兵突破山寨口，正要灭上来！ | 孙  仲：什么！兄弟们集合！我们一起灭退官兵！ || 逆贼！敢抢军粮！ | 孙 仲：废话少说！看招！ | 曹  操：将军，我来助你一臂之力！ | 是曹将军！太好了，我们一同破敌！ || 曹  操：将军此战损失惨重，我拨一些军士给你。 | 谢曹将军！ | 后会有期！ | 斥  候：报！在敌方首领身上搜出密信一封。请过目！ | 山贼竟然密谋数日内攻打洛阳！我们得尽快去协防！
4,2,1,宦官乱政,轻步*240/轻步*240,480,2-1-1.sc/2-1-3.sc,2,0,,77,20,何进 / 袁绍 / 御林军 / 董卓 / 少帝,袁  绍：何将军，以张让赵忠为首的宦官祸乱朝廷已久，为何不除掉他们？ | 何  进：我正有此意，奈何他们有太后包庇。我已召董卓进京助我清剿十常侍。 | 御林军：何将军！太后召您进殿议事。 | 袁  绍：恐怕是张让他们要谋害将军，千万不要去啊。 | 何  进：不要惊慌，我是大将军，手握天下兵马，他们敢对我如何？ || 糟了，张让竟劫走了皇上！ | 袁  绍：不好了！快去救驾！ | 袁  绍：来者何人？ | 董  卓：西凉董卓。张让已被我灭了，现在护送圣驾回宫。 | 董  卓：让道！
5,1,4,守卫洛阳,轻步*12000/轻骑*3000/重骑*1800,16800,1-4-1.sc/1-4-2.sc/1-4-3.sc,3,0,,61,25,刘备 / 关羽 / 张飞 / 孙坚 / 曹操 / 山贼,来人啊！ | 洛阳即将遭到山贼的攻击。立刻整顿军队，前往援助！ | 步  兵：遵命！ || 诸位将军！我来助你们！ | 曹  操：援军来了！贼军势大，但终究是乌合之众！我们齐心攻破他们的阵型！ || 张  飞：灭的真痛快！ | 曹  操：真是一场硬仗啊。 | 关  羽：恐怕这只是敌人的先锋军，我们须得转守为攻，主动消灭各山贼势力才是。 | 刘  备：云长说的不错。 | 曹  操：事不宜迟，诸位请立即与我面奏圣上！
6,1,5,涿郡遇贼,轻骑*200/民兵*400/民兵*400,1000,1-5-1.sc/1-5-3.sc,2,0,,60,12,刘备 / 关羽 / 张飞,洛阳一战之后，贼党似乎销声匿迹了 | 骑  兵：是啊，我们巡查多日却一无所获 | 站住！你们是什么人？ | 大人，我们是涿郡居民，山贼来犯，我们趁乱逃了出来… | 将士们！山贼现在在涿郡作乱，我们灭过去！ || 自作孽，不可活！ | 刘  备：听闻将军在此与山贼大战，玄德特来助阵。 | 哈哈，玄德兄来迟了一步，山贼已被消灭了，现在随我入城安民吧 | 刘  备：将军作战雷厉风行，玄德佩服。
7,1,6,青州解围,轻步*250/民兵*400/民兵*400/民兵*400,1450,1-6-1.sc/1-6-2.sc/1-6-3.sc,3,0,,48,12,刘备 / 关羽 / 张飞,报！青州城遭山贼围攻，恳请将军速速前往救援！ | 知道了，下去吧。 | 看来得烦请玄德兄安抚涿郡百姓了。 | 刘  备：将军请安心。 | 好，我这就动身前往青州，就此告辞 || 将士们！前面就是青州城。 || 众将士辛苦了！青州城解围了！ | 胜利！胜利！... | 连日征战，将士们都辛苦了！我们进城去好好休息一番！养好了精神，我们继续和山贼党一较高下！
8,1,7,宛城对决,轻骑*250/民兵*500/民兵*500/民兵*500,1750,1-7-1.sc/1-7-2.sc/1-7-3.sc,3,0,,83,14,张曼成,此山贼将领名叫张曼成，非常骁勇，我军兵力少，不可力敌。宛城粮仓就在不远处，防守薄弱，是个不错的目标。 | 将士们！跟我去攻打粮仓！ | 不好了！粮仓遭创了！ | 张曼成：什么！太可恶了！立即出城灭敌！ | 贼军听闻粮仓被烧，必然出城！现派几名军士伪装成山贼，诱骗敌军到城外树林中，伏兵灭之！ || 张曼成：不好！遭埋伏了！ | 贼党！今天就是你们的死期！ || 张曼成率领的贼党已经被消灭了！大家现在随我攻城！剿灭城里的山贼乱党！
9,1,8,攻打宛城,弓兵*260/民兵*400/民兵*400/民兵*400/民兵*400,1860,1-8-1.sc/1-8-3.sc,2,0,,33,10,,山 贼：大家死守住宛城啊！与敌人决一死战！ | 将士们！趁胜追击！夺回宛城！ | 灭啊！ || 今日大破宛城！传令犒赏三军！ | 是！ | 信  使：皇甫嵩将军与贼军首领张宝张梁战于曲阳，苦战多日，听说您屡战屡胜，特来请求支援。 | 既如此，请回命皇甫将军，我将出兵支援！ | 信  使：谢将军！
10,1,9,救援曲阳,重骑兵*600/轻步兵*500/重骑兵*600/民兵*800/民兵*800,3300,1-9-1.sc/1-9-3.sc,2,0,,40,16,皇甫嵩 / 程远志 / 韩忠 / 赵弘,皇甫将军！某前来助阵！ | 天助我也！今天必破山贼！ | 糟！敌人援军来了！大家先撤！ | 贼将休跑！ || 皇甫嵩：将军及时驰援，感激不尽。 | 皇甫将军言重了，现在情况如何？ | 皇甫嵩：张宝张梁龟缩城中，得知三员大将被斩，恐怕会撤退。我们应趁势追击，斩草除根！ | 将军所言甚是！
