item_id,name,type,type_label,desc,effect_ids,effect_summary,is_package_or_box,has_probability_text,mall_good_ids,mall_summary,dynamic_evidence,tail_len,offset,tail_hex_prefix
0,徭役令,2,生产/内政增益,"征召百姓服役,用于封地的建设.",0,"effect#0 增加3个建筑队列,持续1天. params=[3, 1]",,,44/1,cat1/p2/good44/价1=5/价2=0; cat4/p1/good1/价1=5/价2=0,,35,0x2,00040000006302007f00ffff0000000000000001000002000000030000000100000000
1,屯田令,2,生产/内政增益,鼓励农耕.,1,"effect#1 提升封地粮食产量25%,持续1天. params=[25, 1]",,,2,cat4/p1/good2/价1=8/价2=80,,35,0x5f,00040000006302007b01ffff0000000000000001000102000000190000000100000000
2,高级屯田令,2,生产/内政增益,大力鼓励农耕.,1,"effect#1 提升封地粮食产量25%,持续7天. params=[25, 7]",,,3,cat4/p1/good3/价1=50/价2=500,,35,0xa0,00040000006302006601ffff0000000000000001000102000000190000000700000000
5,旌旗,0,普通/功能道具,标注封地名号的旗帜.,3,"effect#3 修改封地名号时消耗,每次修改消耗1个. params=[]",,,17,cat6/p2/good17/价1=5/价2=0,,27,0x18b,00040000006302006e00ffff000000000000000100030000000000
6,迁封令,0,普通/功能道具,将封地迁移到随机的一个城市中.,4,effect#4 迁移封地时消耗，每次消耗1个. params=[],,,29,cat6/p1/good29/价1=20/价2=200,,27,0x1d0,00040000006302007700ffff000000000000000100040000000000
8,高级迁封令,0,普通/功能道具,将封地迁移到指定的城市中.,6,effect#6 迁移封地时消耗，每次消耗1个. params=[],,,78/30,cat1/p2/good78/价1=99/价2=0; cat6/p2/good30/价1=99/价2=0,,27,0x405,00040000006302006400ffff000000000000000100060000000000
9,传音符,0,普通/功能道具,用于世界频道发言.,7,effect#7 每次发言消耗1个. params=[],,,14,cat6/p2/good14/价1=3/价2=30,,27,0x45c,000c0000006302005f00ffff010000001400000100070000000000
10,传音符小礼包,3,礼包/宝箱/资源包,礼包中含有10个传音符.,,,是,,67/15,cat1/p3/good67/价1=27/价2=270; cat7/p1/good15/价1=27/价2=270,,30,0x4a1,000c0000000901006000ffff0000000000000000000100010009000a0000
11,传音符大礼包,3,礼包/宝箱/资源包,礼包中含有100个传音符.,,,是,,16,cat7/p1/good16/价1=240/价2=2400,,30,0x4f7,000c0000000901005e00ffff000000000000000000010001000900640000
12,活血丹,0,普通/功能道具,"疏通筋骨,活络血气的丹药.",8,effect#8 恢复将领50点体力. params=[50],,,21,cat6/p1/good21/价1=2/价2=20,,31,0x54e,00010000006302006b00ffff00000000000000010008010000003200000000
13,小还丹,0,普通/功能道具,使用名贵药材提炼的高级丹药.,8,effect#8 恢复将领100点体力. params=[100],,,22,cat6/p2/good22/价1=5/价2=50,,31,0x5a1,00010000006302007d00ffff00000000000000010008010000006400000000
14,大还丹,0,普通/功能道具,使用稀有药材精心炼制的珍贵丹药.,8,effect#8 恢复将领200点体力. params=[200],,,23,cat6/p2/good23/价1=8/价2=80,,31,0x5f9,00010000006302006100ffff0000000000000001000801000000c800000000
15,九转金丹,0,普通/功能道具,秘法炼制而成的丹药.,9,effect#9 恢复将领100%体力. params=[100],,,24,cat6/p2/good24/价1=15/价2=150,,31,0x657,00010000006302007000ffff00000000000000010009010000006400000000
16,兵书,0,普通/功能道具,记录着普通的统军兵法.,10,effect#10 增加将领1000点经验. params=[1000],,,25,cat6/p1/good25/价1=1/价2=10,商城购买动态验证：good_id=25，购买兵书成功；重放会正常扣白银。,31,0x6a6,0001000003e702007601ffff0000000000000001000a01000003e800000000
17,高级兵书,0,普通/功能道具,记录着高级的统军兵法.,10,effect#10 增加将领15000点经验. params=[15000],,,26,cat6/p2/good26/价1=10/价2=100,,31,0x6f2,0001000003e702006301ffff0000000000000001000a0100003a9800000000
18,兵法心得,0,普通/功能道具,记录着百战宿将对统军兵法的心得体会.,10,effect#10 增加将领200000点经验. params=[200000],,,48/27,cat1/p2/good48/价1=120/价2=1200; cat6/p2/good27/价1=120/价2=1200,,31,0x744,0001000003e702005c01ffff0000000000000001000a0100030d4000000000
19,重置丹,0,普通/功能道具,"使将领的属性回到初始状态,可以重新配置属性点.",11,effect#11 10级以内的将领每次消耗1颗重置丹;将领等级每高10级需要多消耗1个重置丹. params=[],,,28,cat6/p1/good28/价1=20/价2=200,,27,0x7ab,00010000006302007c00ffff0000000000000001000b0000000000
20,招贤令,0,普通/功能道具,"发布招贤令,招募将领.",12,"effect#12 刷新招募将领列表,必刷出50成长以上将领. params=[]",,,45/18,cat1/p2/good45/价1=10/价2=0; cat6/p1/good18/价1=10/价2=0,,27,0x818,00000000006302005700ffff0000000000000001000c0000000000
