item_id,name,type_label,package_kind,key_required,guaranteed_reward_text,reward_tokens,resolved_reward_item_refs,probability_categories,probability_text,mall_summary,dynamic_evidence,desc
7,精铁宝箱,礼包/宝箱/资源包,随机概率宝箱,精铁钥匙,开启精铁宝箱将有机会获得令牌、印绶、招贤令、战鼓、八阵图、鲁公古籍等宝物,开启精铁宝箱将有机会获得令牌 / 印绶 / 招贤令 / 战鼓 / 八阵图 / 鲁公古籍等宝物,精铁宝箱:item_id=7 / 印绶:item_id=114 / 招贤令:item_id=20 / 战鼓:item_id=64 / 鲁公古籍:item_id=24,功能性道具=11.0% / 加速类道具=35.0% / 增益性道具=34.0% / 资产类道具=20.0%,开启的道具概率如下：\n功能性道具 11.00%\n加速类道具 35.00%\n增益性道具 34.00%\n资产类道具 20.00%,,,开启精铁宝箱将有机会获得令牌、印绶、招贤令、战鼓、八阵图、鲁公古籍等宝物;开启此宝箱需要一把精铁钥匙.#probability#开启的道具概率如下：\n功能性道具 11.00%\n加速类道具 35.00%\n增益性道具 34.00%\n资产类道具 20.00%
10,传音符小礼包,礼包/宝箱/资源包,固定礼包,,10个传音符,10个传音符,传音符:item_id=9,,,cat1/p3/good67/价1=27/价2=270; cat7/p1/good15/价1=27/价2=270,,礼包中含有10个传音符.
11,传音符大礼包,礼包/宝箱/资源包,固定礼包,,100个传音符,100个传音符,传音符:item_id=9,,,cat7/p1/good16/价1=240/价2=2400,,礼包中含有100个传音符.
36,新手礼包,礼包/宝箱/资源包,固定礼包,,"很多好东西,赶紧打开吧!",很多好东西 / 赶紧打开吧!,,,,,,"游戏礼包里有很多好东西,赶紧打开吧!"
37,新手礼包2,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包3,资源 / 宝物 / 礼包3,,,,,,"礼包里有资源、宝物、礼包3,需要君主等级达到10级后才能打开."
38,新手礼包3,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包4,资源 / 宝物 / 礼包4,,,,,,"礼包里有资源、宝物、礼包4,需要君主等级达到20级后才能打开."
39,30级兵武箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一把30级以内武器，品质在良好以上,兵书3本 / 一把30级以内武器 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good79/价1=10/价2=0,,开启获得兵书3本，并附赠一把30级以内武器，品质在良好以上。
40,新手礼包4,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包5,资源 / 宝物 / 礼包5,,,,,,"礼包里有资源、宝物、礼包5,需要君主等级达到30级后才能打开."
41,新手礼包5,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包6,资源 / 宝物 / 礼包6,,,,,,"礼包里有资源、宝物、礼包6,需要君主等级达到40级后才能打开."
42,新手礼包6,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包7,资源 / 宝物 / 礼包7,,,,,,"礼包里有资源、宝物、礼包7,需要君主等级达到50级后才能打开."
43,新手礼包7,礼包/宝箱/资源包,固定礼包,,一个高级迁封令,一个高级迁封令,高级迁封令:item_id=8,,,,,"礼包里有一个高级迁封令,需要君主等级达到60级后才能打开."
44,新手礼包8,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包9,资源 / 宝物 / 礼包9,,,,,,"礼包里有资源、宝物、礼包9,需要君主等级达到53级后才能打开."
45,新手礼包9,礼包/宝箱/资源包,固定礼包,,资源、宝物、礼包10,资源 / 宝物 / 礼包10,,,,,,"礼包里有资源、宝物、礼包10,需要君主等级达到58级后才能打开."
46,新手礼包10,礼包/宝箱/资源包,固定礼包,,资源、宝物,资源 / 宝物,,,,,,"礼包里有资源、宝物,需要君主等级达到63级后才能打开."
47,60级兵武箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书5本，并附赠一把60级以内武器，品质在良好以上,兵书5本 / 一把60级以内武器 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good80/价1=12/价2=0,,开启获得兵书5本，并附赠一把60级以内武器，品质在良好以上。
48,80级兵武箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书8本，并附赠一把80级以内武器，品质在良好以上,兵书8本 / 一把80级以内武器 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good81/价1=15/价2=0,,开启获得兵书8本，并附赠一把80级以内武器，品质在良好以上。
49,30级兵盔箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一顶30级以内头盔，品质在良好以上,兵书3本 / 一顶30级以内头盔 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good82/价1=5/价2=0,,开启获得兵书3本，并附赠一顶30级以内头盔，品质在良好以上。
50,70级兵盔箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书7本，并附赠一顶70级以内头盔，品质在良好以上,兵书7本 / 一顶70级以内头盔 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good84/价1=8/价2=0,,开启获得兵书7本，并附赠一顶70级以内头盔，品质在良好以上。
51,50级兵甲箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书5本，并附赠一件50级以内铠甲，品质在良好以上,兵书5本 / 一件50级以内铠甲 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good86/价1=6/价2=0,,开启获得兵书5本，并附赠一件50级以内铠甲，品质在良好以上。
52,35级兵骑箱,礼包/宝箱/资源包,固定装备/兵书箱,,兵书3本，并附赠一匹35级以内坐骑器，品质在良好以上,兵书3本 / 一匹35级以内坐骑器 / 品质在良好以上,兵书:item_id=16,,,cat3/p1/good88/价1=15/价2=0,,开启获得兵书3本，并附赠一匹35级以内坐骑器，品质在良好以上。
53,实木宝箱,礼包/宝箱/资源包,随机概率宝箱,,一些宝物、资源包,一些宝物 / 资源包,,功能性道具=40.0% / 加速类道具=40.0% / 资产类道具=20.0%,开启的道具概率如下：\n功能性道具 40.00%\n加速类道具 40.00%\n资产类道具 20.00%,,,开启后可以随机获得一些宝物、资源包.#probability#开启的道具概率如下：\n功能性道具 40.00%\n加速类道具 40.00%\n资产类道具 20.00%
54,高级粮食辎重,礼包/宝箱/资源包,资源包/辎重,,1000000粮食,1000000粮食,,,,,,"存放粮食的辎重,开启后可获取1000000粮食."
55,资源辎重,礼包/宝箱/资源包,资源包/辎重,,5000铜钱、20000粮食,5000铜钱 / 20000粮食,,,,,,"存放钱粮的辎重,开启后可获取5000铜钱、20000粮食."
56,中级粮食辎重,礼包/宝箱/资源包,资源包/辎重,,100000粮食,100000粮食,,,,,,"存放粮食的辎重,开启后可获取100000粮食."
57,中级资源辎重,礼包/宝箱/资源包,资源包/辎重,,50000铜钱、200000粮食,50000铜钱 / 200000粮食,,,,,,"存放钱粮的辎重,开启后可获取50000铜钱、200000粮食."
58,青铜宝箱,礼包/宝箱/资源包,随机概率宝箱,青铜钥匙,开启青铜宝箱将有机会获得令牌、印绶、招贤令等宝物,开启青铜宝箱将有机会获得令牌 / 印绶 / 招贤令等宝物,青铜宝箱:item_id=58 / 印绶:item_id=114 / 招贤令:item_id=20,功能性道具=17.3% / 加速类道具=16.5% / 增益性道具=19.0% / 资产类道具=47.2%,开启的道具概率如下：\n功能性道具 17.30%\n加速类道具 16.50%\n增益性道具 19.00%\n资产类道具 47.20%,,,开启青铜宝箱将有机会获得令牌、印绶、招贤令等宝物;开启此宝箱需要一把青铜钥匙.#probability#开启的道具概率如下：\n功能性道具 17.30%\n加速类道具 16.50%\n增益性道具 19.00%\n资产类道具 47.20%
59,青铜钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,cat7/p1/good35/价1=5/价2=50,,可以开启青铜宝箱的钥匙.
60,白银宝箱,礼包/宝箱/资源包,随机概率宝箱,白银钥匙,一些宝物、装备,一些宝物 / 装备,,宝箱类道具=5.0% / 功能性道具=10.0% / 加速类道具=30.0% / 增益性道具=40.0% / 资产类道具=15.0%,开启的道具概率如下：\n宝箱类道具 5.00%\n功能性道具 10.00%\n加速类道具 30.00%\n增益性道具 40.00%\n资产类道具 15.00%,,,开启后可以随机获得一些宝物、装备;开启此宝箱需要一把白银钥匙.#probability#开启的道具概率如下：\n宝箱类道具 5.00%\n功能性道具 10.00%\n加速类道具 30.00%\n增益性道具 40.00%\n资产类道具 15.00%\n\n
61,白银钥匙,礼包/宝箱/资源包,礼包/箱候选,,,,,,,,,可以开启白银宝箱的钥匙.
62,黄金宝箱,礼包/宝箱/资源包,随机概率宝箱,黄金钥匙,一些宝物、装备,一些宝物 / 装备,,宝箱类道具=9.09% / 功能性道具=9.09% / 加速类道具=27.27% / 增益性道具=36.36% / 资产类道具=18.18%,开启的道具概率如下：\n宝箱类道具 9.09%\n功能性道具 9.09%\n加速类道具 27.27%\n增益性道具 36.36%\n资产类道具 18.18%,,,开启后可以随机获得一些宝物、装备;开启此宝箱需要一把黄金钥匙.#probability#开启的道具概率如下：\n宝箱类道具 9.09%\n功能性道具 9.09%\n加速类道具 27.27%\n增益性道具 36.36%\n资产类道具 18.18%
