item_id,name,parse_status,resource_rewards,item_rewards,resource_count,item_reward_count,sections,remaining_hex_prefix,tail_len,desc
7,精铁宝箱,unsupported_resource_type_4,,,0,0,[],04020a020200010044ffff021b00130101f4001e01022600160207d000010107d000170103e800180101f4001401003200400101f400420101f400370107d0007301017c0072010014007c010000007f,174,开启精铁宝箱将有机会获得令牌、印绶、招贤令、战鼓、八阵图、鲁公古籍等宝物;开启此宝箱需要一把精铁钥匙.#probability#开启的道具概率如下：\n功能性道具 11.00%\n加速类道具 35.00%\n增益性道具 34.00%\n资产类道具 20.00%
10,传音符小礼包,parsed_full,,传音符(9)*10,0,1,"[{""section_type"": 1, ""count"": 1}]",00,30,礼包中含有10个传音符.
11,传音符大礼包,parsed_full,,传音符(9)*100,0,1,"[{""section_type"": 1, ""count"": 1}]",00,30,礼包中含有100个传音符.
36,新手礼包,parsed_full,白银*50,新手礼包2(37)*1 / 徭役令(0)*1 / 传音符(9)*5 / 鲁公手册(22)*1 / 招募令(27)*1 / 兵书(16)*1,1,6,"[{""section_type"": 1, ""count"": 6}]",00,55,"游戏礼包里有很多好东西,赶紧打开吧!"
37,新手礼包2,parsed_with_nonzero_trailing,白银*100,新手礼包3(38)*1 / 徭役令(0)*1 / 传音符(9)*5 / 旌旗(5)*1 / 鲁公手册(22)*2 / 招募令(27)*2 / 青铜钥匙(59)*1 / 火药桶(30)*1 / 兵书(16)*1 / 财神符(105)*1,1,10,"[{""section_type"": 1, ""count"": 10}]",0100010001020000000a,80,"礼包里有资源、宝物、礼包3,需要君主等级达到10级后才能打开."
38,新手礼包3,parsed_with_nonzero_trailing,白银*150,新手礼包4(40)*1 / 传音符(9)*5 / 旌旗(5)*1 / 鲁公图册(23)*1 / 高级招募令(28)*1 / 青铜钥匙(59)*1 / 活血丹(12)*1 / 火药桶(30)*1 / 兵书(16)*1 / 神农符(103)*1,1,10,"[{""section_type"": 1, ""count"": 10}]",01000100010200000014,80,"礼包里有资源、宝物、礼包4,需要君主等级达到20级后才能打开."
39,30级兵武箱,unsupported_resource_type_5,,,0,0,[],05010b010200010010000303090000057801b804000024b801f40064000104e201b304000024b801f40064000204b001ae04000024b801f400640003047e01a90400000000000000000004044c01a404,171,开启获得兵书3本，并附赠一把30级以内武器，品质在良好以上。
40,新手礼包4,parsed_with_nonzero_trailing,白银*200,新手礼包5(41)*1 / 传音符(9)*5 / 旌旗(5)*1 / 鲁公图册(23)*2 / 高级招募令(28)*2 / 初级行军符(76)*1 / 青铜钥匙(59)*1 / 小还丹(13)*1 / 招贤令(20)*1 / 兵书(16)*1 / 迁封令(6)*1,1,11,"[{""section_type"": 1, ""count"": 11}]",0100010001020000001e,84,"礼包里有资源、宝物、礼包5,需要君主等级达到30级后才能打开."
41,新手礼包5,parsed_with_nonzero_trailing,白银*250,新手礼包6(42)*1 / 传音符(9)*5 / 鲁公古籍(24)*1 / 紧急招募令(29)*1 / 中级行军符(77)*1 / 青铜钥匙(59)*1 / 大还丹(14)*1 / 火药桶(30)*1 / 兵书(16)*1 / 八阵图(66)*1 / 福神符(107)*1 / 迁封令(6)*1,1,12,"[{""section_type"": 1, ""count"": 12}]",01000100010200000028,88,"礼包里有资源、宝物、礼包6,需要君主等级达到40级后才能打开."
42,新手礼包6,parsed_with_nonzero_trailing,白银*300,传音符(9)*5 / 鲁公古籍(24)*2 / 紧急招募令(29)*2 / 高级行军符(78)*1 / 青铜钥匙(59)*1 / 九转金丹(15)*1 / 火药桶(30)*1 / 高级兵书(17)*1 / 战鼓(64)*1 / 练兵符(109)*1 / 新手礼包7(43)*1,1,11,"[{""section_type"": 1, ""count"": 11}]",01000100010200000032,84,"礼包里有资源、宝物、礼包7,需要君主等级达到50级后才能打开."
