item_id,name,parse_status,resource_rewards,item_rewards,resource_count,item_reward_count,sections,remaining_hex_prefix,tail_len,desc
10,传音符小礼包,parsed_full,,传音符(9)*10,0,1,"[{""section_type"": 1, ""count"": 1}]",00,30,礼包中含有10个传音符.
11,传音符大礼包,parsed_full,,传音符(9)*100,0,1,"[{""section_type"": 1, ""count"": 1}]",00,30,礼包中含有100个传音符.
36,新手礼包,parsed_full,白银*50,新手礼包2(37)*1 / 徭役令(0)*1 / 传音符(9)*5 / 鲁公手册(22)*1 / 招募令(27)*1 / 兵书(16)*1,1,6,"[{""section_type"": 1, ""count"": 6}]",00,55,"游戏礼包里有很多好东西,赶紧打开吧!"
37,新手礼包2,parsed_with_nonzero_trailing,白银*100,新手礼包3(38)*1 / 徭役令(0)*1 / 传音符(9)*5 / 旌旗(5)*1 / 鲁公手册(22)*2 / 招募令(27)*2 / 青铜钥匙(59)*1 / 火药桶(30)*1 / 兵书(16)*1 / 财神符(105)*1,1,10,"[{""section_type"": 1, ""count"": 10}]",0100010001020000000a,80,"礼包里有资源、宝物、礼包3,需要君主等级达到10级后才能打开."
38,新手礼包3,parsed_with_nonzero_trailing,白银*150,新手礼包4(40)*1 / 传音符(9)*5 / 旌旗(5)*1 / 鲁公图册(23)*1 / 高级招募令(28)*1 / 青铜钥匙(59)*1 / 活血丹(12)*1 / 火药桶(30)*1 / 兵书(16)*1 / 神农符(103)*1,1,10,"[{""section_type"": 1, ""count"": 10}]",01000100010200000014,80,"礼包里有资源、宝物、礼包4,需要君主等级达到20级后才能打开."
40,新手礼包4,parsed_with_nonzero_trailing,白银*200,新手礼包5(41)*1 / 传音符(9)*5 / 旌旗(5)*1 / 鲁公图册(23)*2 / 高级招募令(28)*2 / 初级行军符(76)*1 / 青铜钥匙(59)*1 / 小还丹(13)*1 / 招贤令(20)*1 / 兵书(16)*1 / 迁封令(6)*1,1,11,"[{""section_type"": 1, ""count"": 11}]",0100010001020000001e,84,"礼包里有资源、宝物、礼包5,需要君主等级达到30级后才能打开."
41,新手礼包5,parsed_with_nonzero_trailing,白银*250,新手礼包6(42)*1 / 传音符(9)*5 / 鲁公古籍(24)*1 / 紧急招募令(29)*1 / 中级行军符(77)*1 / 青铜钥匙(59)*1 / 大还丹(14)*1 / 火药桶(30)*1 / 兵书(16)*1 / 八阵图(66)*1 / 福神符(107)*1 / 迁封令(6)*1,1,12,"[{""section_type"": 1, ""count"": 12}]",01000100010200000028,88,"礼包里有资源、宝物、礼包6,需要君主等级达到40级后才能打开."
42,新手礼包6,parsed_with_nonzero_trailing,白银*300,传音符(9)*5 / 鲁公古籍(24)*2 / 紧急招募令(29)*2 / 高级行军符(78)*1 / 青铜钥匙(59)*1 / 九转金丹(15)*1 / 火药桶(30)*1 / 高级兵书(17)*1 / 战鼓(64)*1 / 练兵符(109)*1 / 新手礼包7(43)*1,1,11,"[{""section_type"": 1, ""count"": 11}]",01000100010200000032,84,"礼包里有资源、宝物、礼包7,需要君主等级达到50级后才能打开."
43,新手礼包7,parsed_with_nonzero_trailing,,高级迁封令(8)*1,0,1,"[{""section_type"": 1, ""count"": 1}]",0100010001020000003c,39,"礼包里有一个高级迁封令,需要君主等级达到60级后才能打开."
44,新手礼包8,parsed_with_nonzero_trailing,粮食*300000 / 铜钱*150000,新手礼包9(45)*1 / 鲁公宝典(25)*2 / 紧急招募令(29)*1 / 迁封令(6)*1 / 八阵图(66)*1 / 特级行军符(79)*2,2,6,"[{""section_type"": 1, ""count"": 6}]",01000100010200000035,69,"礼包里有资源、宝物、礼包9,需要君主等级达到53级后才能打开."
45,新手礼包9,parsed_with_nonzero_trailing,粮食*500000 / 铜钱*200000,新手礼包10(46)*1 / 鲁公宝典(25)*2 / 小还丹(13)*2 / 火药桶(30)*1 / 资源辎重(55)*2 / 行军令(80)*2,2,6,"[{""section_type"": 1, ""count"": 6}]",0100010001020000003a,69,"礼包里有资源、宝物、礼包10,需要君主等级达到58级后才能打开."
46,新手礼包10,parsed_with_nonzero_trailing,粮食*600000 / 铜钱*300000,鲁公秘录(26)*2 / 大还丹(14)*2 / 中级资源辎重(57)*2 / 高级战鼓(65)*1 / 高级八阵图(67)*1,2,5,"[{""section_type"": 1, ""count"": 5}]",0100010001020000003f,65,"礼包里有资源、宝物,需要君主等级达到63级后才能打开."
54,高级粮食辎重,parsed_full,粮食*1000000,,1,0,[],0000,29,"存放粮食的辎重,开启后可获取1000000粮食."
55,资源辎重,parsed_full,粮食*20000 / 铜钱*5000,,2,0,[],0000,34,"存放钱粮的辎重,开启后可获取5000铜钱、20000粮食."
56,中级粮食辎重,parsed_full,粮食*100000,,1,0,[],0000,29,"存放粮食的辎重,开启后可获取100000粮食."
57,中级资源辎重,parsed_full,粮食*200000 / 铜钱*50000,,2,0,[],0000,34,"存放钱粮的辎重,开启后可获取50000铜钱、200000粮食."
59,青铜钥匙,parsed_full,,,0,0,[],0000,24,可以开启青铜宝箱的钥匙.
61,白银钥匙,parsed_full,,,0,0,[],0000,24,可以开启白银宝箱的钥匙.
63,黄金钥匙,parsed_full,,,0,0,[],0000,24,可以开启黄金宝箱的钥匙.
68,精铁钥匙,parsed_full,,,0,0,[],0000,24,可以开启精铁宝箱的钥匙.
72,白金钥匙,parsed_full,,,0,0,[],0000,24,可以开启白金宝箱的钥匙.
73,如意钥匙,parsed_full,,,0,0,[],0000,24,可以开启如意宝箱的钥匙.
74,天赐钥匙,parsed_full,,,0,0,[],0000,24,可以开启天赐宝箱的钥匙.
81,中级铜钱辎重,parsed_full,铜钱*30000,,1,0,[],0000,29,"存放铜钱的辎重,开启后可获取30000铜钱."
82,粮食辎重,parsed_full,粮食*10000,,1,0,[],0000,29,"存放粮食的辎重,开启后可获取10000粮食."
83,高级铜钱辎重,parsed_full,铜钱*300000,,1,0,[],0000,29,"存放铜钱的辎重,开启后可获取300000铜钱."
84,高级资源辎重,parsed_full,粮食*2000000 / 铜钱*500000,,2,0,[],0000,34,"存放钱粮的辎重,开启后可获取500000铜钱、2000000粮食."
87,银礼包,parsed_full,黄金*99,徭役令(0)*5 / 屯田令(1)*3 / 通商令(32)*3 / 招贤令(20)*5 / 迁封令(6)*1 / 练兵符(109)*1 / 福神符(107)*1 / 水晶大材料包(199)*1 / 灵草大材料包(203)*1,1,9,"[{""section_type"": 1, ""count"": 9}]",00,67,"开启后可获得:徭役令5个,屯田令3个,通商令3个,招贤令5个,迁封令1个,练兵符1个,福神符1个，水晶大材料包，灵草大材料包，黄金99个."
88,内测礼包,parsed_full,粮食*1000000 / 铜钱*1000000,,2,0,[],0000,34,开启后可获得金、银礼包、钱粮和很多宝物.
91,铜钱辎重,parsed_full,铜钱*3000,,1,0,[],0000,29,"存放铜钱的辎重,开启后可获取3000铜钱."
94,公测礼包,parsed_full,白银*300,徭役令(0)*1 / 练兵符(109)*1 / 福神符(107)*1 / 屯田令(1)*1 / 通商令(32)*1 / 鲁公手册(22)*2 / 招募令(27)*1 / 兵书(16)*1 / 初级行军符(76)*1 / 传音符小礼包(10)*1 / 镔铁材料包(178)*5 / 浆果材料包(182)*5,1,12,"[{""section_type"": 1, ""count"": 12}]",00,79,"公测礼包,开启后可获得白银和很多宝物."
95,50两银票,parsed_full,白银*50,,1,0,[],0000,29,开启后可获取50两白银.
96,100两银票,parsed_full,白银*100,,1,0,[],0000,29,开启后可获取100两白银.
