category,page,total_pages,row_index,good_id,item_id,item_name,item_type,price1,price2,stock_or_limit,source,raw
1,1,4,1,189,720,虎纹金牌,0,100,0,-1,online,00000000000000bd02d0ffffffff00640000
1,1,4,2,169,575,疾风符,0,30,300,-1,online,00000000000000a9023fffffffff001e012c
1,1,4,3,170,576,大疾风符,0,200,0,-1,online,00000000000000aa0240ffffffff00c80000
1,1,4,4,142,455,地魄灵石材料包,3,99,0,-1,online,000000000000008e01c7ffffffff00630000
1,1,4,5,144,456,天魂灵石材料包,3,99,0,-1,online,000000000000009001c8ffffffff00630000
1,1,4,6,146,454,昆仑玄铁材料包,3,99,0,-1,online,000000000000009201c6ffffffff00630000
1,1,4,7,140,457,山海精华材料包,3,99,0,-1,online,000000000000008c01c9ffffffff00630000
1,1,4,8,147,432,凝魂晶石,4,10,0,-1,online,000000000000009301b0ffffffff000a0000
1,1,4,9,148,410,完整藏宝图,0,10,0,-1,online,0000000000000094019affffffff000a0000
1,1,4,10,122,286,将神魂,0,20,0,-1,online,000000000000007a011effffffff00140000
1,1,4,11,123,356,鲁公心诀,1,300,0,-1,online,000000000000007b0164ffffffff012c0000
1,1,4,12,124,357,沙场点兵,1,480,0,-1,online,000000000000007c0165ffffffff01e00000
1,2,4,1,126,364,皇榜,0,1500,0,-1,online,000000000000007e016cffffffff05dc0000
1,2,4,2,44,0,徭役令,2,5,0,-1,online,000000000000002c0000ffffffff00050000
1,2,4,3,45,20,招贤令,0,10,0,-1,online,000000000000002d0014ffffffff000a0000
1,2,4,4,77,172,招贤金榜,0,100,0,-1,online,000000000000004d00acffffffff00640000
1,2,4,5,78,8,高级迁封令,0,99,0,-1,online,000000000000004e0008ffffffff00630000
1,2,4,6,47,86,金礼包,3,800,0,-1,online,000000000000002f0056ffffffff03200000
1,2,4,7,46,85,钻石礼包,3,3000,0,-1,online,000000000000002e0055ffffffff0bb80000
1,2,4,8,48,18,兵法心得,0,120,1200,-1,online,00000000000000300012ffffffff007804b0
1,2,4,9,57,109,练兵符,0,30,0,-1,online,0000000000000039006dffffffff001e0000
1,2,4,10,74,110,大练兵符,0,80,0,-1,online,000000000000004a006effffffff00500000
1,2,4,11,58,107,福神符,0,15,0,-1,online,000000000000003a006bffffffff000f0000
1,2,4,12,75,108,大福神符,0,30,0,-1,online,000000000000004b006cffffffff001e0000
1,3,4,1,52,102,悬赏令,0,30,0,-1,online,00000000000000340066ffffffff001e0000
1,3,4,2,49,21,免战牌,0,20,0,-1,online,00000000000000310015ffffffff00140000
1,3,4,3,50,64,战鼓,0,50,500,-1,online,00000000000000320040ffffffff003201f4
1,3,4,4,51,66,八阵图,0,50,500,-1,online,00000000000000330042ffffffff003201f4
1,3,4,5,67,10,传音符小礼包,3,27,270,-1,online,0000000000000043000affffffff001b010e
1,3,4,6,53,105,财神符,2,5,0,-1,online,00000000000000350069ffffffff00050000
1,3,4,7,54,106,大财神符,2,25,0,-1,online,0000000000000036006affffffff00190000
1,3,4,8,55,103,神农符,2,15,0,-1,online,00000000000000370067ffffffff000f0000
1,3,4,9,56,104,大神农符,2,80,0,-1,online,00000000000000380068ffffffff00500000
1,3,4,10,151,416,山海精华,4,1,0,-1,online,000000000000009701a0ffffffff00010000
1,3,4,11,152,415,地魄灵石,4,1,0,-1,online,0000000000000098019fffffffff00010000
1,3,4,12,153,414,天魂灵石,4,1,0,-1,online,0000000000000099019effffffff00010000
1,4,4,1,154,413,昆仑玄铁,4,1,0,-1,online,000000000000009a019dffffffff00010000
1,4,4,2,155,409,残缺藏宝图,0,1,10,-1,online,000000000000009b0199ffffffff0001000a
1,4,4,3,186,710,帅印,0,100,0,-1,online,00000000000000ba02c6ffffffff00640000
1,4,4,4,187,709,将印,0,50,0,-1,online,00000000000000bb02c5ffffffff00320000
2,1,2,1,191,721,福袋,0,10,0,-1,online,00000000000000bf02d1ffffffff000a0000
2,1,2,2,190,683,开封令,0,99,0,-1,online,00000000000000be02abffffffff00630000
2,1,2,3,181,660,求贤令,5,20,0,-1,online,00000000000000b50294ffffffff00140000
2,1,2,4,178,636,军团名帖,0,300,0,-1,online,00000000000000b2027cffffffff012c0000
2,1,2,5,179,346,勋章,5,100,0,-1,online,00000000000000b3015affffffff00640000
2,1,2,6,180,271,通达券,5,10,0,-1,online,00000000000000b4010fffffffff000a0000
2,1,2,7,177,637,诏书,0,600,0,-1,online,00000000000000b1027dffffffff02580000
2,1,2,8,167,338,高级冰玉礼包,3,900,0,-1,online,00000000000000a70152ffffffff03840000
2,1,2,9,168,340,高级仙芝礼包,3,900,0,-1,online,00000000000000a80154ffffffff03840000
2,1,2,10,156,387,超级悬赏令,0,200,0,-1,online,000000000000009c0183ffffffff00c80000
2,1,2,11,158,31,名帖,0,300,0,-1,online,000000000000009e001fffffffff012c0000
2,1,2,12,159,352,风调雨顺,2,180,0,-1,online,000000000000009f0160ffffffff00b40000
2,2,2,1,160,353,招财进宝,2,150,0,-1,online,00000000000000a00161ffffffff00960000
2,2,2,2,162,354,璞玉,0,150,0,-1,online,00000000000000a20162ffffffff00960000
2,2,2,3,163,358,典民令,2,50,0,-1,online,00000000000000a30166ffffffff00320000
2,2,2,4,164,359,孟德新书,0,480,0,-1,online,00000000000000a40167ffffffff01e00000
2,2,2,5,165,360,孙子兵法,0,800,0,-1,online,00000000000000a50168ffffffff03200000
2,2,2,6,166,361,太平要术,0,2400,0,-1,online,00000000000000a60169ffffffff09600000
2,2,2,7,188,714,召回令,0,100,0,-1,online,00000000000000bc02caffffffff00640000
2,2,2,8,192,744,转移符,0,100,0,-1,online,00000000000000c002e8ffffffff00640000
3,1,4,1,79,39,30级兵武箱,3,10,0,-1,online,000000000000004f0027ffffffff000a0000
3,1,4,2,80,47,60级兵武箱,3,12,0,-1,online,0000000000000050002fffffffff000c0000
3,1,4,3,81,48,80级兵武箱,3,15,0,-1,online,00000000000000510030ffffffff000f0000
3,1,4,4,82,49,30级兵盔箱,3,5,0,-1,online,00000000000000520031ffffffff00050000
3,1,4,5,83,176,50级兵盔箱,3,6,0,-1,online,000000000000005300b0ffffffff00060000
3,1,4,6,84,50,70级兵盔箱,3,8,0,-1,online,00000000000000540032ffffffff00080000
3,1,4,7,85,173,30级兵甲箱,3,5,0,-1,online,000000000000005500adffffffff00050000
3,1,4,8,86,51,50级兵甲箱,3,6,0,-1,online,00000000000000560033ffffffff00060000
3,1,4,9,87,174,70级兵甲箱,3,8,0,-1,online,000000000000005700aeffffffff00080000
3,1,4,10,88,52,35级兵骑箱,3,15,0,-1,online,00000000000000580034ffffffff000f0000
3,1,4,11,89,175,60级兵骑箱,3,18,0,-1,online,000000000000005900afffffffff00120000
3,1,4,12,90,177,80级兵骑箱,3,25,0,-1,online,000000000000005a00b1ffffffff00190000
3,2,4,1,91,186,30级高级兵武箱,3,30,0,-1,online,000000000000005b00baffffffff001e0000
3,2,4,2,92,187,60级高级兵武箱,3,36,0,-1,online,000000000000005c00bbffffffff00240000
3,2,4,3,93,188,80级高级兵武箱,3,45,0,-1,online,000000000000005d00bcffffffff002d0000
3,2,4,4,94,189,30级高级兵盔箱,3,15,0,-1,online,000000000000005e00bdffffffff000f0000
3,2,4,5,95,190,50级高级兵盔箱,3,18,0,-1,online,000000000000005f00beffffffff00120000
3,2,4,6,96,191,70级高级兵盔箱,3,24,0,-1,online,000000000000006000bfffffffff00180000
3,2,4,7,97,192,30级高级兵甲箱,3,15,0,-1,online,000000000000006100c0ffffffff000f0000
3,2,4,8,98,193,50级高级兵甲箱,3,18,0,-1,online,000000000000006200c1ffffffff00120000
3,2,4,9,99,194,70级高级兵甲箱,3,24,0,-1,online,000000000000006300c2ffffffff00180000
3,2,4,10,100,195,35级高级兵骑箱,3,45,0,-1,online,000000000000006400c3ffffffff002d0000
3,2,4,11,101,196,60级高级兵骑箱,3,54,0,-1,online,000000000000006500c4ffffffff00360000
3,2,4,12,102,197,80级高级兵骑箱,3,75,0,-1,online,000000000000006600c5ffffffff004b0000
3,3,4,1,103,178,镔铁材料包,3,1,0,-1,online,000000000000006700b2ffffffff00010000
3,3,4,2,104,179,水晶材料包,3,3,0,-1,online,000000000000006800b3ffffffff00030000
3,3,4,3,105,180,玄铁材料包,3,5,0,-1,online,000000000000006900b4ffffffff00050000
3,3,4,4,106,181,冰玉材料包,3,10,0,-1,online,000000000000006a00b5ffffffff000a0000
3,3,4,5,107,182,浆果材料包,3,1,0,-1,online,000000000000006b00b6ffffffff00010000
3,3,4,6,108,183,灵草材料包,3,3,0,-1,online,000000000000006c00b7ffffffff00030000
3,3,4,7,109,184,玉露材料包,3,5,0,-1,online,000000000000006d00b8ffffffff00050000
3,3,4,8,110,185,仙芝材料包,3,10,0,-1,online,000000000000006e00b9ffffffff000a0000
3,3,4,9,111,198,镔铁大材料包,3,9,0,-1,online,000000000000006f00c6ffffffff00090000
3,3,4,10,112,199,水晶大材料包,3,27,0,-1,online,000000000000007000c7ffffffff001b0000
3,3,4,11,113,200,玄铁大材料包,3,45,0,-1,online,000000000000007100c8ffffffff002d0000
3,3,4,12,114,201,冰玉大材料包,3,90,0,-1,online,000000000000007200c9ffffffff005a0000
3,4,4,1,115,202,浆果大材料包,3,9,0,-1,online,000000000000007300caffffffff00090000
3,4,4,2,116,203,灵草大材料包,3,27,0,-1,online,000000000000007400cbffffffff001b0000
3,4,4,3,118,205,仙芝大材料包,3,90,0,-1,online,000000000000007600cdffffffff005a0000
3,4,4,4,117,204,玉露大材料包,3,45,0,-1,online,000000000000007500ccffffffff002d0000
4,1,1,1,1,0,徭役令,2,5,0,-1,online,00000000000000010000ffffffff00050000
4,1,1,2,59,105,财神符,2,5,0,-1,online,000000000000003b0069ffffffff00050000
4,1,1,3,60,106,大财神符,2,25,0,-1,online,000000000000003c006affffffff00190000
4,1,1,4,61,103,神农符,2,15,0,-1,online,000000000000003d0067ffffffff000f0000
4,1,1,5,62,104,大神农符,2,80,0,-1,online,000000000000003e0068ffffffff00500000
4,1,1,6,2,1,屯田令,2,8,80,-1,online,00000000000000020001ffffffff00080050
4,1,1,7,3,2,高级屯田令,2,50,500,-1,online,00000000000000030002ffffffff003201f4
4,1,1,8,4,32,通商令,2,3,30,-1,online,00000000000000040020ffffffff0003001e
4,1,1,9,5,33,高级通商令,2,15,150,-1,online,00000000000000050021ffffffff000f0096
5,1,2,1,120,356,鲁公心诀,1,300,0,-1,online,00000000000000780164ffffffff012c0000
5,1,2,2,121,357,沙场点兵,1,480,0,-1,online,00000000000000790165ffffffff01e00000
5,1,2,3,6,22,鲁公手册,1,2,20,-1,online,00000000000000060016ffffffff00020014
5,1,2,4,11,27,招募令,1,8,0,-1,online,000000000000000b001bffffffff00080000
5,1,2,5,36,76,初级行军符,1,5,0,-1,online,0000000000000024004cffffffff00050000
5,1,2,6,40,80,行军令,1,80,0,-1,online,00000000000000280050ffffffff00500000
5,1,2,7,63,109,练兵符,0,30,0,-1,online,000000000000003f006dffffffff001e0000
5,1,2,8,69,110,大练兵符,0,80,0,-1,online,0000000000000045006effffffff00500000
5,1,2,9,64,107,福神符,0,15,0,-1,online,0000000000000040006bffffffff000f0000
5,1,2,10,70,108,大福神符,0,30,0,-1,online,0000000000000046006cffffffff001e0000
5,1,2,11,7,23,鲁公图册,1,5,50,-1,online,00000000000000070017ffffffff00050032
5,1,2,12,8,24,鲁公古籍,1,8,80,-1,online,00000000000000080018ffffffff00080050
5,2,2,1,9,25,鲁公宝典,1,30,300,-1,online,00000000000000090019ffffffff001e012c
5,2,2,2,10,26,鲁公秘录,1,60,600,-1,online,000000000000000a001affffffff003c0258
5,2,2,3,12,28,高级招募令,1,20,0,-1,online,000000000000000c001cffffffff00140000
5,2,2,4,13,29,紧急招募令,1,50,0,-1,online,000000000000000d001dffffffff00320000
5,2,2,5,37,77,中级行军符,1,8,0,-1,online,0000000000000025004dffffffff00080000
5,2,2,6,38,78,高级行军符,1,15,0,-1,online,0000000000000026004effffffff000f0000
5,2,2,7,39,79,特级行军符,1,30,0,-1,online,0000000000000027004fffffffff001e0000
6,1,3,1,119,286,将神魂,0,20,0,-1,online,0000000000000077011effffffff00140000
6,1,3,2,125,364,皇榜,0,1500,0,-1,online,000000000000007d016cffffffff05dc0000
6,1,3,3,65,102,悬赏令,0,30,0,-1,online,00000000000000410066ffffffff001e0000
6,1,3,4,29,6,迁封令,0,20,200,-1,online,000000000000001d0006ffffffff001400c8
6,1,3,5,28,19,重置丹,0,20,200,-1,online,000000000000001c0013ffffffff001400c8
6,1,3,6,19,30,火药桶,0,20,200,-1,online,0000000000000013001effffffff001400c8
6,1,3,7,21,12,活血丹,0,2,20,-1,online,0000000000000015000cffffffff00020014
6,1,3,8,25,16,兵书,0,1,10,-1,online,00000000000000190010ffffffff0001000a
6,1,3,9,18,20,招贤令,0,10,0,-1,online,00000000000000120014ffffffff000a0000
6,1,3,10,76,172,招贤金榜,0,100,0,-1,online,000000000000004c00acffffffff00640000
6,1,3,11,31,64,战鼓,0,50,500,-1,online,000000000000001f0040ffffffff003201f4
6,1,3,12,33,66,八阵图,0,50,500,-1,online,00000000000000210042ffffffff003201f4
6,2,3,1,30,8,高级迁封令,0,99,0,-1,online,000000000000001e0008ffffffff00630000
6,2,3,2,32,65,高级战鼓,0,200,2000,-1,online,00000000000000200041ffffffff00c807d0
6,2,3,3,34,67,高级八阵图,0,200,2000,-1,online,00000000000000220043ffffffff00c807d0
6,2,3,4,22,13,小还丹,0,5,50,-1,online,0000000000000016000dffffffff00050032
6,2,3,5,23,14,大还丹,0,8,80,-1,online,0000000000000017000effffffff00080050
6,2,3,6,24,15,九转金丹,0,15,150,-1,online,0000000000000018000fffffffff000f0096
6,2,3,7,26,17,高级兵书,0,10,100,-1,online,000000000000001a0011ffffffff000a0064
6,2,3,8,27,18,兵法心得,0,120,1200,-1,online,000000000000001b0012ffffffff007804b0
6,2,3,9,20,21,免战牌,0,20,0,-1,online,00000000000000140015ffffffff00140000
6,2,3,10,66,101,驱逐令,0,20,200,-1,online,00000000000000420065ffffffff001400c8
6,2,3,11,17,5,旌旗,0,5,0,-1,online,00000000000000110005ffffffff00050000
6,2,3,12,14,9,传音符,0,3,30,-1,online,000000000000000e0009ffffffff0003001e
6,3,3,1,71,90,檄文,0,20,0,-1,online,0000000000000047005affffffff00140000
6,3,3,2,72,92,木牛流马,0,20,0,-1,online,0000000000000048005cffffffff00140000
6,3,3,3,73,93,讨伐诏书,0,20,0,-1,online,0000000000000049005dffffffff00140000
6,3,3,4,183,362,北斗七星,0,800,0,-1,online,00000000000000b7016affffffff03200000
6,3,3,5,184,363,八门金锁,0,800,0,-1,online,00000000000000b8016bffffffff03200000
6,3,3,6,185,577,天罡北斗,0,600,0,-1,online,00000000000000b90241ffffffff02580000
6,3,3,7,193,757,巡游令,0,10,0,-1,online,00000000000000c102f5ffffffff000a0000
7,1,1,1,41,87,银礼包,3,200,0,-1,online,00000000000000290057ffffffff00c80000
7,1,1,2,42,86,金礼包,3,800,0,-1,online,000000000000002a0056ffffffff03200000
7,1,1,3,43,85,钻石礼包,3,3000,0,-1,online,000000000000002b0055ffffffff0bb80000
7,1,1,4,15,10,传音符小礼包,3,27,270,-1,online,000000000000000f000affffffff001b010e
7,1,1,5,16,11,传音符大礼包,3,240,2400,-1,online,0000000000000010000bffffffff00f00960
7,1,1,6,35,59,青铜钥匙,3,5,50,-1,online,0000000000000023003bffffffff00050032
7,1,1,7,68,68,精铁钥匙,3,8,0,-1,online,00000000000000440044ffffffff00080000
