id,type,field_a,field_b,tail,text
0,2,50,1,-1,工欲善其事 必先利其器
1,1,,,,
2,2,1,1,-1,即时战斗 百人攻城
3,2,1,1,-1,群雄并立 万人国战
4,2,1,1,-1,升官进爵 建国称帝
5,2,1,1,-1,城主争夺 只争朝夕
6,2,1,1,-1,名将名城 珍贵唯一
7,2,1,1,-1,装备技能 如虎添翼
8,2,1,1,-1,兵种相克 以弱胜强
9,2,1,1,-1,军团争霸 国战无双
10,2,1,1,-1,生产建设 轻松上手
11,2,1,1,-1,师徒社交 兄弟情仇
12,2,1,1,-1,战场活动 天天竞技
13,2,1,1,-1,副本故事 引人入胜
14,100,2,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff00活动任务%的具体说明！
15,100,3,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff01活动任务%的具体说明！
16,100,4,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff02活动任务%的具体说明！
17,100,5,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff03活动任务%的具体说明！
18,100,6,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff04活动任务%的具体说明！
19,100,7,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff05活动任务%的具体说明！
20,100,8,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff06活动任务%的具体说明！
21,100,9,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff07活动任务%的具体说明！
22,100,10,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff08活动任务%的具体说明！
23,100,11,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff09活动任务%的具体说明！
24,100,12,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff10活动任务%的具体说明！
25,100,13,2,-1,玩法内容火爆征集中！详情请到游戏中查阅相关%cffff11活动任务%的具体说明！
26,100,0,2,-1,"大家都知道装备对于将领能力的提升是尤为巨大的，我这这里向大家介绍下装备的选择！%n首先应该收集装备，前期应该多打些4到6级掉装备的山贼。这几个等级的山贼掉落的装备等级适中，适合于前期将领的用。装备分普通、良好、优秀、卓越四个品质。%n对于前期（60级前），我们主要着手强化普通品质的装备，大家不要看不起普通的，因为普通装备的材料（浆果强化战马，镔铁强化其他三样）来的快又容易，而且升级风险低，很容易就能强化出一把高强化度的装备来，一般把武器强化到18~20，武器等级应该在20级以上，不然就会浪费材料。%n头盔升级到20级很容易。对于铠甲和战马，不建议用普通品质。因为普通品级的盔甲升一级才加1防御，战马加3个统兵量。在前期使用良好品质的装备就行了。良好品质的材料（灵草、晶石）得来相对较难，但只需强化铠甲和战马，用量还是可以接受的。%n弄好一套高强化度装备，用它拼灭到七十多级也是没有问题的。在八十级后，主要着手优秀等级的装备了，打玄铁矿和玉露园需要消耗不少兵，但也不要舍不得，能强化出几把高强装备，对于部队能力的提升也是巨大的，以后打仗减少来的损失就能补回来。%n温馨提示：1、占领资源点时，要注意兵到前该点是不是已经被别人抢先占领。（遇到脾性好的朋友还好说，要是张飞型的，直接抄起家伙冲你家了⊙﹏⊙b汗）2、打资源点尽量挑些容易的配置来打（弓弓、步弓、车车组合），而且不要去打太远的（30分钟内为好）,做到刷黄刷资两不误。%n——孜然（南方一区）"
27,2,50,1,-1,治国之谋 统军之道(治国篇)
