protocol,response_opcode_hex,handler,group,order,field,io,evidence,meaning,confidence
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),header,1,status,readByte,p.M0 000000-000006,状态码；0 为成功，非 0 显示 message,高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),header,2,message,readUTF,p.M0 000008-00000e / 0000c6,服务端提示文案；失败时直接展示,高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),role_update,3,role_update_count,readByte,p.M0 00001a-000020,成功后第一组更新条目数量,高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),role_update,4.1,request_role_id_or_mapping_key,readLong,p.M0 00002c-00003c,读 long 后经 Lo/a.q1(J) 映射为本地实体ID；疑似请求中的将领/角色ID,中高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),role_update,4.2,army_type_or_status,readByte,p.M0 000044-00004c / Lo/a.T8,若映射成功，写入 Lo/a.Pm；疑似将领当前兵种/状态,中
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),role_update,4.3,army_count_or_value,readInt,p.M0 00004c-000066 / Lo/a.S8,若映射成功，写入 Lo/a.Qm；疑似将领当前带兵数/补兵后数量,中
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),fief_soldier_inventory,5,fief_or_context_id,readLong,p.M0 000072-000080 / Lo/a.p3,映射到 Lo/a.ov 索引，作为后续兵种库存数组位置；疑似封地ID,中高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),fief_soldier_inventory,6,soldier_type_count,readByte,p.M0 000082-00008a,后续空闲兵/库存兵种条目数量,高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),fief_soldier_inventory,7.1,soldier_type[i],readByte,p.M0 000096-00009e / Kv[index],兵种类型/编号数组，保存到 Lo/a.Kv[index],中高
reqBathAddArmy,0x8229,LscriptPages/game/p;->M0(String),fief_soldier_inventory,7.2,soldier_amount[i],readInt,p.M0 0000a2-0000aa / Lv[index],对应兵种数量数组，保存到 Lo/a.Lv[index],中高
