语义分组,显示标签/用途,p.f字段,p.c1同构字段,读取类型,语义判定,置信度,关键证据,服务端重建建议
主键,记录 ID,q5,T5,readLong,城池/资源点/目标记录 ID,高,p.f/p.c1 读流首字段为 long；M5 与 q5 做 ID 列表比对,作为地图目标唯一 ID；攻击/占领/详情接口应引用该 ID
类型/图标,类型图标与类型首字,r5,U5,readByte,城池/资源点类型,高,"p.s: data.b.C(r5/U5) 取图标，data.b.d 或 data.b.D(type).substring(0,1) 取类型首字",返回静态类型码，客户端用本地 type->图标/名称表渲染
名称坐标,无标签首行,s5 + t5/u5,V5 + W5/X5,readUTF + short/short,名称与地图坐标,高,"p.s: s5 + "" ("" + type首字 + t5 + "","" + u5 + "")""；同构分支 V5/W5/X5",列表必须提供名称和 x/y 坐标
国家,di_国家,J5,m6,readUTF,所属国家/势力名,高,p.s 标签数组第 1 项为 di_国家，值来自 J5/m6,可为空；为空时 UI 可能显示“无”
天赋/加成,di_天赋,w5 + x5,Z5 + a6,readByte + readByte,天赋/加成显示值，形如 +N%,中高,"p.s: 标签 di_天赋；调用 game.g.v(w5/Z5,""+"") 后拼 x5/a6 与 ""%""",服务端需按客户端期望返回符号/类别码与百分比数值；精确拆分需动态样本
封地,di_标题封地,D5 / C5,g6 / f6,readInt / readInt,封地数量/上限或占有规模 当前/上限,高,"p.s: 标签 di_标题封地；显示 (D5>0?D5:1) + ""/"" + C5，同构为 g6/f6",若当前值为 0，客户端显示 1；服务端仍应返回真实字段
城主/守主,di_城主,G5 + H5,j6 + k6,readUTF + readByte,城主/守将名称与等级,高,p.s: 标签 di_城主；若 G5/j6 为空显示 di_标题无，否则拼 “名称(将领等级 H5/k6)”,无主返回空串；有主返回名称和等级
驻防将领,di_驻防将领,F5 / E5,i6 / h6,readShort / readShort,驻防将领数量/上限,高,p.s: 第二标签组第 0 项 di_驻防将领；值为 F5/E5，同构为 i6/h6,返回当前驻防将领数量和可驻防上限
道路,di_道路,y5,b6,readInt,道路值/道路耐久/道路等级候选,中高,p.s: 第二标签组第 1 项 di_道路；值来自 y5/b6,业务名仍需动态样本；服务端先按整数属性回填
城墙,di_城墙,A5,d6,readInt,城墙值/城墙耐久/城墙等级候选,中高,p.s: 第二标签组第 2 项 di_城墙；值来自 A5/d6,业务名仍需动态样本；战斗/攻城应会消耗或参考该值
名将协防开关/概率,di_名将协防 / di_协防几率,Q5,r6,readByte,名将协防概率/开关，>0 时显示协防区块,高,"p.s: if Q5/r6 > 0 显示 di_名将协防；di_协防几率 值为 Q5/r6 + ""%""",0 不显示协防区块；>0 作为概率百分比
名将数量,di_名将数量,R5[0] - R5[1],s6[0] - s6[1],readByte x2,协防名将数量范围,高,"p.s: di_名将数量 值拼 R5[0] + ""-"" + R5[1]，同构 s6",返回两个 byte，显示为范围
攻克奖励-战功,di_攻克奖励 / di_标题战功,S5[2],t6[2],readLong,攻克奖励战功,高,p.s: di_攻克奖励 后显示 di_标题战功 + S5[2]/t6[2],攻击胜利奖励预览；实际到账仍服务端结算
攻克奖励-铜钱,di_国库铜钱,S5[0],t6[0],readLong,攻克奖励铜钱/国库铜钱,高,p.s: di_国库铜钱 + S5[0]/t6[0],攻击胜利奖励预览；与个人铜钱到账不是同一字段
攻克奖励-粮食,di_国库粮食,S5[1],t6[1],readLong,攻克奖励粮食/国库粮食,高,p.s: di_国库粮食 + S5[1]/t6[1],攻击胜利奖励预览；与个人粮食到账不是同一字段
ID 列表,M5[],M5,无直接同构,readLong[],相关/已占/已选目标 ID 列表候选,中,p.f 尾部 readLong count 再读 M5[]；后续与 q5 做包含/匹配,用于客户端标记目标状态；需动态样本确认
时间字段,计时/状态候选,K5 / L5,n6 / o6,readLong / readLong,保护/占领/刷新/到期时间候选,低中,p.f/p.c1 末尾 long 字段；UI 直接证据不足,先返回 0 或合理时间戳；具体语义待抓样本
未显示 int 组,未直接显示,z5/B5/O5/P5,c6/e6/p6/q6,readInt x4,隐藏/兼容/扩展数值候选,低,读流确认但 p.s 主面板未直接使用；可能在 p.t 或其他筛选/状态路径使用,协议兼容必须保留字段；业务语义待动态样本
状态 byte,未直接显示,v5,Y5,readByte,状态/归属/品质候选,低,读流确认，p.s 主面板未直接显示,协议兼容保留；动态样本命名
详情页名称,详情标题,K6,-,readUTF,单点详情名称,高,p.P0 success: K6/readUTF,详情接口返回
详情页坐标,详情坐标,L6/M6,-,readShort/readShort,单点详情坐标,高,p.P0 success: L6/M6,详情接口返回
详情页说明,详情描述,N6,-,readUTF,单点详情描述,中高,p.P0 success: N6/readUTF,详情接口返回
详情页数值,详情数值 1/2,x6/y6,-,readInt/readInt,详情产量/储量/状态数值候选,中,p.P0 success: x6/y6；与资源点详情 UI 相关,精确业务名需动态样本
详情驻守数组,详情驻守/守军,O6/P6/Q6/R6/S6/T6/U6/V6,-,count + long/string/byte...,驻守/守军条目候选,中高,p.P0 每项读 long、名称、byte、文本、byte、byte、byte；T6>=100 时减 100 并置 U6=1,用于详情页显示驻守将领或守军状态
