building_id,名称,level,cost_copper_or_A,cost_food_or_B,cost_extra_or_C,build_time_seconds,raw
0,大厅,1,0,0,0,0,0100000000000000000000000000000000
0,大厅,2,180,450,0,75,02000000b4000001c2000000000000004b
0,大厅,3,540,1350,0,375,030000021c000005460000000000000177
0,大厅,4,1080,2700,0,1875,040000043800000a8c0000000000000753
0,大厅,5,2160,5400,0,5625,05000008700000151800000000000015f9
0,大厅,6,4320,10800,0,16875,06000010e000002a3000000000000041eb
0,大厅,7,6480,16200,0,33750,070000195000003f4800000000000083d6
0,大厅,8,9720,24300,0,67500,08000025f800005eec00000000000107ac
0,大厅,9,12636,31590,0,101250,090000315c00007b660000000000018b82
0,大厅,10,16425,41067,0,151875,0a000040290000a06b0000000000025143
0,大厅,11,33728,77004,0,206446,0b000083c000012ccc000000000003266e
0,大厅,12,56192,123660,0,277294,0c0000db800001e30c0000000000043b2e
0,大厅,13,84753,182979,0,367371,0d00014b110002cac30000000000059b0b
0,大厅,14,120425,257067,0,479875,0e0001d6690003ec2b0000000000075283
0,大厅,15,164300,348192,0,618250,0f000281cc000550200000000000096f0a
1,房屋,1,26,65,0,6,010000001a000000410000000000000006
1,房屋,2,78,195,0,32,020000004e000000c30000000000000020
1,房屋,3,234,585,0,162,03000000ea0000024900000000000000a2
1,房屋,4,468,1170,0,812,04000001d400000492000000000000032c
1,房屋,5,936,2340,0,2436,05000003a8000009240000000000000984
1,房屋,6,1872,4680,0,7312,0600000750000012480000000000001c90
1,房屋,7,2808,7020,0,14625,0700000af800001b6c0000000000003921
1,房屋,8,4212,10530,0,29250,0800001074000029220000000000007242
1,房屋,9,5475,13689,0,43875,090000156300003579000000000000ab63
1,房屋,10,7118,17796,0,65812,0a00001bce000045840000000000010114
1,房屋,11,11111,27113,0,97756,0b00002b67000069e90000000000017ddc
1,房屋,12,16295,39209,0,139228,0c00003fa7000099290000000000021fdc
1,房屋,13,22886,54588,0,191956,0d000059660000d53c000000000002edd4
1,房屋,14,31118,73796,0,257812,0e0000798e00012044000000000003ef14
1,房屋,15,41243,97421,0,338812,0f0000a11b00017c8d0000000000052b7c
2,农场,1,20,50,0,5,0100000014000000320000000000000005
2,农场,2,60,150,0,25,020000003c000000960000000000000019
2,农场,3,180,450,0,125,03000000b4000001c2000000000000007d
2,农场,4,360,900,0,625,0400000168000003840000000000000271
2,农场,5,720,1800,0,1875,05000002d0000007080000000000000753
2,农场,6,1440,3600,0,5625,06000005a000000e1000000000000015f9
2,农场,7,2160,5400,0,11250,0700000870000015180000000000002bf2
2,农场,8,3240,8100,0,22500,0800000ca800001fa400000000000057e4
2,农场,9,4212,10530,0,33750,09000010740000292200000000000083d6
2,农场,10,5475,13689,0,50625,0a0000156300003579000000000000c5c1
2,农场,11,9468,20344,0,86562,0b000024fc00004f780000000000015222
2,农场,12,14652,28984,0,133218,0c0000393c000071380000000000020862
2,农场,13,21243,39969,0,192537,0d000052fb00009c21000000000002f019
2,农场,14,29475,53689,0,266625,0e000073230000d1b90000000000041181
2,农场,15,39600,70564,0,357750,0f00009ab0000113a40000000000057576
3,书院,1,44,110,0,11,010000002c0000006e000000000000000b
3,书院,2,132,330,0,55,02000000840000014a0000000000000037
3,书院,3,396,990,0,275,030000018c000003de0000000000000113
3,书院,4,792,1980,0,1375,0400000318000007bc000000000000055f
3,书院,5,1584,3960,0,4125,050000063000000f78000000000000101d
3,书院,6,3168,7920,0,12375,0600000c6000001ef00000000000003057
3,书院,7,4752,11880,0,24750,070000129000002e6800000000000060ae
3,书院,8,7128,17820,0,49500,0800001bd80000459c000000000000c15c
3,书院,9,9266,23166,0,74250,090000243200005a7e000000000001220a
3,书院,10,12045,30115,0,111370,0a00002f0d000075a3000000000001b30a
3,书院,11,20829,44756,0,190436,0b0000515d0000aed4000000000002e7e4
3,书院,12,32234,63764,0,293079,0c00007dea0000f91400000000000478d7
