building_id,名称,level,effect_a,effect_b,effect_c,raw
0,大厅,1,15,0,0,010000000f0000000000000000
0,大厅,2,25,0,0,02000000190000000000000000
0,大厅,3,50,0,0,03000000320000000000000000
0,大厅,4,90,0,0,040000005a0000000000000000
0,大厅,5,145,0,0,05000000910000000000000000
0,大厅,6,215,0,0,06000000d70000000000000000
0,大厅,7,300,0,0,070000012c0000000000000000
0,大厅,8,400,0,0,08000001900000000000000000
0,大厅,9,515,0,0,09000002030000000000000000
0,大厅,10,645,0,0,0a000002850000000000000000
0,大厅,11,790,0,0,0b000003160000000000000000
0,大厅,12,950,0,0,0c000003b60000000000000000
0,大厅,13,1125,0,0,0d000004650000000000000000
0,大厅,14,1315,0,0,0e000005230000000000000000
0,大厅,15,1520,0,0,0f000005f00000000000000000
1,房屋,1,0,0,20,01000000000000000000000014
1,房屋,2,0,0,35,02000000000000000000000023
1,房屋,3,0,0,60,0300000000000000000000003c
1,房屋,4,0,0,95,0400000000000000000000005f
1,房屋,5,0,0,140,0500000000000000000000008c
1,房屋,6,0,0,195,060000000000000000000000c3
1,房屋,7,0,0,260,07000000000000000000000104
1,房屋,8,0,0,335,0800000000000000000000014f
1,房屋,9,0,0,420,090000000000000000000001a4
1,房屋,10,0,0,515,0a000000000000000000000203
1,房屋,11,0,0,620,0b00000000000000000000026c
1,房屋,12,0,0,735,0c0000000000000000000002df
1,房屋,13,0,0,860,0d00000000000000000000035c
1,房屋,14,0,0,995,0e0000000000000000000003e3
1,房屋,15,0,0,1140,0f000000000000000000000474
2,农场,1,0,25,0,01000000000000001900000000
2,农场,2,0,40,0,02000000000000002800000000
2,农场,3,0,65,0,03000000000000004100000000
2,农场,4,0,100,0,04000000000000006400000000
2,农场,5,0,145,0,05000000000000009100000000
2,农场,6,0,200,0,0600000000000000c800000000
2,农场,7,0,265,0,07000000000000010900000000
2,农场,8,0,340,0,08000000000000015400000000
2,农场,9,0,425,0,0900000000000001a900000000
2,农场,10,0,520,0,0a000000000000020800000000
2,农场,11,0,625,0,0b000000000000027100000000
2,农场,12,0,740,0,0c00000000000002e400000000
2,农场,13,0,865,0,0d000000000000036100000000
2,农场,14,0,1000,0,0e00000000000003e800000000
2,农场,15,0,1145,0,0f000000000000047900000000
