building_id,名称,level,pn_req_building_or_param,qn_req_level_for_un,rn_req_role_or_gate_level,sn_req_building_or_param2,tn_req_level2_or_flag,un_required_building_type_for_q_l,vn_int_param,trailing_flag_byte,client_accessors,raw
0,大厅,1,0,0,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000000ffff00ffff0000000000
0,大厅,2,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000100ffff00ffff0000000000
0,大厅,3,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000200ffff00ffff0000000000
0,大厅,4,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000300ffff00ffff0000000000
0,大厅,5,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000400ffff00ffff0000000000
0,大厅,6,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0600000500ffff00ffff0000000000
0,大厅,7,0,6,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0700000600ffff00ffff0000000000
0,大厅,8,0,7,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0800000700ffff00ffff0000000000
0,大厅,9,0,8,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0900000800ffff00ffff0000000000
0,大厅,10,0,9,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0a00000900ffff00ffff0000000000
0,大厅,11,0,10,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0b00000a14ffff00ffff0000000001
0,大厅,12,0,11,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0c00000b14ffff00ffff0000000001
0,大厅,13,0,12,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0d00000c14ffff00ffff0000000001
0,大厅,14,0,13,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0e00000d14ffff00ffff0000000001
0,大厅,15,0,14,20,-1,0,-1,0,1,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0f00000e14ffff00ffff0000000001
1,房屋,1,0,1,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0100000100ffff00ffff0000000000
1,房屋,2,0,2,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0200000200ffff00ffff0000000000
1,房屋,3,0,3,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0300000300ffff00ffff0000000000
1,房屋,4,0,4,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0400000400ffff00ffff0000000000
1,房屋,5,0,5,0,-1,0,-1,0,0,"S1->pn, R1->qn, q.l uses un+R1, U5 stores rn/sn/tn/vn but direct semantics pending",0500000500ffff00ffff0000000000
