building_id,名称,level,cost_copper_or_A,cost_food_or_B,cost_extra_or_C,build_time_seconds,effect_a,effect_b,effect_c,unlock_tier_or_soldier_stage,req_primary_level_byte,req_role_or_gate_level_byte
0,大厅,1,0,0,0,0,15,0,0,,0,0
0,大厅,2,180,450,0,75,25,0,0,,1,0
0,大厅,3,540,1350,0,375,50,0,0,,2,0
0,大厅,4,1080,2700,0,1875,90,0,0,,3,0
0,大厅,5,2160,5400,0,5625,145,0,0,,4,0
0,大厅,6,4320,10800,0,16875,215,0,0,,5,0
0,大厅,7,6480,16200,0,33750,300,0,0,,6,0
0,大厅,8,9720,24300,0,67500,400,0,0,,7,0
0,大厅,9,12636,31590,0,101250,515,0,0,,8,0
0,大厅,10,16425,41067,0,151875,645,0,0,,9,0
0,大厅,11,33728,77004,0,206446,790,0,0,,10,20
0,大厅,12,56192,123660,0,277294,950,0,0,,11,20
0,大厅,13,84753,182979,0,367371,1125,0,0,,12,20
0,大厅,14,120425,257067,0,479875,1315,0,0,,13,20
0,大厅,15,164300,348192,0,618250,1520,0,0,,14,20
1,房屋,1,26,65,0,6,0,0,20,,1,0
1,房屋,2,78,195,0,32,0,0,35,,2,0
1,房屋,3,234,585,0,162,0,0,60,,3,0
1,房屋,4,468,1170,0,812,0,0,95,,4,0
1,房屋,5,936,2340,0,2436,0,0,140,,5,0
1,房屋,6,1872,4680,0,7312,0,0,195,,6,0
1,房屋,7,2808,7020,0,14625,0,0,260,,7,0
1,房屋,8,4212,10530,0,29250,0,0,335,,8,0
1,房屋,9,5475,13689,0,43875,0,0,420,,9,0
1,房屋,10,7118,17796,0,65812,0,0,515,,10,0
1,房屋,11,11111,27113,0,97756,0,0,620,,11,20
1,房屋,12,16295,39209,0,139228,0,0,735,,12,20
1,房屋,13,22886,54588,0,191956,0,0,860,,13,20
1,房屋,14,31118,73796,0,257812,0,0,995,,14,20
1,房屋,15,41243,97421,0,338812,0,0,1140,,15,20
2,农场,1,20,50,0,5,0,25,0,,1,0
2,农场,2,60,150,0,25,0,40,0,,2,0
2,农场,3,180,450,0,125,0,65,0,,3,0
2,农场,4,360,900,0,625,0,100,0,,4,0
2,农场,5,720,1800,0,1875,0,145,0,,5,0
2,农场,6,1440,3600,0,5625,0,200,0,,6,0
2,农场,7,2160,5400,0,11250,0,265,0,,7,0
2,农场,8,3240,8100,0,22500,0,340,0,,8,0
2,农场,9,4212,10530,0,33750,0,425,0,,9,0
2,农场,10,5475,13689,0,50625,0,520,0,,10,0
2,农场,11,9468,20344,0,86562,0,625,0,,11,20
2,农场,12,14652,28984,0,133218,0,740,0,,12,20
2,农场,13,21243,39969,0,192537,0,865,0,,13,20
2,农场,14,29475,53689,0,266625,0,1000,0,,14,20
2,农场,15,39600,70564,0,357750,0,1145,0,,15,20
3,书院,1,44,110,0,11,,,,,1,0
3,书院,2,132,330,0,55,,,,,2,0
3,书院,3,396,990,0,275,,,,,3,0
3,书院,4,792,1980,0,1375,,,,,4,0
3,书院,5,1584,3960,0,4125,,,,,5,0
3,书院,6,3168,7920,0,12375,,,,,6,0
3,书院,7,4752,11880,0,24750,,,,,7,0
3,书院,8,7128,17820,0,49500,,,,,8,0
3,书院,9,9266,23166,0,74250,,,,,9,0
3,书院,10,12045,30115,0,111370,,,,,10,0
3,书院,11,20829,44756,0,190436,,,,,11,0
3,书院,12,32234,63764,0,293079,,,,,12,0
3,书院,13,46734,87931,0,423581,,,,,13,0
3,书院,14,64845,118115,0,586575,,,,,14,0
3,书院,15,87120,155240,0,787050,,,,,15,0
4,步兵营,1,30,75,0,7,,,,1,1,0
4,步兵营,2,90,225,0,37,,,,1,2,0
4,步兵营,3,270,675,0,187,,,,1,3,0
4,步兵营,4,540,1350,0,937,,,,2,4,0
4,步兵营,5,1080,2700,0,2812,,,,2,5,0
4,步兵营,6,2160,5400,0,8437,,,,2,6,0
4,步兵营,7,3240,8100,0,16875,,,,3,7,0
4,步兵营,8,4860,12150,0,33750,,,,3,8,0
4,步兵营,9,6318,15795,0,50625,,,,3,9,0
4,步兵营,10,8212,20533,0,75937,,,,4,10,0
5,弓兵营,1,30,75,0,7,,,,1,1,0
5,弓兵营,2,90,225,0,37,,,,1,2,0
5,弓兵营,3,270,675,0,187,,,,1,3,0
5,弓兵营,4,540,1350,0,937,,,,2,4,0
5,弓兵营,5,1080,2700,0,2812,,,,2,5,0
5,弓兵营,6,2160,5400,0,8437,,,,2,6,0
5,弓兵营,7,3240,8100,0,16875,,,,3,7,0
5,弓兵营,8,4860,12150,0,33750,,,,3,8,0
5,弓兵营,9,6318,15795,0,50625,,,,3,9,0
5,弓兵营,10,8212,20533,0,75937,,,,4,10,0
6,战车营,1,36,90,0,9,,,,1,1,0
6,战车营,2,108,271,0,44,,,,1,2,0
6,战车营,3,326,742,0,225,,,,1,3,0
