building_id,名称,level,unlock_tier_or_soldier_stage,raw
4,步兵营,1,1,0101
4,步兵营,2,1,0201
4,步兵营,3,1,0301
4,步兵营,4,2,0402
4,步兵营,5,2,0502
4,步兵营,6,2,0602
4,步兵营,7,3,0703
4,步兵营,8,3,0803
4,步兵营,9,3,0903
4,步兵营,10,4,0a04
5,弓兵营,1,1,0101
5,弓兵营,2,1,0201
5,弓兵营,3,1,0301
5,弓兵营,4,2,0402
5,弓兵营,5,2,0502
5,弓兵营,6,2,0602
5,弓兵营,7,3,0703
5,弓兵营,8,3,0803
5,弓兵营,9,3,0903
5,弓兵营,10,4,0a04
6,战车营,1,1,0101
6,战车营,2,1,0201
6,战车营,3,1,0301
6,战车营,4,2,0402
6,战车营,5,2,0502
6,战车营,6,2,0602
6,战车营,7,3,0703
6,战车营,8,3,0803
6,战车营,9,3,0903
6,战车营,10,4,0a04
8,骑兵营,1,1,0101
8,骑兵营,2,1,0201
8,骑兵营,3,1,0301
8,骑兵营,4,2,0402
8,骑兵营,5,2,0502
8,骑兵营,6,2,0602
8,骑兵营,7,3,0703
8,骑兵营,8,3,0803
8,骑兵营,9,3,0903
8,骑兵营,10,4,0a04
