id,flags,text,offset,note
0,0102,"增加#个建筑队列,持续#天.",0x2,
1,0102,"提升封地粮食产量#%,持续#天.",0x2a,
2,0100,"将地面的建筑摧毁,成为空地;建筑被摧毁后得不到回收资源;该物品不能对行政大厅使用.",0x56,
3,0100,"修改封地名号时消耗,每次修改消耗1个.",0xcf,
4,0100,迁移封地时消耗，每次消耗1个.,0x108,
5,0100,迁移封地时消耗，每次消耗1个.,0x137,
6,0100,迁移封地时消耗，每次消耗1个.,0x166,
7,0100,每次发言消耗1个.,0x195,
8,0101,恢复将领#点体力.,0x1b2,
9,0101,恢复将领#%体力.,0x1cf,
10,0101,增加将领#点经验.,0x1ea,
11,0100,10级以内的将领每次消耗1颗重置丹;将领等级每高10级需要多消耗1个重置丹.,0x207,
12,0100,"刷新招募将领列表,必刷出50成长以上将领.",0x26f,
13,0101,保护时间持续#天.,0x2ac,
14,0102,缩短1项建造任务或者研究任务的时间#小时#分钟.,0x2c9,
15,0102,随机缩短1项建造任务或者研究任务的时间#小时～#小时.,0x30f,
16,0101,缩短军队的招募时间#小时,0x35e,
17,0100,每次修改消耗1个.,0x386,
18,0102,"提升封地铜钱的产量#%,持续#天.",0x3a3,
19,0102,"提升军队的攻击#%,持续#天.",0x3d2,
20,0102,"提升军队的防御#%,持续#天.",0x3fb,
21,0102,缩短军队的出征时间#小时#分钟.,0x424,
22,0101,缩短#%的出征时间.,0x454,
23,0100,驱逐封地时消耗，每次消耗1个.,0x472,
24,0101,俘虏敌将的几率增加一倍，效果持续#小时,0x4a1,
25,0102,"提升封地铜钱的产量#%,持续#天.",0x4de,
26,0102,"提升封地粮食的产量#%,持续#天.",0x50d,
27,0102,"战斗后获取的资源、声望增加#%,持续#小时.",0x53c,
28,0102,"战斗后获取的资源、声望增加#%,持续#小时.",0x57a,
29,0102,"使所有将领战斗获取的经验增加#%,持续#小时.",0x5b8,
30,0102,"使所有将领战斗获取的经验增加#%,持续#小时.",0x5f9,
31,0100,在30级内强制保护状态。,0x63a,
32,0101,"使军队在夺取产生破坏时,对封地建筑的破坏力提升一倍,效果持续#小时.",0x660,
33,0101,"在夺取封地成功时,对封地将领的降忠效果提升一倍,效果持续#小时.",0x6c4,
34,0101,"在夺取封地成功时,获取的资源量提升一倍,效果持续#小时.",0x722,
35,0102,"增加将领的统帅值#%,持续#小时.",0x774,
36,0100,"刷新招募将领列表,必刷出60成长以上将领.",0x7a3,
37,0102,"提升封地粮食产量#%,持续#天.",0x7e0,
38,0102,"提升封地铜钱的产量#%,持续#天.",0x80c,
39,0100,"刷新招募将领列表,必刷出70成长以上将领.",0x83b,
40,0101,"增加2倍俘虏玩家将领的几率,效果持续#小时",0x878,
41,00,,0x8b7,"malformed/placeholder, resynced_to_0x8ba"
42,0102,赏赐我方文官加#忠诚，赠送他人文官降#忠诚,0x8ba,
43,0100,仅在内政系统种植园中使用，每次消耗1个.,0x8fb,
44,0102,"提升军队的攻击速度#%,持续#小时.",0x939,
45,0100,,0x96b,
46,0100,,0x971,
47,0100,,0x977,
