id,标题,字段raw,描述,offset
0,,0000030001010101,攻击步兵时的攻击力增加#%,0x2
1,,0000030001050101,对城墙的破坏力增加#%,0x31
2,,0000030001020101,攻击弓兵时的攻击力增加#%,0x5a
3,,0000030001030101,攻击骑兵时的攻击力增加#%,0x89
4,,0000040001010101,抵抗步兵攻击时，防御力增加#%,0xb8
5,★散阵★,0200000101,"军队在被攻击时,有#%几率躲避掉对方的攻击而不受伤害.",0xed
6,,0000040001020101,抵抗弓兵攻击时，防御力增加#%,0x14d
7,★斩将★,0100000101,"军队在攻击时,有#%几率打倒目标军队的统帅而使该军队溃败.",0x182
8,,0000040001030101,抵抗骑兵攻击时，防御力增加#%,0x1e8
9,★暴击★,0100000101,"军队在攻击时,有#%几率产生双倍攻击的效果.",0x21d
10,★连击★,0100000101,"军队在攻击时,有#%几率发动第2次攻击.",0x26e
11,★践踏★,010103000101,"统帅骑兵部队在攻击时,有#%几率对目标左右两旁的军队都产生50%的践踏伤害.",0x2b7
12,★奇袭★,010103000101,"统帅骑兵部队在攻击时,有#%几率发动奇袭,攻击敌方的后排部队.",0x333
13,★散阵★,0201030202040101,"统帅骑兵部队在被远程单位攻击时,有#%几率躲避攻击,而不受伤害.",0x39e
14,★穿透★,010102000101,"统帅弓兵部队在攻击时,有#%几率无视对方的防御.",0x40e
15,★乱射★,010102000101,"统帅弓兵部队在攻击时,有#%几率对敌方任意的一个部队进行攻击.",0x466
16,★散射★,010102000101,"统帅弓兵部队在攻击时,有#%几率对敌方的前排部队都造成50%伤害.",0x4d3
17,★格挡★,0201010201030101,"统帅步兵部队在被近战单位攻击时,有#%几率格挡攻击,而不受伤害.",0x540
18,★冲锋★,010101000101,"统帅步兵部队在攻击时,有#%几率对敌方所有单位都造成20%伤害.",0x5b0
19,★枪阵★,01010101030101,"统帅步兵部队在攻击骑兵部队时,有#%几率增加50%的攻击力.",0x61a
20,★溅射★,010104000101,"统帅战车部队在时,有#%几率对目标前后左右的部队都产生30%的伤害.",0x67f
21,★贯穿★,010104000101,"统帅战车部队在时,有#%几率对目标身后的部队分别产生50%和20%的伤害.",0x6ef
