id,名称,技能族,等级,效果ID,效果标题,触发率/数值,效果描述,raw_suffix,offset
0,初级暴击,暴击,1,9,★暴击★,3,"军队在攻击时,有#%几率产生双倍攻击的效果.",010009010003,0x2
1,中级暴击,暴击,2,9,★暴击★,6,"军队在攻击时,有#%几率产生双倍攻击的效果.",020009010006,0x18
2,高级暴击,暴击,3,9,★暴击★,9,"军队在攻击时,有#%几率产生双倍攻击的效果.",030009010009,0x2e
3,初级连击,连击,1,10,★连击★,4,"军队在攻击时,有#%几率发动第2次攻击.",01000a010004,0x44
4,中级连击,连击,2,10,★连击★,8,"军队在攻击时,有#%几率发动第2次攻击.",02000a010008,0x5a
5,高级连击,连击,3,10,★连击★,12,"军队在攻击时,有#%几率发动第2次攻击.",03000a01000c,0x70
6,初级格档,格档,1,5,★散阵★,3,"军队在被攻击时,有#%几率躲避掉对方的攻击而不受伤害.",010005010003,0x86
7,中级格档,格档,2,5,★散阵★,6,"军队在被攻击时,有#%几率躲避掉对方的攻击而不受伤害.",020005010006,0x9c
8,高级格档,格档,3,5,★散阵★,9,"军队在被攻击时,有#%几率躲避掉对方的攻击而不受伤害.",030005010009,0xb2
9,初级斩将,斩将,1,7,★斩将★,1,"军队在攻击时,有#%几率打倒目标军队的统帅而使该军队溃败.",010007010001,0xc8
10,中级斩将,斩将,2,7,★斩将★,2,"军队在攻击时,有#%几率打倒目标军队的统帅而使该军队溃败.",020007010002,0xde
11,高级斩将,斩将,3,7,★斩将★,3,"军队在攻击时,有#%几率打倒目标军队的统帅而使该军队溃败.",030007010003,0xf4
12,初级践踏,践踏,1,11,★践踏★,5,"统帅骑兵部队在攻击时,有#%几率对目标左右两旁的军队都产生50%的践踏伤害.",01000b010005,0x10a
13,中级践踏,践踏,2,11,★践踏★,10,"统帅骑兵部队在攻击时,有#%几率对目标左右两旁的军队都产生50%的践踏伤害.",02000b01000a,0x120
14,高级践踏,践踏,3,11,★践踏★,15,"统帅骑兵部队在攻击时,有#%几率对目标左右两旁的军队都产生50%的践踏伤害.",03000b01000f,0x136
15,初级奇袭,奇袭,1,12,★奇袭★,3,"统帅骑兵部队在攻击时,有#%几率发动奇袭,攻击敌方的后排部队.",01000c010003,0x14c
16,中级奇袭,奇袭,2,12,★奇袭★,6,"统帅骑兵部队在攻击时,有#%几率发动奇袭,攻击敌方的后排部队.",02000c010006,0x162
17,高级奇袭,奇袭,3,12,★奇袭★,9,"统帅骑兵部队在攻击时,有#%几率发动奇袭,攻击敌方的后排部队.",03000c010009,0x178
18,初级散阵,散阵,1,13,★散阵★,5,"统帅骑兵部队在被远程单位攻击时,有#%几率躲避攻击,而不受伤害.",01000d010005,0x18e
19,中级散阵,散阵,2,13,★散阵★,10,"统帅骑兵部队在被远程单位攻击时,有#%几率躲避攻击,而不受伤害.",02000d01000a,0x1a4
20,高级散阵,散阵,3,13,★散阵★,15,"统帅骑兵部队在被远程单位攻击时,有#%几率躲避攻击,而不受伤害.",03000d01000f,0x1ba
21,初级穿透,穿透,1,14,★穿透★,4,"统帅弓兵部队在攻击时,有#%几率无视对方的防御.",01000e010004,0x1d0
22,中级穿透,穿透,2,14,★穿透★,8,"统帅弓兵部队在攻击时,有#%几率无视对方的防御.",02000e010008,0x1e6
23,高级穿透,穿透,3,14,★穿透★,12,"统帅弓兵部队在攻击时,有#%几率无视对方的防御.",03000e01000c,0x1fc
24,初级乱射,乱射,1,15,★乱射★,5,"统帅弓兵部队在攻击时,有#%几率对敌方任意的一个部队进行攻击.",01000f010005,0x212
25,中级乱射,乱射,2,15,★乱射★,10,"统帅弓兵部队在攻击时,有#%几率对敌方任意的一个部队进行攻击.",02000f01000a,0x228
26,高级乱射,乱射,3,15,★乱射★,15,"统帅弓兵部队在攻击时,有#%几率对敌方任意的一个部队进行攻击.",03000f01000f,0x23e
27,初级散射,散射,1,16,★散射★,5,"统帅弓兵部队在攻击时,有#%几率对敌方的前排部队都造成50%伤害.",010010010005,0x254
28,中级散射,散射,2,16,★散射★,10,"统帅弓兵部队在攻击时,有#%几率对敌方的前排部队都造成50%伤害.",02001001000a,0x26a
29,高级散射,散射,3,16,★散射★,15,"统帅弓兵部队在攻击时,有#%几率对敌方的前排部队都造成50%伤害.",03001001000f,0x280
30,初级盾阵,盾阵,1,17,★格挡★,5,"统帅步兵部队在被近战单位攻击时,有#%几率格挡攻击,而不受伤害.",010011010005,0x296
31,中级盾阵,盾阵,2,17,★格挡★,10,"统帅步兵部队在被近战单位攻击时,有#%几率格挡攻击,而不受伤害.",02001101000a,0x2ac
32,高级盾阵,盾阵,3,17,★格挡★,15,"统帅步兵部队在被近战单位攻击时,有#%几率格挡攻击,而不受伤害.",03001101000f,0x2c2
33,初级冲锋,冲锋,1,18,★冲锋★,3,"统帅步兵部队在攻击时,有#%几率对敌方所有单位都造成20%伤害.",010012010003,0x2d8
34,中级冲锋,冲锋,2,18,★冲锋★,6,"统帅步兵部队在攻击时,有#%几率对敌方所有单位都造成20%伤害.",020012010006,0x2ee
35,高级冲锋,冲锋,3,18,★冲锋★,9,"统帅步兵部队在攻击时,有#%几率对敌方所有单位都造成20%伤害.",030012010009,0x304
36,初级枪阵,枪阵,1,19,★枪阵★,5,"统帅步兵部队在攻击骑兵部队时,有#%几率增加50%的攻击力.",010013010005,0x31a
37,中级枪阵,枪阵,2,19,★枪阵★,10,"统帅步兵部队在攻击骑兵部队时,有#%几率增加50%的攻击力.",02001301000a,0x330
