id,flags,text,offset,note
0,0101,建筑的建造、升级和拆除速度加快#%。,0x2,
1,0101,士兵的招募速度加快#%。,0x3a,
2,0101,粮食产量增加#%,0x60,
3,0101,铜钱产量增加#%。,0x7a,
4,0101,士兵攻击增加#%。,0x97,
5,0101,士兵的防御增加#%,0xb4,
6,0101,士兵的生命增加#%。,0xd1,
7,0101,军队的行军速度加快#%。,0xf1,
8,0101,人口上限增加#%。,0x117,
9,0101,步兵的防御增加#%。,0x134,
10,0101,弓兵的攻击增加#%。,0x154,
11,0101,骑兵的攻防增加#%,0x174,
12,0101,战车的生命增加#%。,0x191,
13,0101,将领的统兵数量增加#%。,0x1b1,
14,0101,减少提升将领忠诚度所需费用的#%.,0x1d7,
15,0102,"战车的移动速度提升#%,攻击速度提升#%.",0x20a,
16,0101,在战斗中撤退时伤兵数减少#%,0x243,
17,0101,灭敌时获得的战功增加#%,0x26f,
18,0101,强化成功率提高#%,0x295,
19,0101,士兵的攻击、防御提高#%,0x2b2,
20,0101,降低发言延迟#%,0x2d8,
21,0101,士兵攻击速度提高#%,0x2f2,
22,0101,劝降成功率提高#%,0x312,
23,0101,营救成功率提高#%,0x32f,
24,0101,士兵的攻击、防御、生命值、攻击速度、行军速度提高#%,0x34c,
25,0101,士兵的攻击、防御、行军速度提升#%,0x39c,
26,0101,提高军队攻击、防御、带兵数#%,0x3d1,
27,0101,本场战斗的#%伤兵自愈了,0x400,
28,0103,士兵攻击、防御增加#%，剿灭黄巾贼获得的声望增加#%，封地的铜钱产量、粮食产量增加#%。,0x426,
29,0101,"弓兵部队在攻击时有#%的几率产生穿透效果,无视对方防御.",0x4a4,
30,0101,"遭受掠夺时,减少#%的资源损失.",0x4f6,
31,0101,每个房屋可增加#个人口上限.,0x524,
32,0101,"步兵部队在受到骑兵或步兵攻击时有#%的几率产生格挡效果,抵挡住攻击而不受伤害.",0x550,
33,0101,"骑兵部队在受到弓兵或战车攻击时有#%的几率产生散阵效果,躲避掉攻击而不受伤害.",0x5c3,
34,0102,"在招募战车部队时,需要的资源和时间减少#%;战车部队所占用的人口数减少#%.",0x636,
35,0103,封地的铜钱、粮食产量增加#%;士兵的攻击、防御、生命值、行军速度提高#%;兵营招募士兵的速度提升#%。,0x6a0,
36,0102,"将领的统兵数量增加#%,军队的行军速度加快#%。",0x72f,
37,0102,"士兵攻击速度提高#%,军队的行军速度加快#%。",0x773,
38,0101,提升军队攻击、防御、生命、攻速、战功、带兵数#%,0x7b4,
39,0101,提升军队攻击、攻击速度、带兵数#%,0x7fe,
40,0102,降低#%武将加忠费用、提高#%招募速度,0x833,
41,0105,押镖军团币额外增加#%军团币、史诗镖车出现概率提升#%、缩短#%押镖出征时间、降低#%炼魂体力数值出现频率、提升#%炼魂极品属性出现概率,0x86a,
42,0102,寻宝出征和驻防时间缩短#%、刷出镇国之宝、藏珍阁、金山银山概率提升#%,0x928,
43,0103,将领修炼经验提高#%，同时费用降低#%（每次修炼前激活该称号即可，修炼期间可不携带）；将领培养成功率提高#%,0x98f,
44,0101,提升#%（格斗、精准、驯马科技效果、攻击、攻速、防御、生命）。,0xa2b,
45,0101,提升#%几率俘虏玩家将领,0xa8a,
46,0101,降低#%战场玩家将领逃跑几率,0xab0,
