item_id,item_name,title_name,title_code_from_tail,desc,tail_hex_prefix,note
544,滑头称号宝箱,滑头,0,打开可获得滑头称号！,ffff00000009012fec00ffff00000000000000000110000130000000,称号宝箱尾部疑似 ASCII 编码称号ID
545,寨主称号宝箱,寨主,1,打开可获得寨主称号！,ffff00000009012fec00ffff00000000000000000110000131000000,称号宝箱尾部疑似 ASCII 编码称号ID
546,福星称号宝箱,福星,2,打开可获得福星称号！,ffff00000009012fec00ffff00000000000000000110000132000000,称号宝箱尾部疑似 ASCII 编码称号ID
547,学士称号宝箱,学士,3,打开可获得学士称号！,ffff00000009012fec00ffff00000000000000000110000133000000,称号宝箱尾部疑似 ASCII 编码称号ID
548,先锋称号宝箱,先锋,5,打开可获得先锋称号！,ffff00000009012fec00ffff00000000000000000110000135000000,称号宝箱尾部疑似 ASCII 编码称号ID
549,护军称号宝箱,护军,6,打开可获得护军称号！,ffff00000009012fec00ffff00000000000000000110000136000000,称号宝箱尾部疑似 ASCII 编码称号ID
550,破军称号宝箱,破军,7,打开可获得破军称号！,ffff00000009012fec00ffff00000000000000000110000137000000,称号宝箱尾部疑似 ASCII 编码称号ID
551,猛将称号宝箱,猛将,8,打开可获得猛将称号！,ffff00000009012fec00ffff00000000000000000110000138000000,称号宝箱尾部疑似 ASCII 编码称号ID
552,贪狼称号宝箱,贪狼,9,打开可获得贪狼称号！,ffff00000009012fec00ffff00000000000000000110000139000000,称号宝箱尾部疑似 ASCII 编码称号ID
553,财主称号宝箱,财主,10,打开可获得财主称号！,ffff00000009012fec00ffff0000000000000000011000023130000000,称号宝箱尾部疑似 ASCII 编码称号ID
554,地主称号宝箱,地主,11,打开可获得地主称号！,ffff00000009012fec00ffff0000000000000000011000023131000000,称号宝箱尾部疑似 ASCII 编码称号ID
555,名士称号宝箱,名士,12,打开可获得名士称号！,ffff00000009012fec00ffff0000000000000000011000023132000000,称号宝箱尾部疑似 ASCII 编码称号ID
556,劳模称号宝箱,劳模,13,打开可获得劳模称号！,ffff00000009012fec00ffff0000000000000000011000023133000000,称号宝箱尾部疑似 ASCII 编码称号ID
557,善人称号宝箱,善人,14,打开可获得善人称号！,ffff00000009012fec00ffff0000000000000000011000023134000000,称号宝箱尾部疑似 ASCII 编码称号ID
558,明君称号宝箱,明君,15,打开可获得明君称号！,ffff00000009012fec00ffff0000000000000000011000023135000000,称号宝箱尾部疑似 ASCII 编码称号ID
559,贤君称号宝箱,贤君,16,打开可获得贤君称号！,ffff00000009012fec00ffff0000000000000000011000023136000000,称号宝箱尾部疑似 ASCII 编码称号ID
560,达人称号宝箱,达人,17,打开可获得达人称号！,ffff00000009012fec00ffff0000000000000000011000023137000000,称号宝箱尾部疑似 ASCII 编码称号ID
561,无双称号宝箱,无双,18,打开可获得无双称号！,ffff00000009012fec00ffff0000000000000000011000023138000000,称号宝箱尾部疑似 ASCII 编码称号ID
562,宗师称号宝箱,宗师,19,打开可获得宗师称号！,ffff00000009012fec00ffff0000000000000000011000023139000000,称号宝箱尾部疑似 ASCII 编码称号ID
563,神工称号宝箱,神工,20,打开可获得神工称号！,ffff00000009012fec00ffff0000000000000000011000023230000000,称号宝箱尾部疑似 ASCII 编码称号ID
564,枭雄称号宝箱,枭雄,21,打开可获得枭雄称号！,ffff00000009012fec00ffff0000000000000000011000023231000000,称号宝箱尾部疑似 ASCII 编码称号ID
565,霸主称号宝箱,霸主,22,打开可获得霸主称号！,ffff00000009012fec00ffff0000000000000000011000023232000000,称号宝箱尾部疑似 ASCII 编码称号ID
566,武圣称号宝箱,武圣,33,打开可获得武圣称号！,ffff00000009012fec00ffff0000000000000000011000023333000000,称号宝箱尾部疑似 ASCII 编码称号ID
567,飞将称号宝箱,飞将,34,打开可获得飞将称号！,ffff00000009012fec00ffff0000000000000000011000023334000000,称号宝箱尾部疑似 ASCII 编码称号ID
568,大神称号宝箱,大神,35,打开可获得大神称号！,ffff00000009012fec00ffff0000000000000000011000023335000000,称号宝箱尾部疑似 ASCII 编码称号ID
569,天子称号宝箱,天子,36,打开可获得天子称号！,ffff00000009012fec00ffff0000000000000000011000023336000000,称号宝箱尾部疑似 ASCII 编码称号ID
570,军师称号宝箱,军师,37,打开可获得军师称号！,ffff00000009012fec00ffff0000000000000000011000023337000000,称号宝箱尾部疑似 ASCII 编码称号ID
571,暴君称号宝箱,暴君,38,打开可获得暴君称号！,ffff00000009012fec00ffff0000000000000000011000023338000000,称号宝箱尾部疑似 ASCII 编码称号ID
572,卧龙称号宝箱,卧龙,39,打开可获得卧龙称号！,ffff00000009012fec00ffff0000000000000000011000023339000000,称号宝箱尾部疑似 ASCII 编码称号ID
573,凤雏称号宝箱,凤雏,40,打开可获得凤雏称号！,ffff00000009012fec00ffff0000000000000000011000023430000000,称号宝箱尾部疑似 ASCII 编码称号ID
574,冢虎称号宝箱,冢虎,41,打开可获得冢虎称号！,ffff00000009012fec00ffff0000000000000000011000023431000000,称号宝箱尾部疑似 ASCII 编码称号ID
578,帝王称号宝箱,帝王,42,打开可获得帝王称号！,ffff00000009012fec00ffff0000000000000000011000023432000000,称号宝箱尾部疑似 ASCII 编码称号ID
579,神捕称号宝箱,神捕,43,打开可获得神捕称号！,ffff00000009012fec00ffff0000000000000000011000023433000000,称号宝箱尾部疑似 ASCII 编码称号ID
580,称号碎片,,,称号碎片,ffff000003e700307200ffff000000000000000000000000,称号相关道具，尾部未解析出称号ID
711,君王称号宝箱,君王,52,打开可获得君王称号！,ffff00000009012fec00ffff0000000000000000011000023532000000,称号宝箱尾部疑似 ASCII 编码称号ID
715,太师称号宝箱,太师,57,打开可获得太师称号！,ffff00000009012fec00ffff0000000000000000011000023537000000,称号宝箱尾部疑似 ASCII 编码称号ID
716,策士称号宝箱,策士,53,打开可获得策士称号！,ffff00000009012fec00ffff0000000000000000011000023533000000,称号宝箱尾部疑似 ASCII 编码称号ID
717,虎贲称号宝箱,虎贲,54,打开可获得虎贲称号！,ffff00000009012fec00ffff0000000000000000011000023534000000,称号宝箱尾部疑似 ASCII 编码称号ID
718,飞骑称号宝箱,飞骑,55,打开可获得飞骑称号！,ffff00000009012fec00ffff0000000000000000011000023535000000,称号宝箱尾部疑似 ASCII 编码称号ID
719,明公称号宝箱,明公,56,打开可获得明公称号！,ffff00000009012fec00ffff0000000000000000011000023536000000,称号宝箱尾部疑似 ASCII 编码称号ID
737,强盾称号宝箱,强盾,59,打开可获得强盾称号！,ffff00000009012fec00ffff0000000000000000011000023539000000,称号宝箱尾部疑似 ASCII 编码称号ID
738,迅影称号宝箱,迅影,60,打开可获得迅影称号！,ffff00000009012fec00ffff0000000000000000011000023630000000,称号宝箱尾部疑似 ASCII 编码称号ID
745,虎痴称号宝箱,虎痴,62,打开可获得虎痴称号！,ffff00000009012fec00ffff0000000000000000011000023632000000,称号宝箱尾部疑似 ASCII 编码称号ID
746,鬼才称号宝箱,鬼才,63,打开可获得鬼才称号！,ffff00000009012fec00ffff0000000000000000011000023633000000,称号宝箱尾部疑似 ASCII 编码称号ID
754,老友称号宝箱,老友,64,打开可获得老友称号！该称号宝箱不支持转移至其他君主。,ffff00000009012fec00ffff0000000000000000011000023634000000,称号宝箱尾部疑似 ASCII 编码称号ID
755,仁帅称号宝箱,仁帅,65,打开可获得仁帅称号！,ffff00000009012fec00ffff0000000000000000011000023635000000,称号宝箱尾部疑似 ASCII 编码称号ID
756,雄主称号宝箱,雄主,66,打开可获得雄主称号！,ffff00000009012fec00ffff0000000000000000011000023636000000,称号宝箱尾部疑似 ASCII 编码称号ID
