opcode_dec	opcode_hex16	offset	invoke_targets_sample
-1	0xffff	0016	001a:LscriptPages/data/g;->G0()B | 0026:LscriptPages/PageMain;->getStatus()I | 0036:v3, LscriptPages/game/b0;->K1(B)V | 003c:LscriptPages/game/b0;->z0()V
1	0x0001	0022	0026:LscriptPages/PageMain;->getStatus()I | 0036:v3, LscriptPages/game/b0;->K1(B)V | 003c:LscriptPages/game/b0;->z0()V | 0042:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String;
71	0x0047	002e	0036:v3, LscriptPages/game/b0;->K1(B)V | 003c:LscriptPages/game/b0;->z0()V | 0042:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; | 004a:v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
1	0x0001	005a	005e:v7, LscriptPages/PageMain;->setStatus(I)V | 0064:LscriptPages/game/b0;->U()V | 006a:LscriptPages/PageMain;->exitGame()V | 0070:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String;
-3	0xfffd	008a	008e:LscriptPages/data/g;->G0()B | 009a:LscriptPages/PageMain;->getStatus()I | 00aa:v3, LscriptPages/game/b0;->K1(B)V | 00b0:LscriptPages/game/b0;->z0()V
1	0x0001	0096	009a:LscriptPages/PageMain;->getStatus()I | 00aa:v3, LscriptPages/game/b0;->K1(B)V | 00b0:LscriptPages/game/b0;->z0()V | 00b6:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String;
71	0x0047	00a2	00aa:v3, LscriptPages/game/b0;->K1(B)V | 00b0:LscriptPages/game/b0;->z0()V | 00b6:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; | 00be:v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
1	0x0001	00ce	00d2:v7, LscriptPages/PageMain;->setStatus(I)V | 00d8:LscriptPages/game/b0;->U()V | 00de:LscriptPages/PageMain;->exitGame()V | 00e4:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String;
-4	0xfffc	0102	0106:LscriptPages/data/g;->G0()B | 0112:LscriptPages/PageMain;->getStatus()I
1	0x0001	010e	0112:LscriptPages/PageMain;->getStatus()I
71	0x0047	011a	012c:v3, LscriptPages/game/b0;->K1(B)V | 0132:LscriptPages/game/b0;->z0()V | 0138:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; | 0140:v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
1	0x0001	0122	012c:v3, LscriptPages/game/b0;->K1(B)V | 0132:LscriptPages/game/b0;->z0()V | 0138:v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; | 0140:v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
1	0x0001	0150	0154:LscriptAPI/baseAPI/BaseExt;->getCurPatForm()I | 0160:LscriptPages/data/g;->B0()Ljava/lang/String; | 0168:v9, v8, Ljava/lang/String;->equals(Ljava/lang/Object;)Z | 017c:v9, v10, LscriptAPI/extAPI/FlashNormalAPI;->callJSMethod(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;
3	0x0003	015c	0160:LscriptPages/data/g;->B0()Ljava/lang/String; | 0168:v9, v8, Ljava/lang/String;->equals(Ljava/lang/Object;)Z | 017c:v9, v10, LscriptAPI/extAPI/FlashNormalAPI;->callJSMethod(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;
-2	0xfffe	01b0	01b4:LscriptPages/data/g;->G0()B | 01c4:v10, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
1	0x0001	01c0	01c4:v10, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
-5	0xfffb	01dc	01e0:LscriptPages/PageMain;->exitGame()V | 01ea:v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V | 01fc:v2, LscriptPages/game/r0;->d0(Ljava/lang/String;)V | 020a:v2, LscriptPages/game/r0;->d0(Ljava/lang/String;)V
