ID,名称,兵种,等级,攻击力,防御力,生命值,攻击速度,移动速度,占用人口,需要粮食,需要铜钱,需要时间
101.0,轻骑兵,1.0,1.0,25.0,5.0,500.0,8.0,22.0,1.0,240.0,41.0,42.0
102.0,重骑兵,1.0,2.0,45.0,16.0,900.0,6.0,14.0,1.0,320.0,113.0,87.0
103.0,铁骑兵,1.0,3.0,65.0,22.0,1300.0,5.0,12.0,1.0,570.0,242.0,244.0
104.0,骁骑兵,1.0,4.0,60.0,18.0,1100.0,7.0,20.0,1.0,700.0,242.0,330.0
201.0,民兵,2.0,1.0,8.0,1.0,100.0,6.0,7.0,1.0,45.0,7.0,5.0
202.0,轻步兵,2.0,2.0,20.0,8.0,450.0,12.0,7.0,1.0,96.0,33.0,16.0
203.0,重步兵,2.0,3.0,45.0,22.0,850.0,6.0,4.0,1.0,158.0,92.0,37.0
204.0,近卫兵,2.0,4.0,50.0,18.0,1200.0,10.0,6.0,1.0,300.0,138.0,88.0
301.0,弓兵,3.0,1.0,25.0,1.0,120.0,7.0,7.0,1.0,71.0,18.0,13.0
302.0,弩兵,3.0,2.0,30.0,3.0,180.0,12.0,6.0,1.0,144.0,53.0,59.0
303.0,强弩兵,3.0,3.0,60.0,5.0,250.0,7.0,5.0,1.0,260.0,153.0,207.0
304.0,弩骑兵,3.0,4.0,55.0,8.0,600.0,8.0,14.0,1.0,650.0,213.0,540.0
401.0,弩车,4.0,1.0,120.0,1.0,200.0,5.0,3.0,2.0,175.0,215.0,195.0
402.0,重弩车,4.0,2.0,200.0,1.0,350.0,4.0,2.0,3.0,450.0,716.0,583.0
403.0,冲城车,4.0,3.0,3000.0,10.0,800.0,6.0,2.0,8.0,1380.0,1862.0,1621.0
404.0,投石车,4.0,4.0,500.0,1.0,250.0,3.0,3.0,5.0,800.0,3171.0,1986.0
