武将,突围,属性,国家
诸葛亮,99,智勇,蜀
许子将,99,智步,魏
周瑜,99,统勇,吴
左慈,99,平勇,汉
司马懿,99,平骑,魏
赵云,99,平骑,蜀
关羽,99,平骑,蜀
吕布,99,攻骑,秦
荀彧,96,智勇,魏
陆逊,96,智步,吴
程昱,96,智步,魏
贾诩,96,智步,魏
郭嘉,96,智步,魏
徐庶,96,智步,蜀
鲁肃,96,统勇,吴
邓艾,96,平骑,魏
姜维,96,平骑,蜀
许褚,96,攻勇,魏
典韦,96,攻勇,魏
太史慈,96,攻骑,吴
张辽,96,攻骑,魏
张郃,96,攻骑,魏
张飞,96,攻骑,蜀
庞德,96,攻骑,羌
马超,96,攻骑,羌
黄忠,96,攻弓,蜀
吕蒙,96,攻步,吴
甘宁,96,攻步,吴
法正,94,智弓,蜀
沮授,94,智步,赵
审配,94,智步,赵
田丰,94,智步,赵
陈泰,94,智步,野
荀攸,94,智步,魏
徐晃,94,统勇,魏
郝昭,94,平勇,魏
钟会,94,平骑,魏
乐进,94,攻勇,魏
曹洪,94,攻勇,魏
凌统,94,攻骑,吴
于禁,94,攻骑,魏
曹仁,94,攻骑,魏
曹真,94,攻骑,魏
曹彰,94,攻骑,魏
魏延,94,攻骑,蜀
廖化,94,攻骑,蜀
徐荣,94,攻骑,秦
高顺,94,攻骑,秦
马岱,94,攻骑,羌
文聘,94,攻骑,楚
王平,94,攻骑,蜀
淳于琼,94,攻弓,赵
徐盛,94,攻弓,吴
潘璋,94,攻弓,吴
陈武,94,攻弓,吴
刘晔,94,攻弓,魏
孟达,94,攻步,野
丁奉,94,攻步,吴
董袭,94,攻步,吴
李典,94,攻步,魏
周仓,94,攻步,蜀
华佗,92,智勇,野
陈宫,92,智勇,汉
韩遂,92,智骑,羌
蔡文姬,92,智弓,吴
郭图,92,智步,赵
许攸,92,智步,赵
杨修,92,智步,野
甄姬,92,智步,吴
诸葛瑾,92,智步,吴
曹植,92,智步,魏
庞统,92,智步,蜀
黄月英,92,智步,蜀
蔡瑁,92,智步,楚
蒋干,92,智步,陈
诸葛芸,92,统勇,野
于吉,92,统勇,吴
貂蝉,92,统勇,汉
夏侯渊,92,统骑,魏
芙蓉,92,统弓,野
天香,92,统弓,野
小乔,92,统弓,吴
大乔,92,统弓,吴
祝融夫人,92,统弓,蛮
糜竺,92,统弓,鲁
张角,92,统步,野
司马师,92,平勇,野
满宠,92,平勇,魏
司马昭,92,平步,野
颜良,92,攻骑,赵
文丑,92,攻骑,赵
邹玉,92,攻骑,野
张绣,92,攻骑,野
张燕,92,攻骑,野
雷铜,92,攻骑,野
程普,92,攻骑,吴
黄盖,92,攻骑,吴
夏侯惇,92,攻骑,魏
张苞,92,攻骑,蜀
严颜,92,攻骑,蜀
关平,92,攻骑,蜀
关兴,92,攻骑,蜀
华雄,92,攻骑,秦
韩馥,92,攻骑,胡
蒋钦,92,攻弓,吴
曹休,92,攻弓,魏
曹丕,92,攻弓,魏
关凤,92,攻弓,蜀
糜芳,92,攻弓,鲁
孙尚香,92,攻步,吴
张温,90,智勇,野
严畯,90,智勇,野
夏侯威,90,智勇,野
王双,90,智勇,野
高定,90,智勇,野
朱然,90,智骑,野
王渾,90,智骑,野
吕虔,90,智骑,野
冯习,90,智骑,野
忙牙长,90,智骑,蛮
闞泽,90,智骑,鲁
程银,90,智骑,晋
孔岫,90,智骑,胡
张邈,90,智骑,汉
陈琳,90,智步,赵
逢纪,90,智步,赵
诸葛恪,90,智步,野
周魴,90,智步,野
朱异,90,智步,野
许靖,90,智步,野
夏侯尚,90,智步,野
吳懿,90,智步,野
吳质,90,智步,野
王朗,90,智步,野
孙礼,90,智步,野
司马徽,90,智步,野
文钦,90,智步,野
庞义,90,智步,野
伊籍,90,智步,野
毛玠,90,智步,野
陆抗,90,智步,野
卢植,90,智步,野
蒋琬,90,智步,野
华歆,90,智步,野
郭奕,90,智步,野
潘浚,90,智步,野
邓芝,90,智步,野
吕范,90,智步,野
邓贤,90,智步,野
王浚,90,攻步,野
杨祚,90,智步,燕
张昭,90,智步,吴
张松,90,智步,蜀
马谡,90,智步,蜀
马良,90,智步,蜀
李儒,90,智步,秦
郭汜,90,智步,秦
带来洞主,90,智步,蛮
士壹,90,智步,蛮
士燮,90,智步,蛮
陈登,90,智步,鲁
管轳,90,智步,鲁
陈群,90,智步,鲁
张横,90,智步,晋
孔融,90,智步,胡
辛评,90,智步,胡
公孙越,90,智步,胡
辛毗,90,智步,胡
王允,90,智步,汉
董昭,90,智步,汉
蔡邕,90,智步,汉
刘琦,90,智步,楚
蒯良,90,智步,楚
蒯越,90,智步,楚
张勋,90,智步,陈
范疆,90,统勇,野
费袆,90,统勇,野
严白虎,90,统勇,燕
沙摩柯,90,统勇,蛮
阎圃,90,统勇,晋
祢衡,90,统勇,楚
严政,90,统勇,陈
鞠义,90,统骑,赵
乔瑁,90,统骑,野
乔玄,90,统骑,野
王基,90,统骑,野
侯成,90,统骑,秦
李异,90,统弓,野
吕雯,90,统弓,野
夏侯玄,90,统弓,野
张宁,90,统弓,野
李肃,90,统弓,秦
董承,90,统弓,汉
虞翻,90,统弓,陈
胡班,90,统步,野
毋丘俭,90,统步,野
公孙渊,90,统步,燕
刘禅,90,统步,蜀
刘封,90,统步,蜀
迷当大王,90,统步,羌
雅丹,90,统步,羌
徹里吉,90,统步,羌
程远志,90,统步,鲁
刘璋,90,统步,晋
韩玄,90,统步,楚
韩嵩,90,统步,楚
张虎,90,统步,楚
邢道荣,90,统步,楚
轲比能,90,平勇,燕
朱治,90,攻勇,野
钟徭,90,攻勇,野
赵葳,90,攻勇,野
王子服,90,攻勇,野
王真,90,攻勇,野
李严,90,攻勇,野
胡車儿,90,攻勇,野
程武,90,攻勇,野
马忠,90,攻勇,野
全琮,90,攻勇,吴
周泰,90,攻勇,吴
张宏,90,攻勇,吴
张卫,90,攻勇,晋
严纲,90,攻勇,胡
高览,90,攻骑,赵
高干,90,攻骑,赵
袁熙,90,攻骑,赵
袁谭,90,攻骑,赵
袁尚,90,攻骑,赵
张济,90,攻骑,野
祖茂,90,攻骑,野
邹靖,90,攻骑,野
诸葛诞,90,攻骑,野
朱灵,90,攻骑,野
周昕,90,攻骑,野
甄洛,90,攻骑,野
臧霸,90,攻骑,野
